sep=,
"Time","localhost:9100"
2022-12-05 03:24:00,
2022-12-05 03:30:00,
2022-12-05 03:36:00,
2022-12-05 03:42:00,
2022-12-05 03:48:00,
2022-12-05 03:54:00,
2022-12-05 04:00:00,
2022-12-05 04:06:00,
2022-12-05 04:12:00,
2022-12-05 04:18:00,
2022-12-05 04:24:00,
2022-12-05 04:30:00,
2022-12-05 04:36:00,
2022-12-05 04:42:00,
2022-12-05 04:48:00,
2022-12-05 04:54:00,
2022-12-05 05:00:00,
2022-12-05 05:06:00,
2022-12-05 05:12:00,
2022-12-05 05:18:00,
2022-12-05 05:24:00,
2022-12-05 05:30:00,
2022-12-05 05:36:00,
2022-12-05 05:42:00,
2022-12-05 05:48:00,
2022-12-05 05:54:00,
2022-12-05 06:00:00,
2022-12-05 06:06:00,
2022-12-05 06:12:00,
2022-12-05 06:18:00,
2022-12-05 06:24:00,
2022-12-05 06:30:00,
2022-12-05 06:36:00,
2022-12-05 06:42:00,
2022-12-05 06:48:00,
2022-12-05 06:54:00,
2022-12-05 07:00:00,
2022-12-05 07:06:00,
2022-12-05 07:12:00,
2022-12-05 07:18:00,
2022-12-05 07:24:00,
2022-12-05 07:30:00,
2022-12-05 07:36:00,
2022-12-05 07:42:00,
2022-12-05 07:48:00,
2022-12-05 07:54:00,
2022-12-05 08:00:00,
2022-12-05 08:06:00,
2022-12-05 08:12:00,
2022-12-05 08:18:00,
2022-12-05 08:24:00,
2022-12-05 08:30:00,
2022-12-05 08:36:00,
2022-12-05 08:42:00,
2022-12-05 08:48:00,
2022-12-05 08:54:00,
2022-12-05 09:00:00,
2022-12-05 09:06:00,
2022-12-05 09:12:00,
2022-12-05 09:18:00,
2022-12-05 09:24:00,
2022-12-05 09:30:00,
2022-12-05 09:36:00,
2022-12-05 09:42:00,
2022-12-05 09:48:00,
2022-12-05 09:54:00,
2022-12-05 10:00:00,
2022-12-05 10:06:00,
2022-12-05 10:12:00,
2022-12-05 10:18:00,
2022-12-05 10:24:00,
2022-12-05 10:30:00,
2022-12-05 10:36:00,
2022-12-05 10:42:00,
2022-12-05 10:48:00,
2022-12-05 10:54:00,
2022-12-05 11:00:00,
2022-12-05 11:06:00,
2022-12-05 11:12:00,
2022-12-05 11:18:00,
2022-12-05 11:24:00,
2022-12-05 11:30:00,
2022-12-05 11:36:00,
2022-12-05 11:42:00,
2022-12-05 11:48:00,
2022-12-05 11:54:00,
2022-12-05 12:00:00,
2022-12-05 12:06:00,
2022-12-05 12:12:00,
2022-12-05 12:18:00,
2022-12-05 12:24:00,
2022-12-05 12:30:00,
2022-12-05 12:36:00,
2022-12-05 12:42:00,
2022-12-05 12:48:00,
2022-12-05 12:54:00,
2022-12-05 13:00:00,
2022-12-05 13:06:00,
2022-12-05 13:12:00,
2022-12-05 13:18:00,
2022-12-05 13:24:00,
2022-12-05 13:30:00,
2022-12-05 13:36:00,
2022-12-05 13:42:00,
2022-12-05 13:48:00,
2022-12-05 13:54:00,
2022-12-05 14:00:00,
2022-12-05 14:06:00,
2022-12-05 14:12:00,
2022-12-05 14:18:00,
2022-12-05 14:24:00,
2022-12-05 14:30:00,
2022-12-05 14:36:00,
2022-12-05 14:42:00,
2022-12-05 14:48:00,
