sep=,
"Time","send localhost:9100","receive localhost:9100"
2022-12-05 03:20:00,,
2022-12-05 03:30:00,,
2022-12-05 03:40:00,,
2022-12-05 03:50:00,,
2022-12-05 04:00:00,,
2022-12-05 04:10:00,,
2022-12-05 04:20:00,,
2022-12-05 04:30:00,,
2022-12-05 04:40:00,,
2022-12-05 04:50:00,,
2022-12-05 05:00:00,,
2022-12-05 05:10:00,,
2022-12-05 05:20:00,,
2022-12-05 05:30:00,,
2022-12-05 05:40:00,,
2022-12-05 05:50:00,,
2022-12-05 06:00:00,,
2022-12-05 06:10:00,,
2022-12-05 06:20:00,,
2022-12-05 06:30:00,,
2022-12-05 06:40:00,,
2022-12-05 06:50:00,,
2022-12-05 07:00:00,,
2022-12-05 07:10:00,,
2022-12-05 07:20:00,,
2022-12-05 07:30:00,,
2022-12-05 07:40:00,,
2022-12-05 07:50:00,,
2022-12-05 08:00:00,,
2022-12-05 08:10:00,,
2022-12-05 08:20:00,,
2022-12-05 08:30:00,,
2022-12-05 08:40:00,,
2022-12-05 08:50:00,,
2022-12-05 09:00:00,,
2022-12-05 09:10:00,,
2022-12-05 09:20:00,,
2022-12-05 09:30:00,,
2022-12-05 09:40:00,,
2022-12-05 09:50:00,,
2022-12-05 10:00:00,,
2022-12-05 10:10:00,,
2022-12-05 10:20:00,,
2022-12-05 10:30:00,,
2022-12-05 10:40:00,,
2022-12-05 10:50:00,,
2022-12-05 11:00:00,,
2022-12-05 11:10:00,,
2022-12-05 11:20:00,,
2022-12-05 11:30:00,,
2022-12-05 11:40:00,,
2022-12-05 11:50:00,,
2022-12-05 12:00:00,,
2022-12-05 12:10:00,,
2022-12-05 12:20:00,,
2022-12-05 12:30:00,,
2022-12-05 12:40:00,,
2022-12-05 12:50:00,,
2022-12-05 13:00:00,,
2022-12-05 13:10:00,,
2022-12-05 13:20:00,,
2022-12-05 13:30:00,,
2022-12-05 13:40:00,,
2022-12-05 13:50:00,,
2022-12-05 14:00:00,,
2022-12-05 14:10:00,,
2022-12-05 14:20:00,,
2022-12-05 14:30:00,,
2022-12-05 14:40:00,,
2022-12-05 14:50:00,,
2022-12-05 15:00:00,,
2022-12-05 15:10:00,,
2022-12-05 15:20:00,,
2022-12-05 15:30:00,,
2022-12-05 15:40:00,,
2022-12-05 15:50:00,,
2022-12-05 16:00:00,,
2022-12-05 16:10:00,,
2022-12-05 16:20:00,,
2022-12-05 16:30:00,,
2022-12-05 16:40:00,,
2022-12-05 16:50:00,,
2022-12-05 17:00:00,,
2022-12-05 17:10:00,,
2022-12-05 17:20:00,,
2022-12-05 17:30:00,,
2022-12-05 17:40:00,,
2022-12-05 17:50:00,,
2022-12-05 18:00:00,,
2022-12-05 18:10:00,,
2022-12-05 18:20:00,,
2022-12-05 18:30:00,,
2022-12-05 18:40:00,,
2022-12-05 18:50:00,,
2022-12-05 19:00:00,,
2022-12-05 19:10:00,,
2022-12-05 19:20:00,,
2022-12-05 19:30:00,,
2022-12-05 19:40:00,,
2022-12-05 19:50:00,,
2022-12-05 20:00:00,,
2022-12-05 20:10:00,,
2022-12-05 20:20:00,,
2022-12-05 20:30:00,,
2022-12-05 20:40:00,,
2022-12-05 20:50:00,,
2022-12-05 21:00:00,,
2022-12-05 21:10:00,,
2022-12-05 21:20:00,,
2022-12-05 21:30:00,,
2022-12-05 21:40:00,,
2022-12-05 21:50:00,,
2022-12-05 22:00:00,,
2022-12-05 22:10:00,,
2022-12-05 22:20:00,,
2022-12-05 22:30:00,,
2022-12-05 22:40:00,,
2022-12-05 22:50:00,,
2022-12-05 23:00:00,,
2022-12-05 23:10:00,,
2022-12-05 23:20:00,,
2022-12-05 23:30:00,,
2022-12-05 23:40:00,,
2022-12-05 23:50:00,,
2022-12-06 00:00:00,,
2022-12-06 00:10:00,,
2022-12-06 00:20:00,,
2022-12-06 00:30:00,,
2022-12-06 00:40:00,,
2022-12-06 00:50:00,,
2022-12-06 01:00:00,,
2022-12-06 01:10:00,,
2022-12-06 01:20:00,,
2022-12-06 01:30:00,,
2022-12-06 01:40:00,,
2022-12-06 01:50:00,,
2022-12-06 02:00:00,,
2022-12-06 02:10:00,,
2022-12-06 02:20:00,,
2022-12-06 02:30:00,,
2022-12-06 02:40:00,,
2022-12-06 02:50:00,,
2022-12-06 03:00:00,,
2022-12-06 03:10:00,,
2022-12-06 03:20:00,,
2022-12-06 03:30:00,22770,22771
2022-12-06 03:40:00,73145,68026
2022-12-06 03:50:00,109304,105542
2022-12-06 04:00:00,129251,122887
2022-12-06 04:10:00,143586,136421
2022-12-06 04:20:00,131101,125229
2022-12-06 04:30:00,128821,123078
2022-12-06 04:40:00,155579,147400
2022-12-06 04:50:00,162158,153708
2022-12-06 05:00:00,156461,148105
2022-12-06 05:10:00,152679,145167
2022-12-06 05:20:00,153117,145777
2022-12-06 05:30:00,164788,155169
2022-12-06 05:40:00,187266,174145
2022-12-06 05:50:00,190044,176263
2022-12-06 06:00:00,195074,181025
2022-12-06 06:10:00,147400,139458
2022-12-06 06:20:00,181097,169012
2022-12-06 06:30:00,164935,154685
2022-12-06 06:40:00,218458,202504
2022-12-06 06:50:00,192646,179287
2022-12-06 07:00:00,202255,189386
2022-12-06 07:10:00,147813,140019
2022-12-06 07:20:00,160183,151072
2022-12-06 07:30:00,183820,171841
2022-12-06 07:40:00,182172,171179
2022-12-06 07:50:00,134069,127778
2022-12-06 08:00:00,162857,152922
2022-12-06 08:10:00,171211,160187
2022-12-06 08:20:00,197113,183534
2022-12-06 08:30:00,194645,181710
2022-12-06 08:40:00,207347,194550
2022-12-06 08:50:00,206600,194949
2022-12-06 09:00:00,213196,198465
2022-12-06 09:10:00,212059,193472
2022-12-06 09:20:00,254777,235660
2022-12-06 09:30:00,224488,209947
2022-12-06 09:40:00,221051,205956
2022-12-06 09:50:00,196639,183013
2022-12-06 10:00:00,198555,185534
2022-12-06 10:10:00,220118,205590
2022-12-06 10:20:00,222161,203509
2022-12-06 10:30:00,214030,198626
2022-12-06 10:40:00,192492,181020
2022-12-06 10:50:00,190780,179649
2022-12-06 11:00:00,164200,156397
2022-12-06 11:10:00,161699,154849
2022-12-06 11:20:00,165472,159314
2022-12-06 11:30:00,157751,151484
