sep=,
"Time","localhost:9100"
2022-12-22 10:05:00,
2022-12-22 10:30:00,
2022-12-22 10:55:00,
2022-12-22 11:20:00,
2022-12-22 11:45:00,
2022-12-22 12:10:00,
2022-12-22 12:35:00,
2022-12-22 13:00:00,
2022-12-22 13:25:00,
2022-12-22 13:50:00,
2022-12-22 14:15:00,
2022-12-22 14:40:00,
2022-12-22 15:05:00,
2022-12-22 15:30:00,
2022-12-22 15:55:00,
2022-12-22 16:20:00,
2022-12-22 16:45:00,
2022-12-22 17:10:00,
2022-12-22 17:35:00,
2022-12-22 18:00:00,
2022-12-22 18:25:00,
2022-12-22 18:50:00,
2022-12-22 19:15:00,
2022-12-22 19:40:00,
2022-12-22 20:05:00,
2022-12-22 20:30:00,
2022-12-22 20:55:00,
2022-12-22 21:20:00,
2022-12-22 21:45:00,
2022-12-22 22:10:00,
2022-12-22 22:35:00,
2022-12-22 23:00:00,
2022-12-22 23:25:00,
2022-12-22 23:50:00,
2022-12-23 00:15:00,
2022-12-23 00:40:00,0.350
2022-12-23 01:05:00,0.404
2022-12-23 01:30:00,0.480
2022-12-23 01:55:00,0.341
2022-12-23 02:20:00,0.473
2022-12-23 02:45:00,0.471
2022-12-23 03:10:00,0.514
2022-12-23 03:35:00,0.512
2022-12-23 04:00:00,0.450
2022-12-23 04:25:00,0.486
2022-12-23 04:50:00,0.384
2022-12-23 05:15:00,0.368
2022-12-23 05:40:00,0.401
2022-12-23 06:05:00,0.396
2022-12-23 06:30:00,0.395
2022-12-23 06:55:00,0.400
2022-12-23 07:20:00,0.404
2022-12-23 07:45:00,0.401
2022-12-23 08:10:00,0.410
2022-12-23 08:35:00,0.411
2022-12-23 09:00:00,0.409
2022-12-23 09:25:00,0.405
2022-12-23 09:50:00,0.415
2022-12-23 10:15:00,0.422
2022-12-23 10:40:00,0.419
2022-12-23 11:05:00,0.418
2022-12-23 11:30:00,0.424
2022-12-23 11:55:00,0.427
2022-12-23 12:20:00,0.431
2022-12-23 12:45:00,0.432
2022-12-23 13:10:00,0.430
2022-12-23 13:35:00,0.430
2022-12-23 14:00:00,0.432
2022-12-23 14:25:00,0.427
2022-12-23 14:50:00,0.435
2022-12-23 15:15:00,0.436
2022-12-23 15:40:00,0.438
2022-12-23 16:05:00,0.440
2022-12-23 16:30:00,0.443
2022-12-23 16:55:00,0.444
2022-12-23 17:20:00,0.445
2022-12-23 17:45:00,0.447
2022-12-23 18:10:00,0.455
2022-12-23 18:35:00,0.458
2022-12-23 19:00:00,0.453
2022-12-23 19:25:00,0.444
2022-12-23 19:50:00,0.458
2022-12-23 20:15:00,0.460
2022-12-23 20:40:00,0.460
2022-12-23 21:05:00,0.463
2022-12-23 21:30:00,0.465
2022-12-23 21:55:00,0.466
2022-12-23 22:20:00,0.470
2022-12-23 22:45:00,0.472
2022-12-23 23:10:00,0.462
2022-12-23 23:35:00,0.474
2022-12-24 00:00:00,0.479
2022-12-24 00:25:00,0.482
2022-12-24 00:50:00,0.495
2022-12-24 01:15:00,0.487
2022-12-24 01:40:00,0.488
2022-12-24 02:05:00,0.489
2022-12-24 02:30:00,0.493
2022-12-24 02:55:00,0.490
2022-12-24 03:20:00,0.494
2022-12-24 03:45:00,0.499
2022-12-24 04:10:00,0.498
2022-12-24 04:35:00,0.503
2022-12-24 05:00:00,0.502
2022-12-24 05:25:00,0.506
2022-12-24 05:50:00,0.505
2022-12-24 06:15:00,0.506
2022-12-24 06:40:00,0.509
2022-12-24 07:05:00,0.512
2022-12-24 07:30:00,0.513
2022-12-24 07:55:00,0.526
2022-12-24 08:20:00,0.251
2022-12-24 08:45:00,0.101
2022-12-24 09:10:00,0.101
2022-12-24 09:35:00,0.101
2022-12-24 10:00:00,0.102

