sep=,
"Time","send localhost:9100","receive localhost:9100"
2022-12-22 10:05:00,,
2022-12-22 10:30:00,,
2022-12-22 10:55:00,,
2022-12-22 11:20:00,,
2022-12-22 11:45:00,,
2022-12-22 12:10:00,,
2022-12-22 12:35:00,,
2022-12-22 13:00:00,,
2022-12-22 13:25:00,,
2022-12-22 13:50:00,,
2022-12-22 14:15:00,,
2022-12-22 14:40:00,,
2022-12-22 15:05:00,,
2022-12-22 15:30:00,,
2022-12-22 15:55:00,,
2022-12-22 16:20:00,,
2022-12-22 16:45:00,,
2022-12-22 17:10:00,,
2022-12-22 17:35:00,,
2022-12-22 18:00:00,,
2022-12-22 18:25:00,,
2022-12-22 18:50:00,,
2022-12-22 19:15:00,,
2022-12-22 19:40:00,,
2022-12-22 20:05:00,,
2022-12-22 20:30:00,,
2022-12-22 20:55:00,,
2022-12-22 21:20:00,,
2022-12-22 21:45:00,,
2022-12-22 22:10:00,,
2022-12-22 22:35:00,,
2022-12-22 23:00:00,,
2022-12-22 23:25:00,,
2022-12-22 23:50:00,,
2022-12-23 00:15:00,,
2022-12-23 00:40:00,95411,90685
2022-12-23 01:05:00,186016,173415
2022-12-23 01:30:00,231314,213316
2022-12-23 01:55:00,175666,164154
2022-12-23 02:20:00,215942,199998
2022-12-23 02:45:00,234033,215310
2022-12-23 03:10:00,212452,196957
2022-12-23 03:35:00,192468,180098
2022-12-23 04:00:00,215828,199002
2022-12-23 04:25:00,205945,191241
2022-12-23 04:50:00,192164,160556
2022-12-23 05:15:00,162869,124663
2022-12-23 05:40:00,166802,126291
2022-12-23 06:05:00,164635,124028
2022-12-23 06:30:00,163683,123888
2022-12-23 06:55:00,162960,124235
2022-12-23 07:20:00,161391,123358
2022-12-23 07:45:00,159597,122356
2022-12-23 08:10:00,158792,122548
2022-12-23 08:35:00,158280,122448
2022-12-23 09:00:00,157082,122274
2022-12-23 09:25:00,156732,122051
2022-12-23 09:50:00,156299,121562
2022-12-23 10:15:00,155881,121524
2022-12-23 10:40:00,155399,121599
2022-12-23 11:05:00,155273,121556
2022-12-23 11:30:00,154572,121119
2022-12-23 11:55:00,154615,121020
2022-12-23 12:20:00,154101,121219
2022-12-23 12:45:00,153433,120613
2022-12-23 13:10:00,152393,120547
2022-12-23 13:35:00,151408,120259
2022-12-23 14:00:00,151662,120279
2022-12-23 14:25:00,151537,120623
2022-12-23 14:50:00,150848,120135
2022-12-23 15:15:00,150362,120023
2022-12-23 15:40:00,150802,120369
2022-12-23 16:05:00,150368,120013
2022-12-23 16:30:00,150092,119962
2022-12-23 16:55:00,150119,119862
2022-12-23 17:20:00,150070,120120
2022-12-23 17:45:00,149694,119872
2022-12-23 18:10:00,150031,120316
2022-12-23 18:35:00,149760,119749
2022-12-23 19:00:00,149270,119854
2022-12-23 19:25:00,149435,119709
2022-12-23 19:50:00,149186,119562
2022-12-23 20:15:00,148575,119488
2022-12-23 20:40:00,149417,120233
2022-12-23 21:05:00,149413,120136
2022-12-23 21:30:00,148281,119346
2022-12-23 21:55:00,148741,119779
2022-12-23 22:20:00,148797,119551
2022-12-23 22:45:00,148404,119433
2022-12-23 23:10:00,149217,119818
2022-12-23 23:35:00,149517,119910
2022-12-24 00:00:00,149039,119925
2022-12-24 00:25:00,149199,120326
2022-12-24 00:50:00,150331,120459
2022-12-24 01:15:00,148666,119878
2022-12-24 01:40:00,146975,119300
2022-12-24 02:05:00,147321,119191
2022-12-24 02:30:00,148509,120069
2022-12-24 02:55:00,148067,120065
2022-12-24 03:20:00,147969,119592
2022-12-24 03:45:00,148613,120330
2022-12-24 04:10:00,148167,119846
2022-12-24 04:35:00,148227,120203
2022-12-24 05:00:00,147757,119486
2022-12-24 05:25:00,147935,119796
2022-12-24 05:50:00,147595,119572
2022-12-24 06:15:00,147298,119501
2022-12-24 06:40:00,147524,119562
2022-12-24 07:05:00,147742,119770
2022-12-24 07:30:00,147981,119817
2022-12-24 07:55:00,147506,119488
2022-12-24 08:20:00,106784,96743
2022-12-24 08:45:00,83872,83872
2022-12-24 09:10:00,83959,83959
2022-12-24 09:35:00,83802,83802
2022-12-24 10:00:00,83890,83890

