sep=,
"Time","gitlab-workhorse"
2022-12-22 10:15:00,
2022-12-22 10:30:00,
2022-12-22 10:45:00,
2022-12-22 11:00:00,
2022-12-22 11:15:00,
2022-12-22 11:30:00,
2022-12-22 11:45:00,
2022-12-22 12:00:00,
2022-12-22 12:15:00,
2022-12-22 12:30:00,
2022-12-22 12:45:00,
2022-12-22 13:00:00,
2022-12-22 13:15:00,
2022-12-22 13:30:00,
2022-12-22 13:45:00,
2022-12-22 14:00:00,
2022-12-22 14:15:00,
2022-12-22 14:30:00,
2022-12-22 14:45:00,
2022-12-22 15:00:00,
2022-12-22 15:15:00,
2022-12-22 15:30:00,
2022-12-22 15:45:00,
2022-12-22 16:00:00,
2022-12-22 16:15:00,
2022-12-22 16:30:00,
2022-12-22 16:45:00,
2022-12-22 17:00:00,
2022-12-22 17:15:00,
2022-12-22 17:30:00,
2022-12-22 17:45:00,
2022-12-22 18:00:00,
2022-12-22 18:15:00,
2022-12-22 18:30:00,
2022-12-22 18:45:00,
2022-12-22 19:00:00,
2022-12-22 19:15:00,
2022-12-22 19:30:00,
2022-12-22 19:45:00,
2022-12-22 20:00:00,
2022-12-22 20:15:00,
2022-12-22 20:30:00,
2022-12-22 20:45:00,
2022-12-22 21:00:00,
2022-12-22 21:15:00,
2022-12-22 21:30:00,
2022-12-22 21:45:00,
2022-12-22 22:00:00,
2022-12-22 22:15:00,
2022-12-22 22:30:00,
2022-12-22 22:45:00,
2022-12-22 23:00:00,
2022-12-22 23:15:00,
2022-12-22 23:30:00,
2022-12-22 23:45:00,
2022-12-23 00:00:00,
2022-12-23 00:15:00,
2022-12-23 00:30:00,0.510
2022-12-23 00:45:00,8.01
2022-12-23 01:00:00,8.63
2022-12-23 01:15:00,13.4
2022-12-23 01:30:00,12.1
2022-12-23 01:45:00,7.95
2022-12-23 02:00:00,8.15
2022-12-23 02:15:00,10.2
2022-12-23 02:30:00,11.5
2022-12-23 02:45:00,12.3
2022-12-23 03:00:00,12.0
2022-12-23 03:15:00,6.85
2022-12-23 03:30:00,7.50
2022-12-23 03:45:00,10.5
2022-12-23 04:00:00,10.4
2022-12-23 04:15:00,9.10
2022-12-23 04:30:00,9.77
2022-12-23 04:45:00,21.0
2022-12-23 05:00:00,28.8
2022-12-23 05:15:00,24.1
2022-12-23 05:30:00,26.6
2022-12-23 05:45:00,28.0
2022-12-23 06:00:00,27.3
2022-12-23 06:15:00,27.0
2022-12-23 06:30:00,26.7
2022-12-23 06:45:00,26.2
2022-12-23 07:00:00,25.9
2022-12-23 07:15:00,25.6
2022-12-23 07:30:00,25.2
2022-12-23 07:45:00,24.9
2022-12-23 08:00:00,24.6
2022-12-23 08:15:00,24.1
2022-12-23 08:30:00,24.1
2022-12-23 08:45:00,22.9
2022-12-23 09:00:00,23.5
2022-12-23 09:15:00,23.2
2022-12-23 09:30:00,23.2
2022-12-23 09:45:00,23.1
2022-12-23 10:00:00,23.2
2022-12-23 10:15:00,23.0
2022-12-23 10:30:00,22.7
2022-12-23 10:45:00,22.6
2022-12-23 11:00:00,22.7
2022-12-23 11:15:00,22.4
2022-12-23 11:30:00,22.4
2022-12-23 11:45:00,22.3
2022-12-23 12:00:00,22.5
2022-12-23 12:15:00,21.9
2022-12-23 12:30:00,21.8
2022-12-23 12:45:00,21.9
2022-12-23 13:00:00,21.2
2022-12-23 13:15:00,21.1
2022-12-23 13:30:00,20.6
2022-12-23 13:45:00,20.5
2022-12-23 14:00:00,21.1
2022-12-23 14:15:00,20.7
2022-12-23 14:30:00,20.4
2022-12-23 14:45:00,20.4
2022-12-23 15:00:00,20.5
2022-12-23 15:15:00,20.0
2022-12-23 15:30:00,20.3
2022-12-23 15:45:00,20.1
2022-12-23 16:00:00,20.1
2022-12-23 16:15:00,20.1
2022-12-23 16:30:00,20.0
2022-12-23 16:45:00,20.1
2022-12-23 17:00:00,20.0
2022-12-23 17:15:00,20.2
2022-12-23 17:30:00,19.5
2022-12-23 17:45:00,19.9
2022-12-23 18:00:00,19.8
2022-12-23 18:15:00,19.8
2022-12-23 18:30:00,20.0
2022-12-23 18:45:00,19.6
2022-12-23 19:00:00,19.6
2022-12-23 19:15:00,19.8
2022-12-23 19:30:00,19.7
2022-12-23 19:45:00,19.8
2022-12-23 20:00:00,19.5
2022-12-23 20:15:00,19.3
2022-12-23 20:30:00,19.4
2022-12-23 20:45:00,19.5
