sep=,
"Time","localhost:9100"
2022-12-22 00:10:00,
2022-12-22 00:20:00,
2022-12-22 00:30:00,
2022-12-22 00:40:00,
2022-12-22 00:50:00,
2022-12-22 01:00:00,
2022-12-22 01:10:00,
2022-12-22 01:20:00,
2022-12-22 01:30:00,
2022-12-22 01:40:00,
2022-12-22 01:50:00,
2022-12-22 02:00:00,
2022-12-22 02:10:00,
2022-12-22 02:20:00,
2022-12-22 02:30:00,
2022-12-22 02:40:00,
2022-12-22 02:50:00,
2022-12-22 03:00:00,
2022-12-22 03:10:00,
2022-12-22 03:20:00,
2022-12-22 03:30:00,
2022-12-22 03:40:00,
2022-12-22 03:50:00,
2022-12-22 04:00:00,
2022-12-22 04:10:00,
2022-12-22 04:20:00,
2022-12-22 04:30:00,
2022-12-22 04:40:00,
2022-12-22 04:50:00,
2022-12-22 05:00:00,0.791
2022-12-22 05:10:00,0.268
2022-12-22 05:20:00,0.516
2022-12-22 05:30:00,0.427
2022-12-22 05:40:00,0.531
2022-12-22 05:50:00,0.593
2022-12-22 06:00:00,0.670
2022-12-22 06:10:00,0.581
2022-12-22 06:20:00,0.575
2022-12-22 06:30:00,0.652
2022-12-22 06:40:00,0.427
2022-12-22 06:50:00,0.393
2022-12-22 07:00:00,0.394
2022-12-22 07:10:00,0.393
2022-12-22 07:20:00,0.391
2022-12-22 07:30:00,0.400
2022-12-22 07:40:00,0.399
2022-12-22 07:50:00,0.401
2022-12-22 08:00:00,0.396
2022-12-22 08:10:00,0.388
2022-12-22 08:20:00,0.394
2022-12-22 08:30:00,0.397
2022-12-22 08:40:00,0.396
2022-12-22 08:50:00,0.398
2022-12-22 09:00:00,0.401
2022-12-22 09:10:00,0.405
2022-12-22 09:20:00,0.404
2022-12-22 09:30:00,0.407
2022-12-22 09:40:00,0.407
2022-12-22 09:50:00,0.416
2022-12-22 10:00:00,0.414
2022-12-22 10:10:00,0.413
2022-12-22 10:20:00,0.418
2022-12-22 10:30:00,0.417
2022-12-22 10:40:00,0.410
2022-12-22 10:50:00,0.409
2022-12-22 11:00:00,0.414
2022-12-22 11:10:00,0.418
2022-12-22 11:20:00,0.420
2022-12-22 11:30:00,0.422
2022-12-22 11:40:00,0.423
2022-12-22 11:50:00,0.430
2022-12-22 12:00:00,0.434
2022-12-22 12:10:00,0.434
2022-12-22 12:20:00,0.432
2022-12-22 12:30:00,0.434
2022-12-22 12:40:00,0.432
2022-12-22 12:50:00,0.430
2022-12-22 13:00:00,0.438
2022-12-22 13:10:00,0.434
2022-12-22 13:20:00,0.431
2022-12-22 13:30:00,0.440
2022-12-22 13:40:00,0.438
2022-12-22 13:50:00,0.436
2022-12-22 14:00:00,0.440
2022-12-22 14:10:00,0.439
2022-12-22 14:20:00,0.444
2022-12-22 14:30:00,0.441
2022-12-22 14:40:00,0.431
2022-12-22 14:50:00,0.432
2022-12-22 15:00:00,0.437
2022-12-22 15:10:00,0.444
2022-12-22 15:20:00,0.442
2022-12-22 15:30:00,0.446
2022-12-22 15:40:00,0.438
2022-12-22 15:50:00,0.439
2022-12-22 16:00:00,0.447
2022-12-22 16:10:00,0.447
2022-12-22 16:20:00,0.449
2022-12-22 16:30:00,0.452
2022-12-22 16:40:00,0.448
2022-12-22 16:50:00,0.453
2022-12-22 17:00:00,0.452
2022-12-22 17:10:00,0.460
2022-12-22 17:20:00,0.453
2022-12-22 17:30:00,0.332
2022-12-22 17:40:00,0.127
2022-12-22 17:50:00,0.120
2022-12-22 18:00:00,0.124
2022-12-22 18:10:00,0.122
2022-12-22 18:20:00,0.124
2022-12-22 18:30:00,0.127
2022-12-22 18:40:00,0.122
2022-12-22 18:50:00,0.122
2022-12-22 19:00:00,0.123
2022-12-22 19:10:00,0.124
2022-12-22 19:20:00,0.123
2022-12-22 19:30:00,0.126
2022-12-22 19:40:00,0.117
2022-12-22 19:50:00,0.119
2022-12-22 20:00:00,0.118
2022-12-22 20:10:00,0.118
2022-12-22 20:20:00,0.118
2022-12-22 20:30:00,0.120
2022-12-22 20:40:00,0.120
2022-12-22 20:50:00,0.119
2022-12-22 21:00:00,0.116
2022-12-22 21:10:00,0.117
2022-12-22 21:20:00,0.117
2022-12-22 21:30:00,0.118
2022-12-22 21:40:00,0.117
2022-12-22 21:50:00,0.116
2022-12-22 22:00:00,0.119
2022-12-22 22:10:00,0.118
2022-12-22 22:20:00,0.139
2022-12-22 22:30:00,0.0873
2022-12-22 22:40:00,0.0628
2022-12-22 22:50:00,0.0760
2022-12-22 23:00:00,0.0608
2022-12-22 23:10:00,0.0497
2022-12-22 23:20:00,0.0542
2022-12-22 23:30:00,0.0622
2022-12-22 23:40:00,0.138
2022-12-22 23:50:00,0.0725
2022-12-23 00:00:00,0.0585
2022-12-23 00:10:00,0.0843

