sep=,
"Time","localhost:9100"
2022-12-22 00:06:00,
2022-12-22 00:12:00,
2022-12-22 00:18:00,
2022-12-22 00:24:00,
2022-12-22 00:30:00,
2022-12-22 00:36:00,
2022-12-22 00:42:00,
2022-12-22 00:48:00,
2022-12-22 00:54:00,
2022-12-22 01:00:00,
2022-12-22 01:06:00,
2022-12-22 01:12:00,
2022-12-22 01:18:00,
2022-12-22 01:24:00,
2022-12-22 01:30:00,
2022-12-22 01:36:00,
2022-12-22 01:42:00,
2022-12-22 01:48:00,
2022-12-22 01:54:00,
2022-12-22 02:00:00,
2022-12-22 02:06:00,
2022-12-22 02:12:00,
2022-12-22 02:18:00,
2022-12-22 02:24:00,
2022-12-22 02:30:00,
2022-12-22 02:36:00,
2022-12-22 02:42:00,
2022-12-22 02:48:00,
2022-12-22 02:54:00,
2022-12-22 03:00:00,
2022-12-22 03:06:00,
2022-12-22 03:12:00,
2022-12-22 03:18:00,
2022-12-22 03:24:00,
2022-12-22 03:30:00,
2022-12-22 03:36:00,
2022-12-22 03:42:00,
2022-12-22 03:48:00,
2022-12-22 03:54:00,
2022-12-22 04:00:00,
2022-12-22 04:06:00,
2022-12-22 04:12:00,
2022-12-22 04:18:00,
2022-12-22 04:24:00,
2022-12-22 04:30:00,
2022-12-22 04:36:00,
2022-12-22 04:42:00,
2022-12-22 04:48:00,
2022-12-22 04:54:00,
2022-12-22 05:00:00,0.671
2022-12-22 05:06:00,0.204
2022-12-22 05:12:00,0.443
2022-12-22 05:18:00,0.524
2022-12-22 05:24:00,0.512
2022-12-22 05:30:00,0.354
2022-12-22 05:36:00,0.467
2022-12-22 05:42:00,0.558
2022-12-22 05:48:00,0.628
2022-12-22 05:54:00,0.690
2022-12-22 06:00:00,0.675
2022-12-22 06:06:00,0.628
2022-12-22 06:12:00,0.565
2022-12-22 06:18:00,0.595
2022-12-22 06:24:00,0.630
2022-12-22 06:30:00,0.624
2022-12-22 06:36:00,0.444
2022-12-22 06:42:00,0.405
2022-12-22 06:48:00,0.396
2022-12-22 06:54:00,0.397
2022-12-22 07:00:00,0.402
2022-12-22 07:06:00,0.392
2022-12-22 07:12:00,0.396
2022-12-22 07:18:00,0.397
2022-12-22 07:24:00,0.399
2022-12-22 07:30:00,0.407
2022-12-22 07:36:00,0.406
2022-12-22 07:42:00,0.402
2022-12-22 07:48:00,0.404
2022-12-22 07:54:00,0.404
2022-12-22 08:00:00,0.395
2022-12-22 08:06:00,0.394
2022-12-22 08:12:00,0.395
2022-12-22 08:18:00,0.400
2022-12-22 08:24:00,0.404
2022-12-22 08:30:00,0.401
2022-12-22 08:36:00,0.405
2022-12-22 08:42:00,0.399
2022-12-22 08:48:00,0.401
2022-12-22 08:54:00,0.403
2022-12-22 09:00:00,0.407
2022-12-22 09:06:00,0.407
2022-12-22 09:12:00,0.412
2022-12-22 09:18:00,0.406
2022-12-22 09:24:00,0.409
2022-12-22 09:30:00,0.410
2022-12-22 09:36:00,0.413
2022-12-22 09:42:00,0.413
2022-12-22 09:48:00,0.427
2022-12-22 09:54:00,0.425
2022-12-22 10:00:00,0.417
2022-12-22 10:06:00,0.415
2022-12-22 10:12:00,0.420
2022-12-22 10:18:00,0.420
2022-12-22 10:24:00,0.429
2022-12-22 10:30:00,0.414
2022-12-22 10:36:00,0.419
2022-12-22 10:42:00,0.413
2022-12-22 10:48:00,0.412
2022-12-22 10:54:00,0.418
2022-12-22 11:00:00,0.419
2022-12-22 11:06:00,0.425
2022-12-22 11:12:00,0.421
2022-12-22 11:18:00,0.424
2022-12-22 11:24:00,0.422
2022-12-22 11:30:00,0.429
2022-12-22 11:36:00,0.427
2022-12-22 11:42:00,0.431
2022-12-22 11:48:00,0.434
2022-12-22 11:54:00,0.441
2022-12-22 12:00:00,0.433
2022-12-22 12:06:00,0.437
2022-12-22 12:12:00,0.443
2022-12-22 12:18:00,0.435
2022-12-22 12:24:00,0.442
2022-12-22 12:30:00,0.439
2022-12-22 12:36:00,0.435
2022-12-22 12:42:00,0.436
2022-12-22 12:48:00,0.436
2022-12-22 12:54:00,0.436
2022-12-22 13:00:00,0.442
2022-12-22 13:06:00,0.440
2022-12-22 13:12:00,0.434
2022-12-22 13:18:00,0.436
2022-12-22 13:24:00,0.441
2022-12-22 13:30:00,0.446
2022-12-22 13:36:00,0.444
2022-12-22 13:42:00,0.438
2022-12-22 13:48:00,0.436
2022-12-22 13:54:00,0.451
2022-12-22 14:00:00,0.439
2022-12-22 14:06:00,0.442
2022-12-22 14:12:00,0.447
2022-12-22 14:18:00,0.452
2022-12-22 14:24:00,0.447
2022-12-22 14:30:00,0.446
2022-12-22 14:36:00,0.437
2022-12-22 14:42:00,0.434
2022-12-22 14:48:00,0.435
2022-12-22 14:54:00,0.440
2022-12-22 15:00:00,0.439
2022-12-22 15:06:00,0.442
2022-12-22 15:12:00,0.449
2022-12-22 15:18:00,0.448
2022-12-22 15:24:00,0.449
2022-12-22 15:30:00,0.447
2022-12-22 15:36:00,0.443
2022-12-22 15:42:00,0.438
2022-12-22 15:48:00,0.441
2022-12-22 15:54:00,0.448
2022-12-22 16:00:00,0.455
2022-12-22 16:06:00,0.453
2022-12-22 16:12:00,0.454
2022-12-22 16:18:00,0.452
2022-12-22 16:24:00,0.452
2022-12-22 16:30:00,0.457
2022-12-22 16:36:00,0.455
2022-12-22 16:42:00,0.457
2022-12-22 16:48:00,0.457
2022-12-22 16:54:00,0.461
2022-12-22 17:00:00,0.453
2022-12-22 17:06:00,0.467
2022-12-22 17:12:00,0.462
2022-12-22 17:18:00,0.458
2022-12-22 17:24:00,0.460
2022-12-22 17:30:00,0.248
2022-12-22 17:36:00,0.134
2022-12-22 17:42:00,0.122
2022-12-22 17:48:00,0.120
2022-12-22 17:54:00,0.129
2022-12-22 18:00:00,0.130
2022-12-22 18:06:00,0.121
2022-12-22 18:12:00,0.129
2022-12-22 18:18:00,0.128
2022-12-22 18:24:00,0.132
2022-12-22 18:30:00,0.130
2022-12-22 18:36:00,0.124
2022-12-22 18:42:00,0.127
2022-12-22 18:48:00,0.121
2022-12-22 18:54:00,0.125
2022-12-22 19:00:00,0.124
2022-12-22 19:06:00,0.125
2022-12-22 19:12:00,0.125
2022-12-22 19:18:00,0.126
2022-12-22 19:24:00,0.127
2022-12-22 19:30:00,0.130
2022-12-22 19:36:00,0.119
2022-12-22 19:42:00,0.122
2022-12-22 19:48:00,0.124
2022-12-22 19:54:00,0.124
2022-12-22 20:00:00,0.121
2022-12-22 20:06:00,0.122
2022-12-22 20:12:00,0.123
2022-12-22 20:18:00,0.120
2022-12-22 20:24:00,0.122
2022-12-22 20:30:00,0.124
2022-12-22 20:36:00,0.123
2022-12-22 20:42:00,0.122
2022-12-22 20:48:00,0.118
2022-12-22 20:54:00,0.119
2022-12-22 21:00:00,0.119
2022-12-22 21:06:00,0.120
2022-12-22 21:12:00,0.119
2022-12-22 21:18:00,0.121
2022-12-22 21:24:00,0.121
2022-12-22 21:30:00,0.118
2022-12-22 21:36:00,0.119
2022-12-22 21:42:00,0.117
2022-12-22 21:48:00,0.118
2022-12-22 21:54:00,0.122
2022-12-22 22:00:00,0.122
2022-12-22 22:06:00,0.122
2022-12-22 22:12:00,0.120
2022-12-22 22:18:00,0.146
2022-12-22 22:24:00,0.130
2022-12-22 22:30:00,0.0644
2022-12-22 22:36:00,0.0642
2022-12-22 22:42:00,0.0673
2022-12-22 22:48:00,0.0899
2022-12-22 22:54:00,0.0672
2022-12-22 23:00:00,0.0592
2022-12-22 23:06:00,0.0532
2022-12-22 23:12:00,0.0487
2022-12-22 23:18:00,0.0565
2022-12-22 23:24:00,0.0686
2022-12-22 23:30:00,0.0631
2022-12-22 23:36:00,0.183
2022-12-22 23:42:00,0.0689
2022-12-22 23:48:00,0.0883
2022-12-22 23:54:00,0.0560
2022-12-23 00:00:00,0.0634
