sep=,
"Time","postgres service"
2022-12-27 20:15:00,
2022-12-27 20:30:00,
2022-12-27 20:45:00,
2022-12-27 21:00:00,
2022-12-27 21:15:00,
2022-12-27 21:30:00,
2022-12-27 21:45:00,
2022-12-27 22:00:00,
2022-12-27 22:15:00,
2022-12-27 22:30:00,
2022-12-27 22:45:00,
2022-12-27 23:00:00,
2022-12-27 23:15:00,
2022-12-27 23:30:00,
2022-12-27 23:45:00,
2022-12-28 00:00:00,0
2022-12-28 00:15:00,0
2022-12-28 00:30:00,0
2022-12-28 00:45:00,0
2022-12-28 01:00:00,0
2022-12-28 01:15:00,0
2022-12-28 01:30:00,0
2022-12-28 01:45:00,0
2022-12-28 02:00:00,0
2022-12-28 02:15:00,0
2022-12-28 02:30:00,0.0000632
2022-12-28 02:45:00,0
2022-12-28 03:00:00,0.0000733
2022-12-28 03:15:00,0
2022-12-28 03:30:00,0
2022-12-28 03:45:00,0
2022-12-28 04:00:00,0
2022-12-28 04:15:00,0
2022-12-28 04:30:00,0
2022-12-28 04:45:00,0.0000781
2022-12-28 05:00:00,0.000115
2022-12-28 05:15:00,0.000174
2022-12-28 05:30:00,0.000180
2022-12-28 05:45:00,0.000294
2022-12-28 06:00:00,0.000387
2022-12-28 06:15:00,0.000426
2022-12-28 06:30:00,0.000435
2022-12-28 06:45:00,0.000549
2022-12-28 07:00:00,0.000424
2022-12-28 07:15:00,0.000897
2022-12-28 07:30:00,0.000875
2022-12-28 07:45:00,0.000674
2022-12-28 08:00:00,0.000835
2022-12-28 08:15:00,0.000633
2022-12-28 08:30:00,0.000680
2022-12-28 08:45:00,0.000765
2022-12-28 09:00:00,0.000965
2022-12-28 09:15:00,0.00101
2022-12-28 09:30:00,0.00102
2022-12-28 09:45:00,0.00110
2022-12-28 10:00:00,0.00120
2022-12-28 10:15:00,0.00119
2022-12-28 10:30:00,0.00118
2022-12-28 10:45:00,0.00112
2022-12-28 11:00:00,0.00122
2022-12-28 11:15:00,0.00108
2022-12-28 11:30:00,0.00101
2022-12-28 11:45:00,0.00116
2022-12-28 12:00:00,0.00143
2022-12-28 12:15:00,0.00111
2022-12-28 12:30:00,0.00132
2022-12-28 12:45:00,0.00127
2022-12-28 13:00:00,0.00132
2022-12-28 13:15:00,0.00146
2022-12-28 13:30:00,0.00143
2022-12-28 13:45:00,0.00134
2022-12-28 14:00:00,0.00170
2022-12-28 14:15:00,0.00143
2022-12-28 14:30:00,0.00163
2022-12-28 14:45:00,0.00188
2022-12-28 15:00:00,0.00164
2022-12-28 15:15:00,0.00160
2022-12-28 15:30:00,0.00178
2022-12-28 15:45:00,0.00169
2022-12-28 16:00:00,0.00169
2022-12-28 16:15:00,0.00164
2022-12-28 16:30:00,0.00155
