sep=,
"Time","localhost:8060"
2022-12-27 22:58:00,
2022-12-27 23:00:00,
2022-12-27 23:02:00,
2022-12-27 23:04:00,
2022-12-27 23:06:00,
2022-12-27 23:08:00,
2022-12-27 23:10:00,
2022-12-27 23:12:00,
2022-12-27 23:14:00,
2022-12-27 23:16:00,
2022-12-27 23:18:00,
2022-12-27 23:20:00,
2022-12-27 23:22:00,
2022-12-27 23:24:00,
2022-12-27 23:26:00,
2022-12-27 23:28:00,
2022-12-27 23:30:00,
2022-12-27 23:32:00,
2022-12-27 23:34:00,
2022-12-27 23:36:00,
2022-12-27 23:38:00,
2022-12-27 23:40:00,
2022-12-27 23:42:00,
2022-12-27 23:44:00,
2022-12-27 23:46:00,
2022-12-27 23:48:00,
2022-12-27 23:50:00,
2022-12-27 23:52:00,0.395
2022-12-27 23:54:00,0.164
2022-12-27 23:56:00,0.0600
2022-12-27 23:58:00,0.195
2022-12-28 00:00:00,0.0950
2022-12-28 00:02:00,0.101
2022-12-28 00:04:00,0.0825
2022-12-28 00:06:00,0.0745
2022-12-28 00:08:00,0.162
2022-12-28 00:10:00,0.0818
2022-12-28 00:12:00,0.0624
2022-12-28 00:14:00,0.0526
2022-12-28 00:16:00,0.0406
2022-12-28 00:18:00,0.0444
2022-12-28 00:20:00,0.0769
2022-12-28 00:22:00,0.0585
2022-12-28 00:24:00,0.0596
2022-12-28 00:26:00,0.0617
2022-12-28 00:28:00,0.0507
2022-12-28 00:30:00,0.0546
2022-12-28 00:32:00,0.0611
2022-12-28 00:34:00,0.0597
2022-12-28 00:36:00,0.0593
2022-12-28 00:38:00,0.0593
2022-12-28 00:40:00,0.0639
2022-12-28 00:42:00,0.0613
2022-12-28 00:44:00,0.0689
2022-12-28 00:46:00,0.0770
2022-12-28 00:48:00,0.0783
2022-12-28 00:50:00,0.0756
2022-12-28 00:52:00,0.0579
2022-12-28 00:54:00,0.0616
2022-12-28 00:56:00,0.0631
2022-12-28 00:58:00,0.0681
2022-12-28 01:00:00,0.0636
2022-12-28 01:02:00,0.0733
2022-12-28 01:04:00,0.0661
2022-12-28 01:06:00,0.0676
2022-12-28 01:08:00,0.0771
2022-12-28 01:10:00,0.0793
2022-12-28 01:12:00,0.110
2022-12-28 01:14:00,0.0803
2022-12-28 01:16:00,0.0827
2022-12-28 01:18:00,0.0755
2022-12-28 01:20:00,0.0768
2022-12-28 01:22:00,0.0795
2022-12-28 01:24:00,0.0617
2022-12-28 01:26:00,0.0769
2022-12-28 01:28:00,0.0822
2022-12-28 01:30:00,0.0847
2022-12-28 01:32:00,0.0815
2022-12-28 01:34:00,0.0876
2022-12-28 01:36:00,0.0529
2022-12-28 01:38:00,0.0651
2022-12-28 01:40:00,0.0581
2022-12-28 01:42:00,0.0564
2022-12-28 01:44:00,0.0663
2022-12-28 01:46:00,0.0575
2022-12-28 01:48:00,0.0818
2022-12-28 01:50:00,0.0653
2022-12-28 01:52:00,0.0530
2022-12-28 01:54:00,0.0571
2022-12-28 01:56:00,0.0517
2022-12-28 01:58:00,0.0584
2022-12-28 02:00:00,0.0538
2022-12-28 02:02:00,0.0605
2022-12-28 02:04:00,0.0578
2022-12-28 02:06:00,0.0628
2022-12-28 02:08:00,0.0772
2022-12-28 02:10:00,0.0686
2022-12-28 02:12:00,0.0689
2022-12-28 02:14:00,0.0661
2022-12-28 02:16:00,0.0663
2022-12-28 02:18:00,0.0613
2022-12-28 02:20:00,0.0653
2022-12-28 02:22:00,0.0596
2022-12-28 02:24:00,0.0531
2022-12-28 02:26:00,0.0669
2022-12-28 02:28:00,0.0609
2022-12-28 02:30:00,0.0642
2022-12-28 02:32:00,0.0641
2022-12-28 02:34:00,0.0632
2022-12-28 02:36:00,0.0658
2022-12-28 02:38:00,0.0725
2022-12-28 02:40:00,0.0676
2022-12-28 02:42:00,0.0664
2022-12-28 02:44:00,0.0846
2022-12-28 02:46:00,0.0973
2022-12-28 02:48:00,0.0733
2022-12-28 02:50:00,0.0920
2022-12-28 02:52:00,0.0727
2022-12-28 02:54:00,0.0925
2022-12-28 02:56:00,0.0905
2022-12-28 02:58:00,0.105
2022-12-28 03:00:00,0.0903
2022-12-28 03:02:00,0.0929
2022-12-28 03:04:00,0.0773
2022-12-28 03:06:00,0.0733
2022-12-28 03:08:00,0.0704
2022-12-28 03:10:00,0.0744
2022-12-28 03:12:00,0.0906
2022-12-28 03:14:00,0.0756
2022-12-28 03:16:00,0.102
2022-12-28 03:18:00,0.0856
2022-12-28 03:20:00,0.0901
2022-12-28 03:22:00,0.0673
2022-12-28 03:24:00,0.0866
2022-12-28 03:26:00,0.0753
2022-12-28 03:28:00,0.0847
2022-12-28 03:30:00,0.0655
2022-12-28 03:32:00,0.0780
2022-12-28 03:34:00,0.0787
2022-12-28 03:36:00,0.0767
2022-12-28 03:38:00,0.0787
2022-12-28 03:40:00,0.0719
2022-12-28 03:42:00,0.0797
2022-12-28 03:44:00,0.0873
2022-12-28 03:46:00,0.0741
