sep=,
"Time","{instance=""localhost:9100"", job=""node""}"
2022-12-27 20:20:00,
2022-12-27 20:25:00,
2022-12-27 20:30:00,
2022-12-27 20:35:00,
2022-12-27 20:40:00,
2022-12-27 20:45:00,
2022-12-27 20:50:00,
2022-12-27 20:55:00,
2022-12-27 21:00:00,
2022-12-27 21:05:00,
2022-12-27 21:10:00,
2022-12-27 21:15:00,
2022-12-27 21:20:00,
2022-12-27 21:25:00,
2022-12-27 21:30:00,
2022-12-27 21:35:00,
2022-12-27 21:40:00,
2022-12-27 21:45:00,
2022-12-27 21:50:00,
2022-12-27 21:55:00,
2022-12-27 22:00:00,
2022-12-27 22:05:00,
2022-12-27 22:10:00,
2022-12-27 22:15:00,
2022-12-27 22:20:00,
2022-12-27 22:25:00,
2022-12-27 22:30:00,
2022-12-27 22:35:00,
2022-12-27 22:40:00,
2022-12-27 22:45:00,
2022-12-27 22:50:00,
2022-12-27 22:55:00,
2022-12-27 23:00:00,
2022-12-27 23:05:00,
2022-12-27 23:10:00,
2022-12-27 23:15:00,
2022-12-27 23:20:00,
2022-12-27 23:25:00,
2022-12-27 23:30:00,
2022-12-27 23:35:00,
2022-12-27 23:40:00,
2022-12-27 23:45:00,
2022-12-27 23:50:00,
2022-12-27 23:55:00,0.583
2022-12-28 00:00:00,0.601
2022-12-28 00:05:00,0.609
2022-12-28 00:10:00,0.689
2022-12-28 00:15:00,0.706
2022-12-28 00:20:00,0.707
2022-12-28 00:25:00,0.698
2022-12-28 00:30:00,0.705
2022-12-28 00:35:00,0.718
2022-12-28 00:40:00,0.705
2022-12-28 00:45:00,0.705
2022-12-28 00:50:00,0.708
2022-12-28 00:55:00,0.705
2022-12-28 01:00:00,0.710
2022-12-28 01:05:00,0.712
2022-12-28 01:10:00,0.719
2022-12-28 01:15:00,0.708
2022-12-28 01:20:00,0.721
2022-12-28 01:25:00,0.722
2022-12-28 01:30:00,0.720
2022-12-28 01:35:00,0.712
2022-12-28 01:40:00,0.714
2022-12-28 01:45:00,0.711
2022-12-28 01:50:00,0.715
2022-12-28 01:55:00,0.713
2022-12-28 02:00:00,0.703
2022-12-28 02:05:00,0.709
2022-12-28 02:10:00,0.727
2022-12-28 02:15:00,0.720
2022-12-28 02:20:00,0.716
2022-12-28 02:25:00,0.733
2022-12-28 02:30:00,0.724
2022-12-28 02:35:00,0.715
2022-12-28 02:40:00,0.721
2022-12-28 02:45:00,0.708
2022-12-28 02:50:00,0.720
2022-12-28 02:55:00,0.714
2022-12-28 03:00:00,0.713
2022-12-28 03:05:00,0.715
2022-12-28 03:10:00,0.719
2022-12-28 03:15:00,0.728
2022-12-28 03:20:00,0.724
2022-12-28 03:25:00,0.726
2022-12-28 03:30:00,0.725
2022-12-28 03:35:00,0.718
2022-12-28 03:40:00,0.733
2022-12-28 03:45:00,0.727
2022-12-28 03:50:00,0.721
2022-12-28 03:55:00,0.724
2022-12-28 04:00:00,0.734
2022-12-28 04:05:00,0.726
2022-12-28 04:10:00,0.718
2022-12-28 04:15:00,0.718
2022-12-28 04:20:00,0.740
2022-12-28 04:25:00,0.715
2022-12-28 04:30:00,0.735
2022-12-28 04:35:00,0.732
2022-12-28 04:40:00,0.724
2022-12-28 04:45:00,0.728
2022-12-28 04:50:00,0.739
2022-12-28 04:55:00,0.715
2022-12-28 05:00:00,0.731
2022-12-28 05:05:00,0.747
2022-12-28 05:10:00,0.731
2022-12-28 05:15:00,0.732
2022-12-28 05:20:00,0.741
2022-12-28 05:25:00,0.741
2022-12-28 05:30:00,0.736
2022-12-28 05:35:00,0.750
2022-12-28 05:40:00,0.750
2022-12-28 05:45:00,0.748
2022-12-28 05:50:00,0.756
2022-12-28 05:55:00,0.751
2022-12-28 06:00:00,0.746
2022-12-28 06:05:00,0.755
2022-12-28 06:10:00,0.752
2022-12-28 06:15:00,0.752
2022-12-28 06:20:00,0.757
2022-12-28 06:25:00,0.760
2022-12-28 06:30:00,0.759
2022-12-28 06:35:00,0.761
2022-12-28 06:40:00,0.760
2022-12-28 06:45:00,0.771
2022-12-28 06:50:00,0.771
2022-12-28 06:55:00,0.771
2022-12-28 07:00:00,0.770
2022-12-28 07:05:00,0.765
2022-12-28 07:10:00,0.777
2022-12-28 07:15:00,0.777
2022-12-28 07:20:00,0.780
2022-12-28 07:25:00,0.773
2022-12-28 07:30:00,0.772
2022-12-28 07:35:00,0.780
2022-12-28 07:40:00,0.775
2022-12-28 07:45:00,0.780
2022-12-28 07:50:00,0.772
2022-12-28 07:55:00,0.746
2022-12-28 08:00:00,0.740
2022-12-28 08:05:00,0.745
2022-12-28 08:10:00,0.750
2022-12-28 08:15:00,0.745
2022-12-28 08:20:00,0.749
2022-12-28 08:25:00,0.747
2022-12-28 08:30:00,0.747
2022-12-28 08:35:00,0.749
2022-12-28 08:40:00,0.748
2022-12-28 08:45:00,0.741
2022-12-28 08:50:00,0.748
2022-12-28 08:55:00,0.742
2022-12-28 09:00:00,0.738
2022-12-28 09:05:00,0.743
2022-12-28 09:10:00,0.735
2022-12-28 09:15:00,0.741
2022-12-28 09:20:00,0.746
2022-12-28 09:25:00,0.741
2022-12-28 09:30:00,0.742
2022-12-28 09:35:00,0.750
2022-12-28 09:40:00,0.746
2022-12-28 09:45:00,0.750
2022-12-28 09:50:00,0.753
