sep=,
"Time","localhost:9100"
2022-12-27 20:05:00,
2022-12-27 20:30:00,
2022-12-27 20:55:00,
2022-12-27 21:20:00,
2022-12-27 21:45:00,
2022-12-27 22:10:00,
2022-12-27 22:35:00,
2022-12-27 23:00:00,
2022-12-27 23:25:00,
2022-12-27 23:50:00,
2022-12-28 00:15:00,0.103
2022-12-28 00:40:00,0.380
2022-12-28 01:05:00,0.577
2022-12-28 01:30:00,0.559
2022-12-28 01:55:00,0.414
2022-12-28 02:20:00,0.429
2022-12-28 02:45:00,0.472
2022-12-28 03:10:00,0.495
2022-12-28 03:35:00,0.507
2022-12-28 04:00:00,0.482
2022-12-28 04:25:00,0.494
2022-12-28 04:50:00,0.486
2022-12-28 05:15:00,0.370
2022-12-28 05:40:00,0.362
2022-12-28 06:05:00,0.364
2022-12-28 06:30:00,0.368
2022-12-28 06:55:00,0.388
2022-12-28 07:20:00,0.390
2022-12-28 07:45:00,0.391
2022-12-28 08:10:00,0.377
2022-12-28 08:35:00,0.376
2022-12-28 09:00:00,0.384
2022-12-28 09:25:00,0.386
2022-12-28 09:50:00,0.388
2022-12-28 10:15:00,0.386
2022-12-28 10:40:00,0.386
2022-12-28 11:05:00,0.389
2022-12-28 11:30:00,0.389
2022-12-28 11:55:00,0.396
2022-12-28 12:20:00,0.400
2022-12-28 12:45:00,0.397
2022-12-28 13:10:00,0.400
2022-12-28 13:35:00,0.398
2022-12-28 14:00:00,0.400
2022-12-28 14:25:00,0.401
2022-12-28 14:50:00,0.402
2022-12-28 15:15:00,0.403
2022-12-28 15:40:00,0.403
2022-12-28 16:05:00,0.405
2022-12-28 16:30:00,0.406
2022-12-28 16:55:00,0.407
2022-12-28 17:20:00,0.409
2022-12-28 17:45:00,0.411
2022-12-28 18:10:00,0.404
2022-12-28 18:35:00,0.408
2022-12-28 19:00:00,0.409
2022-12-28 19:25:00,0.411
2022-12-28 19:50:00,0.413
2022-12-28 20:15:00,0.411
2022-12-28 20:40:00,0.413
2022-12-28 21:05:00,0.415
2022-12-28 21:30:00,0.415
2022-12-28 21:55:00,0.419
2022-12-28 22:20:00,0.418
2022-12-28 22:45:00,0.417
2022-12-28 23:10:00,0.431
2022-12-28 23:35:00,0.400
2022-12-29 00:00:00,0.419
2022-12-29 00:25:00,0.415
2022-12-29 00:50:00,0.424
2022-12-29 01:15:00,0.437
2022-12-29 01:40:00,0.428
2022-12-29 02:05:00,0.432
2022-12-29 02:30:00,0.430
2022-12-29 02:55:00,0.424
2022-12-29 03:20:00,0.429
2022-12-29 03:45:00,0.434
2022-12-29 04:10:00,0.434
2022-12-29 04:35:00,0.437
2022-12-29 05:00:00,0.425
2022-12-29 05:25:00,0.429
2022-12-29 05:50:00,0.429
2022-12-29 06:15:00,0.429
2022-12-29 06:40:00,0.431
2022-12-29 07:05:00,0.431
2022-12-29 07:30:00,0.433
2022-12-29 07:55:00,0.433
2022-12-29 08:20:00,0.433
2022-12-29 08:45:00,0.434
2022-12-29 09:10:00,0.437
2022-12-29 09:35:00,0.435
2022-12-29 10:00:00,0.436
2022-12-29 10:25:00,0.437
2022-12-29 10:50:00,0.420
2022-12-29 11:15:00,0.430
2022-12-29 11:40:00,0.439
2022-12-29 12:05:00,0.442
2022-12-29 12:30:00,0.443
2022-12-29 12:55:00,0.448
2022-12-29 13:20:00,0.441
2022-12-29 13:45:00,0.444
2022-12-29 14:10:00,0.444
2022-12-29 14:35:00,0.445
2022-12-29 15:00:00,0.0731
2022-12-29 15:25:00,0.0512
2022-12-29 15:50:00,0.0511
2022-12-29 16:15:00,0.0508
2022-12-29 16:40:00,0.0496
2022-12-29 17:05:00,0.0505
2022-12-29 17:30:00,0.0512
2022-12-29 17:55:00,0.0508
2022-12-29 18:20:00,0.0507
2022-12-29 18:45:00,0.0489
2022-12-29 19:10:00,0.0480
2022-12-29 19:35:00,0.0491
2022-12-29 20:00:00,0.0503

