sep=,
"Time","localhost:9100"
2022-12-27 20:15:00,
2022-12-27 20:30:00,
2022-12-27 20:45:00,
2022-12-27 21:00:00,
2022-12-27 21:15:00,
2022-12-27 21:30:00,
2022-12-27 21:45:00,
2022-12-27 22:00:00,
2022-12-27 22:15:00,
2022-12-27 22:30:00,
2022-12-27 22:45:00,
2022-12-27 23:00:00,
2022-12-27 23:15:00,
2022-12-27 23:30:00,
2022-12-27 23:45:00,
2022-12-28 00:00:00,0.390
2022-12-28 00:15:00,0.128
2022-12-28 00:30:00,0.400
2022-12-28 00:45:00,0.409
2022-12-28 01:00:00,0.591
2022-12-28 01:15:00,0.566
2022-12-28 01:30:00,0.579
2022-12-28 01:45:00,0.441
2022-12-28 02:00:00,0.365
2022-12-28 02:15:00,0.457
2022-12-28 02:30:00,0.470
2022-12-28 02:45:00,0.471
2022-12-28 03:00:00,0.489
2022-12-28 03:15:00,0.500
2022-12-28 03:30:00,0.519
2022-12-28 03:45:00,0.509
2022-12-28 04:00:00,0.467
2022-12-28 04:15:00,0.514
2022-12-28 04:30:00,0.479
2022-12-28 04:45:00,0.484
2022-12-28 05:00:00,0.424
2022-12-28 05:15:00,0.365
2022-12-28 05:30:00,0.364
2022-12-28 05:45:00,0.365
2022-12-28 06:00:00,0.365
2022-12-28 06:15:00,0.370
2022-12-28 06:30:00,0.370
2022-12-28 06:45:00,0.392
2022-12-28 07:00:00,0.389
2022-12-28 07:15:00,0.395
2022-12-28 07:30:00,0.393
2022-12-28 07:45:00,0.395
2022-12-28 08:00:00,0.382
2022-12-28 08:15:00,0.377
2022-12-28 08:30:00,0.379
2022-12-28 08:45:00,0.380
2022-12-28 09:00:00,0.387
2022-12-28 09:15:00,0.390
2022-12-28 09:30:00,0.392
2022-12-28 09:45:00,0.390
2022-12-28 10:00:00,0.391
2022-12-28 10:15:00,0.386
2022-12-28 10:30:00,0.393
2022-12-28 10:45:00,0.391
2022-12-28 11:00:00,0.388
2022-12-28 11:15:00,0.399
2022-12-28 11:30:00,0.391
2022-12-28 11:45:00,0.400
2022-12-28 12:00:00,0.399
2022-12-28 12:15:00,0.405
2022-12-28 12:30:00,0.399
2022-12-28 12:45:00,0.400
2022-12-28 13:00:00,0.402
2022-12-28 13:15:00,0.397
2022-12-28 13:30:00,0.401
2022-12-28 13:45:00,0.403
2022-12-28 14:00:00,0.405
2022-12-28 14:15:00,0.403
2022-12-28 14:30:00,0.408
2022-12-28 14:45:00,0.405
2022-12-28 15:00:00,0.404
2022-12-28 15:15:00,0.405
2022-12-28 15:30:00,0.409
2022-12-28 15:45:00,0.410
2022-12-28 16:00:00,0.409
2022-12-28 16:15:00,0.408
2022-12-28 16:30:00,0.413
2022-12-28 16:45:00,0.410
2022-12-28 17:00:00,0.409
2022-12-28 17:15:00,0.413
2022-12-28 17:30:00,0.412
2022-12-28 17:45:00,0.416
2022-12-28 18:00:00,0.411
2022-12-28 18:15:00,0.403
2022-12-28 18:30:00,0.413
2022-12-28 18:45:00,0.410
2022-12-28 19:00:00,0.413
2022-12-28 19:15:00,0.416
2022-12-28 19:30:00,0.419
2022-12-28 19:45:00,0.416
2022-12-28 20:00:00,0.419
2022-12-28 20:15:00,0.417
2022-12-28 20:30:00,0.417
2022-12-28 20:45:00,0.417
2022-12-28 21:00:00,0.419
2022-12-28 21:15:00,0.421
2022-12-28 21:30:00,0.421
2022-12-28 21:45:00,0.423
2022-12-28 22:00:00,0.426
2022-12-28 22:15:00,0.422
2022-12-28 22:30:00,0.421
2022-12-28 22:45:00,0.419
2022-12-28 23:00:00,0.436
2022-12-28 23:15:00,0.421
2022-12-28 23:30:00,0.405
2022-12-28 23:45:00,0.405
2022-12-29 00:00:00,0.435
2022-12-29 00:15:00,0.411
2022-12-29 00:30:00,0.427
2022-12-29 00:45:00,0.425
2022-12-29 01:00:00,0.450
2022-12-29 01:15:00,0.436
2022-12-29 01:30:00,0.433
2022-12-29 01:45:00,0.433
2022-12-29 02:00:00,0.436
2022-12-29 02:15:00,0.437
2022-12-29 02:30:00,0.432
2022-12-29 02:45:00,0.431
2022-12-29 03:00:00,0.427
2022-12-29 03:15:00,0.433
2022-12-29 03:30:00,0.444
2022-12-29 03:45:00,0.432
2022-12-29 04:00:00,0.436
2022-12-29 04:15:00,0.439
2022-12-29 04:30:00,0.445
2022-12-29 04:45:00,0.431
2022-12-29 05:00:00,0.424
2022-12-29 05:15:00,0.433
2022-12-29 05:30:00,0.432
2022-12-29 05:45:00,0.435
2022-12-29 06:00:00,0.435
2022-12-29 06:15:00,0.432
2022-12-29 06:30:00,0.439
2022-12-29 06:45:00,0.432
2022-12-29 07:00:00,0.434
2022-12-29 07:15:00,0.436
2022-12-29 07:30:00,0.438
2022-12-29 07:45:00,0.438
2022-12-29 08:00:00,0.439
2022-12-29 08:15:00,0.438
2022-12-29 08:30:00,0.437
2022-12-29 08:45:00,0.437
2022-12-29 09:00:00,0.439
2022-12-29 09:15:00,0.439
2022-12-29 09:30:00,0.439
2022-12-29 09:45:00,0.439
2022-12-29 10:00:00,0.441
