sep=,
"Time","gitlab-workhorse"
2022-12-27 20:15:00,
2022-12-27 20:30:00,
2022-12-27 20:45:00,
2022-12-27 21:00:00,
2022-12-27 21:15:00,
2022-12-27 21:30:00,
2022-12-27 21:45:00,
2022-12-27 22:00:00,
2022-12-27 22:15:00,
2022-12-27 22:30:00,
2022-12-27 22:45:00,
2022-12-27 23:00:00,
2022-12-27 23:15:00,
2022-12-27 23:30:00,
2022-12-27 23:45:00,
2022-12-28 00:00:00,0.0185
2022-12-28 00:15:00,3.18
2022-12-28 00:30:00,8.71
2022-12-28 00:45:00,8.34
2022-12-28 01:00:00,10.2
2022-12-28 01:15:00,9.31
2022-12-28 01:30:00,9.69
2022-12-28 01:45:00,8.91
2022-12-28 02:00:00,8.07
2022-12-28 02:15:00,8.69
2022-12-28 02:30:00,9.82
2022-12-28 02:45:00,8.94
2022-12-28 03:00:00,6.99
2022-12-28 03:15:00,8.15
2022-12-28 03:30:00,8.18
2022-12-28 03:45:00,8.58
2022-12-28 04:00:00,8.52
2022-12-28 04:15:00,7.43
2022-12-28 04:30:00,9.40
2022-12-28 04:45:00,8.35
2022-12-28 05:00:00,22.4
2022-12-28 05:15:00,31.5
2022-12-28 05:30:00,31.8
2022-12-28 05:45:00,31.8
2022-12-28 06:00:00,30.5
2022-12-28 06:15:00,29.3
2022-12-28 06:30:00,28.4
2022-12-28 06:45:00,21.7
2022-12-28 07:00:00,21.7
2022-12-28 07:15:00,20.2
2022-12-28 07:30:00,19.1
2022-12-28 07:45:00,18.5
2022-12-28 08:00:00,24.7
2022-12-28 08:15:00,25.7
2022-12-28 08:30:00,25.8
2022-12-28 08:45:00,24.7
2022-12-28 09:00:00,23.7
2022-12-28 09:15:00,22.3
2022-12-28 09:30:00,22.5
2022-12-28 09:45:00,21.3
2022-12-28 10:00:00,20.0
2022-12-28 10:15:00,19.6
2022-12-28 10:30:00,20.1
2022-12-28 10:45:00,19.8
2022-12-28 11:00:00,18.9
2022-12-28 11:15:00,17.7
2022-12-28 11:30:00,18.2
2022-12-28 11:45:00,17.6
2022-12-28 12:00:00,17.9
2022-12-28 12:15:00,17.4
2022-12-28 12:30:00,18.4
2022-12-28 12:45:00,18.2
2022-12-28 13:00:00,18.4
2022-12-28 13:15:00,17.7
2022-12-28 13:30:00,18.8
2022-12-28 13:45:00,18.5
2022-12-28 14:00:00,17.7
2022-12-28 14:15:00,17.8
2022-12-28 14:30:00,17.1
2022-12-28 14:45:00,17.0
2022-12-28 15:00:00,17.0
2022-12-28 15:15:00,16.5
2022-12-28 15:30:00,16.5
2022-12-28 15:45:00,16.2
2022-12-28 16:00:00,16.8
2022-12-28 16:15:00,16.6
2022-12-28 16:30:00,17.0
2022-12-28 16:45:00,17.1
2022-12-28 17:00:00,16.1
2022-12-28 17:15:00,16.1
2022-12-28 17:30:00,15.7
2022-12-28 17:45:00,15.5
2022-12-28 18:00:00,14.9
2022-12-28 18:15:00,14.7
2022-12-28 18:30:00,14.5
2022-12-28 18:45:00,13.2
2022-12-28 19:00:00,13.8
2022-12-28 19:15:00,14.4
2022-12-28 19:30:00,15.3
2022-12-28 19:45:00,15.7
2022-12-28 20:00:00,14.5
2022-12-28 20:15:00,13.1
2022-12-28 20:30:00,14.3
2022-12-28 20:45:00,14.4
2022-12-28 21:00:00,14.2
2022-12-28 21:15:00,13.5
2022-12-28 21:30:00,13.9
2022-12-28 21:45:00,12.4
2022-12-28 22:00:00,12.3
2022-12-28 22:15:00,14.3
2022-12-28 22:30:00,14.7
2022-12-28 22:45:00,14.8
2022-12-28 23:00:00,13.5
2022-12-28 23:15:00,12.4
2022-12-28 23:30:00,14.8
2022-12-28 23:45:00,13.7
2022-12-29 00:00:00,11.9
2022-12-29 00:15:00,10.7
2022-12-29 00:30:00,11.8
2022-12-29 00:45:00,15.2
2022-12-29 01:00:00,11.2
2022-12-29 01:15:00,12.0
2022-12-29 01:30:00,13.7
2022-12-29 01:45:00,13.6
2022-12-29 02:00:00,10.8
2022-12-29 02:15:00,9.23
2022-12-29 02:30:00,14.4
2022-12-29 02:45:00,16.2
2022-12-29 03:00:00,15.7
2022-12-29 03:15:00,14.5
2022-12-29 03:30:00,10.2
2022-12-29 03:45:00,9.70
2022-12-29 04:00:00,10.4
2022-12-29 04:15:00,8.95
2022-12-29 04:30:00,10.1
2022-12-29 04:45:00,11.7
2022-12-29 05:00:00,13.4
2022-12-29 05:15:00,17.3
2022-12-29 05:30:00,17.6
2022-12-29 05:45:00,17.7
2022-12-29 06:00:00,17.5
2022-12-29 06:15:00,17.4
2022-12-29 06:30:00,17.3
2022-12-29 06:45:00,17.3
2022-12-29 07:00:00,17.2
2022-12-29 07:15:00,17.3
2022-12-29 07:30:00,17.1
2022-12-29 07:45:00,17.0
2022-12-29 08:00:00,17.0
2022-12-29 08:15:00,16.9
2022-12-29 08:30:00,16.9
2022-12-29 08:45:00,17.0
2022-12-29 09:00:00,17.0
2022-12-29 09:15:00,16.7
2022-12-29 09:30:00,16.7
2022-12-29 09:45:00,16.7
2022-12-29 10:00:00,16.6
2022-12-29 10:15:00,16.6
2022-12-29 10:30:00,16.6
2022-12-29 10:45:00,16.6
2022-12-29 11:00:00,16.6
2022-12-29 11:15:00,16.3
2022-12-29 11:30:00,16.3
2022-12-29 11:45:00,16.3
2022-12-29 12:00:00,16.4
2022-12-29 12:15:00,16.1
2022-12-29 12:30:00,16.1
2022-12-29 12:45:00,16.0
2022-12-29 13:00:00,15.9
2022-12-29 13:15:00,15.8
2022-12-29 13:30:00,15.8
2022-12-29 13:45:00,15.9
2022-12-29 14:00:00,15.7
2022-12-29 14:15:00,15.7
2022-12-29 14:30:00,15.7
2022-12-29 14:45:00,7.78
2022-12-29 15:00:00,0.0111
2022-12-29 15:15:00,0.0111
2022-12-29 15:30:00,0.0111
2022-12-29 15:45:00,0.0111
2022-12-29 16:00:00,0.0133
2022-12-29 16:15:00,0.0222
2022-12-29 16:30:00,0.0222
2022-12-29 16:45:00,0.0222
2022-12-29 17:00:00,0.0222
2022-12-29 17:15:00,0.0222
2022-12-29 17:30:00,0.0222
2022-12-29 17:45:00,0.0185
2022-12-29 18:00:00,0.0111
2022-12-29 18:15:00,0.0111
2022-12-29 18:30:00,0.0111
2022-12-29 18:45:00,0.0111
2022-12-29 19:00:00,0.0111
2022-12-29 19:15:00,0.0111
2022-12-29 19:30:00,0.0170
2022-12-29 19:45:00,0.0222
2022-12-29 20:00:00,0.0222
2022-12-29 20:15:00,0.0222

