sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-12-27 22:45:00,,,,,,,,,
2022-12-27 23:00:00,,,,,,,,,
2022-12-27 23:15:00,,,,,,,,,
2022-12-27 23:30:00,,,,,,,,,
2022-12-27 23:45:00,,,,,,,,,
2022-12-28 00:00:00,0.200,0.208,0.335,0.602,0.00100,0.00188,0.00690,0.208,0.0284
2022-12-28 00:15:00,0.200,0.257,0.335,0.720,0.0175,0.00240,0.00850,0.257,0.0286
2022-12-28 00:30:00,0.200,0.651,0.340,0.723,0.0275,0.00336,0.00990,0.651,0.0285
2022-12-28 00:45:00,0.150,0.587,0.345,0.726,0.0298,0.00378,0.0100,0.587,0.0253
2022-12-28 01:00:00,0.219,0.696,0.351,0.728,0.0303,0.00322,0.00940,0.696,0.0257
2022-12-28 01:15:00,0.162,0.693,0.357,0.735,0.0301,0.00476,0.0102,0.693,0.0401
2022-12-28 01:30:00,0.222,0.668,0.362,0.738,0.0297,0.00562,0.0107,0.668,0.0309
2022-12-28 01:45:00,0.125,0.663,0.366,0.731,0.0257,0.00500,0.00970,0.663,0.0333
2022-12-28 02:00:00,0.107,0.499,0.371,0.736,0.0143,0.00476,0.00980,0.499,0.0310
2022-12-28 02:15:00,0.172,0.529,0.372,0.731,0.0170,0.00532,0.00990,0.529,0.0348
2022-12-28 02:30:00,0.138,0.503,0.374,0.730,0.0169,0.00532,0.00980,0.503,0.0290
2022-12-28 02:45:00,0.130,0.523,0.380,0.738,0.0131,0.00588,0.00970,0.523,0.0345
2022-12-28 03:00:00,0.130,0.559,0.384,0.737,0.0131,0.00456,0.0104,0.559,0.0438
2022-12-28 03:15:00,0.185,0.576,0.389,0.736,0.0124,0.00522,0.0100,0.576,0.0381
2022-12-28 03:30:00,0.148,0.544,0.394,0.737,0.0117,0.00526,0.00970,0.544,0.0403
2022-12-28 03:45:00,0.133,0.546,0.397,0.743,0.0140,0.00496,0.00980,0.546,0.0377
2022-12-28 04:00:00,0.160,0.535,0.401,0.742,0.0164,0.00594,0.00970,0.535,0.0387
2022-12-28 04:15:00,0.125,0.552,0.405,0.742,0.0123,0.00540,0.00940,0.552,0.0429
2022-12-28 04:30:00,0.130,0.561,0.407,0.743,0.0129,0.00536,0.0100,0.561,0.0430
2022-12-28 04:45:00,0.115,0.529,0.412,0.740,0.0139,0.00526,0.00980,0.529,0.0402
2022-12-28 05:00:00,0.125,0.562,0.416,0.748,0.0103,0.00574,0.00990,0.562,0.0388
2022-12-28 05:15:00,0.143,0.371,0.419,0.752,0.00147,0.00822,0.00830,0.371,0.0180
2022-12-28 05:30:00,0.231,0.377,0.423,0.748,0.00147,0.00774,0.00790,0.377,0.0173
2022-12-28 05:45:00,0.154,0.367,0.428,0.761,0.00147,0.00772,0.00780,0.367,0.0163
2022-12-28 06:00:00,0.200,0.371,0.432,0.765,0.00147,0.00778,0.00820,0.371,0.0172
2022-12-28 06:15:00,0.200,0.378,0.437,0.763,0.00147,0.00784,0.00830,0.378,0.0154
2022-12-28 06:30:00,0.273,0.375,0.441,0.767,0.00147,0.00772,0.00710,0.375,0.0158
2022-12-28 06:45:00,0.182,0.409,0.445,0.777,0.00147,0.00790,0.00800,0.409,0.0277
2022-12-28 07:00:00,0.273,0.397,0.448,0.780,0.00147,0.00794,0.00810,0.397,0.0268
