sep=,
"Time","postgres service"
2022-12-25 22:30:00,
2022-12-25 22:45:00,
2022-12-25 23:00:00,
2022-12-25 23:15:00,
2022-12-25 23:30:00,
2022-12-25 23:45:00,
2022-12-26 00:00:00,
2022-12-26 00:15:00,
2022-12-26 00:30:00,
2022-12-26 00:45:00,
2022-12-26 01:00:00,
2022-12-26 01:15:00,
2022-12-26 01:30:00,
2022-12-26 01:45:00,
2022-12-26 02:00:00,
2022-12-26 02:15:00,
2022-12-26 02:30:00,
2022-12-26 02:45:00,
2022-12-26 03:00:00,
2022-12-26 03:15:00,
2022-12-26 03:30:00,
2022-12-26 03:45:00,
2022-12-26 04:00:00,
2022-12-26 04:15:00,
2022-12-26 04:30:00,
2022-12-26 04:45:00,
2022-12-26 05:00:00,
2022-12-26 05:15:00,
2022-12-26 05:30:00,
2022-12-26 05:45:00,
2022-12-26 06:00:00,
2022-12-26 06:15:00,
2022-12-26 06:30:00,
2022-12-26 06:45:00,
2022-12-26 07:00:00,
2022-12-26 07:15:00,
2022-12-26 07:30:00,
2022-12-26 07:45:00,
2022-12-26 08:00:00,
2022-12-26 08:15:00,
2022-12-26 08:30:00,
2022-12-26 08:45:00,
2022-12-26 09:00:00,
2022-12-26 09:15:00,
2022-12-26 09:30:00,
2022-12-26 09:45:00,0
2022-12-26 10:00:00,0
2022-12-26 10:15:00,0
2022-12-26 10:30:00,0
2022-12-26 10:45:00,0
2022-12-26 11:00:00,0
2022-12-26 11:15:00,0
2022-12-26 11:30:00,0
2022-12-26 11:45:00,0
2022-12-26 12:00:00,0
2022-12-26 12:15:00,0.000577
2022-12-26 12:30:00,0.00133
2022-12-26 12:45:00,0.00157
2022-12-26 13:00:00,0.00258
2022-12-26 13:15:00,0.00253
2022-12-26 13:30:00,0.00303
2022-12-26 13:45:00,0.00369
2022-12-26 14:00:00,0.00347
2022-12-26 14:15:00,0.00386
2022-12-26 14:30:00,0.00441
2022-12-26 14:45:00,0.00437
2022-12-26 15:00:00,0.00508
2022-12-26 15:15:00,0.00509
2022-12-26 15:30:00,0.00536
2022-12-26 15:45:00,0.00528
2022-12-26 16:00:00,0.00551
2022-12-26 16:15:00,0.00566
2022-12-26 16:30:00,0.00566
2022-12-26 16:45:00,0.00574
2022-12-26 17:00:00,0.00623
2022-12-26 17:15:00,0.00641
2022-12-26 17:30:00,0.00577
2022-12-26 17:45:00,0.00594
2022-12-26 18:00:00,0.00621
2022-12-26 18:15:00,0.00653
2022-12-26 18:30:00,0.00689
2022-12-26 18:45:00,0.00668
2022-12-26 19:00:00,0.00675
2022-12-26 19:15:00,0.00673
