sep=,
"Time","localhost:8060"
2022-12-25 22:46:00,
2022-12-25 22:48:00,
2022-12-25 22:50:00,
2022-12-25 22:52:00,
2022-12-25 22:54:00,
2022-12-25 22:56:00,
2022-12-25 22:58:00,
2022-12-25 23:00:00,
2022-12-25 23:02:00,
2022-12-25 23:04:00,
2022-12-25 23:06:00,
2022-12-25 23:08:00,
2022-12-25 23:10:00,
2022-12-25 23:12:00,
2022-12-25 23:14:00,
2022-12-25 23:16:00,
2022-12-25 23:18:00,
2022-12-25 23:20:00,
2022-12-25 23:22:00,
2022-12-25 23:24:00,
2022-12-25 23:26:00,
2022-12-25 23:28:00,
2022-12-25 23:30:00,
2022-12-25 23:32:00,
2022-12-25 23:34:00,
2022-12-25 23:36:00,
2022-12-25 23:38:00,
2022-12-25 23:40:00,
2022-12-25 23:42:00,
2022-12-25 23:44:00,
2022-12-25 23:46:00,
2022-12-25 23:48:00,
2022-12-25 23:50:00,
2022-12-25 23:52:00,
2022-12-25 23:54:00,
2022-12-25 23:56:00,
2022-12-25 23:58:00,
2022-12-26 00:00:00,
2022-12-26 00:02:00,
2022-12-26 00:04:00,
2022-12-26 00:06:00,
2022-12-26 00:08:00,
2022-12-26 00:10:00,
2022-12-26 00:12:00,
2022-12-26 00:14:00,
2022-12-26 00:16:00,
2022-12-26 00:18:00,
2022-12-26 00:20:00,
2022-12-26 00:22:00,
2022-12-26 00:24:00,
2022-12-26 00:26:00,
2022-12-26 00:28:00,
2022-12-26 00:30:00,
2022-12-26 00:32:00,
2022-12-26 00:34:00,
2022-12-26 00:36:00,
2022-12-26 00:38:00,
2022-12-26 00:40:00,
2022-12-26 00:42:00,
2022-12-26 00:44:00,
2022-12-26 00:46:00,
2022-12-26 00:48:00,
2022-12-26 00:50:00,
2022-12-26 00:52:00,
2022-12-26 00:54:00,
2022-12-26 00:56:00,
2022-12-26 00:58:00,
2022-12-26 01:00:00,
2022-12-26 01:02:00,
2022-12-26 01:04:00,
2022-12-26 01:06:00,
2022-12-26 01:08:00,
2022-12-26 01:10:00,
2022-12-26 01:12:00,
2022-12-26 01:14:00,
2022-12-26 01:16:00,
2022-12-26 01:18:00,
2022-12-26 01:20:00,
2022-12-26 01:22:00,
2022-12-26 01:24:00,
2022-12-26 01:26:00,
2022-12-26 01:28:00,
2022-12-26 01:30:00,
2022-12-26 01:32:00,
2022-12-26 01:34:00,
2022-12-26 01:36:00,
2022-12-26 01:38:00,
2022-12-26 01:40:00,
2022-12-26 01:42:00,
2022-12-26 01:44:00,
2022-12-26 01:46:00,
2022-12-26 01:48:00,
2022-12-26 01:50:00,
2022-12-26 01:52:00,
2022-12-26 01:54:00,
2022-12-26 01:56:00,
2022-12-26 01:58:00,
2022-12-26 02:00:00,
2022-12-26 02:02:00,
2022-12-26 02:04:00,
2022-12-26 02:06:00,
2022-12-26 02:08:00,
2022-12-26 02:10:00,
2022-12-26 02:12:00,
2022-12-26 02:14:00,
2022-12-26 02:16:00,
2022-12-26 02:18:00,
2022-12-26 02:20:00,
2022-12-26 02:22:00,
2022-12-26 02:24:00,
2022-12-26 02:26:00,
2022-12-26 02:28:00,
2022-12-26 02:30:00,
2022-12-26 02:32:00,
2022-12-26 02:34:00,
2022-12-26 02:36:00,
2022-12-26 02:38:00,
2022-12-26 02:40:00,
2022-12-26 02:42:00,
2022-12-26 02:44:00,
2022-12-26 02:46:00,
2022-12-26 02:48:00,
2022-12-26 02:50:00,
2022-12-26 02:52:00,
2022-12-26 02:54:00,
2022-12-26 02:56:00,
2022-12-26 02:58:00,
2022-12-26 03:00:00,
2022-12-26 03:02:00,
2022-12-26 03:04:00,
2022-12-26 03:06:00,
2022-12-26 03:08:00,
2022-12-26 03:10:00,
2022-12-26 03:12:00,
2022-12-26 03:14:00,
2022-12-26 03:16:00,
2022-12-26 03:18:00,
2022-12-26 03:20:00,
2022-12-26 03:22:00,
2022-12-26 03:24:00,
2022-12-26 03:26:00,
2022-12-26 03:28:00,
2022-12-26 03:30:00,
2022-12-26 03:32:00,
2022-12-26 03:34:00,
2022-12-26 03:36:00,
2022-12-26 03:38:00,
2022-12-26 03:40:00,
2022-12-26 03:42:00,
2022-12-26 03:44:00,
2022-12-26 03:46:00,
2022-12-26 03:48:00,
2022-12-26 03:50:00,
2022-12-26 03:52:00,
2022-12-26 03:54:00,
2022-12-26 03:56:00,
2022-12-26 03:58:00,
2022-12-26 04:00:00,
2022-12-26 04:02:00,
2022-12-26 04:04:00,
2022-12-26 04:06:00,
2022-12-26 04:08:00,
2022-12-26 04:10:00,
2022-12-26 04:12:00,
2022-12-26 04:14:00,
2022-12-26 04:16:00,
2022-12-26 04:18:00,
2022-12-26 04:20:00,
2022-12-26 04:22:00,
2022-12-26 04:24:00,
2022-12-26 04:26:00,
2022-12-26 04:28:00,
2022-12-26 04:30:00,
2022-12-26 04:32:00,
2022-12-26 04:34:00,
2022-12-26 04:36:00,
2022-12-26 04:38:00,
2022-12-26 04:40:00,
2022-12-26 04:42:00,
2022-12-26 04:44:00,
2022-12-26 04:46:00,
2022-12-26 04:48:00,
2022-12-26 04:50:00,
2022-12-26 04:52:00,
2022-12-26 04:54:00,
2022-12-26 04:56:00,
2022-12-26 04:58:00,
2022-12-26 05:00:00,
2022-12-26 05:02:00,
2022-12-26 05:04:00,
2022-12-26 05:06:00,
2022-12-26 05:08:00,
2022-12-26 05:10:00,
2022-12-26 05:12:00,
2022-12-26 05:14:00,
2022-12-26 05:16:00,
2022-12-26 05:18:00,
2022-12-26 05:20:00,
2022-12-26 05:22:00,
2022-12-26 05:24:00,
2022-12-26 05:26:00,
2022-12-26 05:28:00,
2022-12-26 05:30:00,
2022-12-26 05:32:00,
2022-12-26 05:34:00,
2022-12-26 05:36:00,
2022-12-26 05:38:00,
2022-12-26 05:40:00,
2022-12-26 05:42:00,
2022-12-26 05:44:00,
2022-12-26 05:46:00,
2022-12-26 05:48:00,
2022-12-26 05:50:00,
2022-12-26 05:52:00,
2022-12-26 05:54:00,
2022-12-26 05:56:00,
2022-12-26 05:58:00,
2022-12-26 06:00:00,
2022-12-26 06:02:00,
2022-12-26 06:04:00,
2022-12-26 06:06:00,
2022-12-26 06:08:00,
2022-12-26 06:10:00,
2022-12-26 06:12:00,
2022-12-26 06:14:00,
2022-12-26 06:16:00,
2022-12-26 06:18:00,
2022-12-26 06:20:00,
2022-12-26 06:22:00,
2022-12-26 06:24:00,
2022-12-26 06:26:00,
2022-12-26 06:28:00,
2022-12-26 06:30:00,
2022-12-26 06:32:00,
2022-12-26 06:34:00,
2022-12-26 06:36:00,
2022-12-26 06:38:00,
2022-12-26 06:40:00,
2022-12-26 06:42:00,
2022-12-26 06:44:00,
2022-12-26 06:46:00,
2022-12-26 06:48:00,
2022-12-26 06:50:00,
2022-12-26 06:52:00,
2022-12-26 06:54:00,
2022-12-26 06:56:00,
2022-12-26 06:58:00,
2022-12-26 07:00:00,
2022-12-26 07:02:00,
2022-12-26 07:04:00,
2022-12-26 07:06:00,
2022-12-26 07:08:00,
2022-12-26 07:10:00,
2022-12-26 07:12:00,
2022-12-26 07:14:00,
2022-12-26 07:16:00,
2022-12-26 07:18:00,
2022-12-26 07:20:00,
2022-12-26 07:22:00,
2022-12-26 07:24:00,
2022-12-26 07:26:00,
2022-12-26 07:28:00,
2022-12-26 07:30:00,
2022-12-26 07:32:00,
2022-12-26 07:34:00,
2022-12-26 07:36:00,
2022-12-26 07:38:00,
2022-12-26 07:40:00,
2022-12-26 07:42:00,
2022-12-26 07:44:00,
2022-12-26 07:46:00,
2022-12-26 07:48:00,
2022-12-26 07:50:00,
2022-12-26 07:52:00,
2022-12-26 07:54:00,
2022-12-26 07:56:00,
2022-12-26 07:58:00,
2022-12-26 08:00:00,
2022-12-26 08:02:00,
2022-12-26 08:04:00,
2022-12-26 08:06:00,
2022-12-26 08:08:00,
2022-12-26 08:10:00,
2022-12-26 08:12:00,
2022-12-26 08:14:00,
2022-12-26 08:16:00,
2022-12-26 08:18:00,
2022-12-26 08:20:00,
2022-12-26 08:22:00,
2022-12-26 08:24:00,
2022-12-26 08:26:00,
2022-12-26 08:28:00,
2022-12-26 08:30:00,
2022-12-26 08:32:00,
2022-12-26 08:34:00,
2022-12-26 08:36:00,
2022-12-26 08:38:00,
2022-12-26 08:40:00,
2022-12-26 08:42:00,
2022-12-26 08:44:00,
2022-12-26 08:46:00,
2022-12-26 08:48:00,
2022-12-26 08:50:00,
2022-12-26 08:52:00,
2022-12-26 08:54:00,
2022-12-26 08:56:00,
2022-12-26 08:58:00,
2022-12-26 09:00:00,
2022-12-26 09:02:00,
2022-12-26 09:04:00,
2022-12-26 09:06:00,
2022-12-26 09:08:00,
2022-12-26 09:10:00,
2022-12-26 09:12:00,
2022-12-26 09:14:00,
2022-12-26 09:16:00,
2022-12-26 09:18:00,
2022-12-26 09:20:00,
2022-12-26 09:22:00,
2022-12-26 09:24:00,
2022-12-26 09:26:00,
2022-12-26 09:28:00,
2022-12-26 09:30:00,
2022-12-26 09:32:00,
2022-12-26 09:34:00,
2022-12-26 09:36:00,
2022-12-26 09:38:00,
2022-12-26 09:40:00,0.138
2022-12-26 09:42:00,0.0720
2022-12-26 09:44:00,0.0361
2022-12-26 09:46:00,0.0427
2022-12-26 09:48:00,0.0410
2022-12-26 09:50:00,0.0450
2022-12-26 09:52:00,0.0508
2022-12-26 09:54:00,0.0460
2022-12-26 09:56:00,0.0433
2022-12-26 09:58:00,0.0424
2022-12-26 10:00:00,0.0408
2022-12-26 10:02:00,0.0437
2022-12-26 10:04:00,0.0390
2022-12-26 10:06:00,0.0372
2022-12-26 10:08:00,0.0414
2022-12-26 10:10:00,0.0394
2022-12-26 10:12:00,0.0433
2022-12-26 10:14:00,0.0458
2022-12-26 10:16:00,0.0470
2022-12-26 10:18:00,0.0451
2022-12-26 10:20:00,0.0452
2022-12-26 10:22:00,0.0470
2022-12-26 10:24:00,0.0461
2022-12-26 10:26:00,0.0422
2022-12-26 10:28:00,0.0439
2022-12-26 10:30:00,0.0428
2022-12-26 10:32:00,0.0513
2022-12-26 10:34:00,0.0475
2022-12-26 10:36:00,0.0463
2022-12-26 10:38:00,0.0512
2022-12-26 10:40:00,0.0413
2022-12-26 10:42:00,0.0443
2022-12-26 10:44:00,0.0425
2022-12-26 10:46:00,0.0439
2022-12-26 10:48:00,0.0388
2022-12-26 10:50:00,0.0450
2022-12-26 10:52:00,0.0437
2022-12-26 10:54:00,0.0435
2022-12-26 10:56:00,0.0441
2022-12-26 10:58:00,0.0416
2022-12-26 11:00:00,0.0431
2022-12-26 11:02:00,0.0434
2022-12-26 11:04:00,0.0429
2022-12-26 11:06:00,0.0430
2022-12-26 11:08:00,0.0427
2022-12-26 11:10:00,0.0433
2022-12-26 11:12:00,0.0432
2022-12-26 11:14:00,0.0427
2022-12-26 11:16:00,0.0410
2022-12-26 11:18:00,0.0442
2022-12-26 11:20:00,0.0450
2022-12-26 11:22:00,0.0460
2022-12-26 11:24:00,0.0426
2022-12-26 11:26:00,0.0430
2022-12-26 11:28:00,0.0435
2022-12-26 11:30:00,0.0427
2022-12-26 11:32:00,0.0453
2022-12-26 11:34:00,0.0450
2022-12-26 11:36:00,0.0431
2022-12-26 11:38:00,0.0451
2022-12-26 11:40:00,0.0424
2022-12-26 11:42:00,0.0445
2022-12-26 11:44:00,0.0438
2022-12-26 11:46:00,0.0423
2022-12-26 11:48:00,0.0437
2022-12-26 11:50:00,0.0449
2022-12-26 11:52:00,0.0443
2022-12-26 11:54:00,0.0450
2022-12-26 11:56:00,0.0450
2022-12-26 11:58:00,0.0451
2022-12-26 12:00:00,0.0251
2022-12-26 12:02:00,0.0208
2022-12-26 12:04:00,0.0207
2022-12-26 12:06:00,0.0207
2022-12-26 12:08:00,0.0210
2022-12-26 12:10:00,0.0212
2022-12-26 12:12:00,0.0212
2022-12-26 12:14:00,0.0213
2022-12-26 12:16:00,0.0213
2022-12-26 12:18:00,0.0214
2022-12-26 12:20:00,0.0217
2022-12-26 12:22:00,0.0217
2022-12-26 12:24:00,0.0218
2022-12-26 12:26:00,0.0218
2022-12-26 12:28:00,0.0220
2022-12-26 12:30:00,0.0220
2022-12-26 12:32:00,0.0221
2022-12-26 12:34:00,0.0223
2022-12-26 12:36:00,0.0222
2022-12-26 12:38:00,0.0225
2022-12-26 12:40:00,0.0225
2022-12-26 12:42:00,0.0225
2022-12-26 12:44:00,0.0227
2022-12-26 12:46:00,0.0229
2022-12-26 12:48:00,0.0228
2022-12-26 12:50:00,0.0228
2022-12-26 12:52:00,0.0230
2022-12-26 12:54:00,0.0231
2022-12-26 12:56:00,0.0231
2022-12-26 12:58:00,0.0234
2022-12-26 13:00:00,0.0233
2022-12-26 13:02:00,0.0236
2022-12-26 13:04:00,0.0235
2022-12-26 13:06:00,0.0235
2022-12-26 13:08:00,0.0235
2022-12-26 13:10:00,0.0236
2022-12-26 13:12:00,0.0236
2022-12-26 13:14:00,0.0239
2022-12-26 13:16:00,0.0240
2022-12-26 13:18:00,0.0240
2022-12-26 13:20:00,0.0239
2022-12-26 13:22:00,0.0239
2022-12-26 13:24:00,0.0241
2022-12-26 13:26:00,0.0243
2022-12-26 13:28:00,0.0243
2022-12-26 13:30:00,0.0244
2022-12-26 13:32:00,0.0247
2022-12-26 13:34:00,0.0245
2022-12-26 13:36:00,0.0247
2022-12-26 13:38:00,0.0246
2022-12-26 13:40:00,0.0247
2022-12-26 13:42:00,0.0246
2022-12-26 13:44:00,0.0249
2022-12-26 13:46:00,0.0248
2022-12-26 13:48:00,0.0250
2022-12-26 13:50:00,0.0251
2022-12-26 13:52:00,0.0248
2022-12-26 13:54:00,0.0251
2022-12-26 13:56:00,0.0250
2022-12-26 13:58:00,0.0254
2022-12-26 14:00:00,0.0253
2022-12-26 14:02:00,0.0251
2022-12-26 14:04:00,0.0256
2022-12-26 14:06:00,0.0253
2022-12-26 14:08:00,0.0258
2022-12-26 14:10:00,0.0257
2022-12-26 14:12:00,0.0256
2022-12-26 14:14:00,0.0256
2022-12-26 14:16:00,0.0253
2022-12-26 14:18:00,0.0254
2022-12-26 14:20:00,0.0258
2022-12-26 14:22:00,0.0253
2022-12-26 14:24:00,0.0256
2022-12-26 14:26:00,0.0250
2022-12-26 14:28:00,0.0253
2022-12-26 14:30:00,0.0250
2022-12-26 14:32:00,0.0252
2022-12-26 14:34:00,0.0254
2022-12-26 14:36:00,0.0253
2022-12-26 14:38:00,0.0256
2022-12-26 14:40:00,0.0253
2022-12-26 14:42:00,0.0252
2022-12-26 14:44:00,0.0259
2022-12-26 14:46:00,0.0254
2022-12-26 14:48:00,0.0254
2022-12-26 14:50:00,0.0256
2022-12-26 14:52:00,0.0252
2022-12-26 14:54:00,0.0255
2022-12-26 14:56:00,0.0254
2022-12-26 14:58:00,0.0256
2022-12-26 15:00:00,0.0255
2022-12-26 15:02:00,0.0256
2022-12-26 15:04:00,0.0256
2022-12-26 15:06:00,0.0257
2022-12-26 15:08:00,0.0255
2022-12-26 15:10:00,0.0258
2022-12-26 15:12:00,0.0257
2022-12-26 15:14:00,0.0257
2022-12-26 15:16:00,0.0259
2022-12-26 15:18:00,0.0260
2022-12-26 15:20:00,0.0259
2022-12-26 15:22:00,0.0254
2022-12-26 15:24:00,0.0257
2022-12-26 15:26:00,0.0256
2022-12-26 15:28:00,0.0255
2022-12-26 15:30:00,0.0259
2022-12-26 15:32:00,0.0257
2022-12-26 15:34:00,0.0262
2022-12-26 15:36:00,0.0256
2022-12-26 15:38:00,0.0256
2022-12-26 15:40:00,0.0260
2022-12-26 15:42:00,0.0259
2022-12-26 15:44:00,0.0258
2022-12-26 15:46:00,0.0259
2022-12-26 15:48:00,0.0257
2022-12-26 15:50:00,0.0259
2022-12-26 15:52:00,0.0261
