sep=,
"Time","localhost:9100"
2022-12-25 23:05:00,
2022-12-25 23:30:00,
2022-12-25 23:55:00,
2022-12-26 00:20:00,
2022-12-26 00:45:00,
2022-12-26 01:10:00,
2022-12-26 01:35:00,
2022-12-26 02:00:00,
2022-12-26 02:25:00,
2022-12-26 02:50:00,
2022-12-26 03:15:00,
2022-12-26 03:40:00,
2022-12-26 04:05:00,
2022-12-26 04:30:00,
2022-12-26 04:55:00,
2022-12-26 05:20:00,
2022-12-26 05:45:00,
2022-12-26 06:10:00,
2022-12-26 06:35:00,
2022-12-26 07:00:00,
2022-12-26 07:25:00,
2022-12-26 07:50:00,
2022-12-26 08:15:00,
2022-12-26 08:40:00,
2022-12-26 09:05:00,
2022-12-26 09:30:00,
2022-12-26 09:55:00,0.528
2022-12-26 10:20:00,0.351
2022-12-26 10:45:00,0.542
2022-12-26 11:10:00,0.528
2022-12-26 11:35:00,0.593
2022-12-26 12:00:00,0.573
2022-12-26 12:25:00,0.347
2022-12-26 12:50:00,0.349
2022-12-26 13:15:00,0.353
2022-12-26 13:40:00,0.355
2022-12-26 14:05:00,0.358
2022-12-26 14:30:00,0.362
2022-12-26 14:55:00,0.365
2022-12-26 15:20:00,0.369
2022-12-26 15:45:00,0.375
2022-12-26 16:10:00,0.378
2022-12-26 16:35:00,0.382
2022-12-26 17:00:00,0.381
2022-12-26 17:25:00,0.388
2022-12-26 17:50:00,0.391
2022-12-26 18:15:00,0.399
2022-12-26 18:40:00,0.397
2022-12-26 19:05:00,0.400
2022-12-26 19:30:00,0.403
2022-12-26 19:55:00,0.408
2022-12-26 20:20:00,0.411
2022-12-26 20:45:00,0.412
2022-12-26 21:10:00,0.416
2022-12-26 21:35:00,0.419
2022-12-26 22:00:00,0.423
2022-12-26 22:25:00,0.421
2022-12-26 22:50:00,0.425
2022-12-26 23:15:00,0.427
2022-12-26 23:40:00,0.429
2022-12-27 00:05:00,0.432
2022-12-27 00:30:00,0.434
2022-12-27 00:55:00,0.445
2022-12-27 01:20:00,0.442
2022-12-27 01:45:00,0.443
2022-12-27 02:10:00,0.447
2022-12-27 02:35:00,0.448
2022-12-27 03:00:00,0.453
2022-12-27 03:25:00,0.454
2022-12-27 03:50:00,0.457
2022-12-27 04:15:00,0.460
2022-12-27 04:40:00,0.464
2022-12-27 05:05:00,0.466
2022-12-27 05:30:00,0.470
2022-12-27 05:55:00,0.473
2022-12-27 06:20:00,0.475
2022-12-27 06:45:00,0.478
2022-12-27 07:10:00,0.481
2022-12-27 07:35:00,0.484
2022-12-27 08:00:00,0.488
2022-12-27 08:25:00,0.489
2022-12-27 08:50:00,0.493
2022-12-27 09:15:00,0.500
2022-12-27 09:40:00,0.498
2022-12-27 10:05:00,0.502
2022-12-27 10:30:00,0.505
2022-12-27 10:55:00,0.506
2022-12-27 11:20:00,0.509
2022-12-27 11:45:00,0.328
2022-12-27 12:10:00,0.0553
2022-12-27 12:35:00,0.0534
2022-12-27 13:00:00,0.0531
2022-12-27 13:25:00,0.0525
2022-12-27 13:50:00,0.0526
2022-12-27 14:15:00,0.0529
2022-12-27 14:40:00,0.0524
2022-12-27 15:05:00,0.0531
2022-12-27 15:30:00,0.0531
2022-12-27 15:55:00,0.0528
2022-12-27 16:20:00,0.0532
2022-12-27 16:45:00,0.0523
2022-12-27 17:10:00,0.0532
2022-12-27 17:35:00,0.0517
2022-12-27 18:00:00,0.0534
2022-12-27 18:25:00,0.0531
2022-12-27 18:50:00,0.0539
2022-12-27 19:15:00,0.0533
2022-12-27 19:40:00,0.0524
2022-12-27 20:05:00,0.0523
2022-12-27 20:30:00,0.0536
2022-12-27 20:55:00,0.0524
2022-12-27 21:20:00,0.0533
2022-12-27 21:45:00,0.0534
2022-12-27 22:10:00,0.0527
2022-12-27 22:35:00,0.0547
2022-12-27 23:00:00,0.0740

