sep=,
"Time","localhost:9100"
2022-12-25 23:00:00,
2022-12-25 23:15:00,
2022-12-25 23:30:00,
2022-12-25 23:45:00,
2022-12-26 00:00:00,
2022-12-26 00:15:00,
2022-12-26 00:30:00,
2022-12-26 00:45:00,
2022-12-26 01:00:00,
2022-12-26 01:15:00,
2022-12-26 01:30:00,
2022-12-26 01:45:00,
2022-12-26 02:00:00,
2022-12-26 02:15:00,
2022-12-26 02:30:00,
2022-12-26 02:45:00,
2022-12-26 03:00:00,
2022-12-26 03:15:00,
2022-12-26 03:30:00,
2022-12-26 03:45:00,
2022-12-26 04:00:00,
2022-12-26 04:15:00,
2022-12-26 04:30:00,
2022-12-26 04:45:00,
2022-12-26 05:00:00,
2022-12-26 05:15:00,
2022-12-26 05:30:00,
2022-12-26 05:45:00,
2022-12-26 06:00:00,
2022-12-26 06:15:00,
2022-12-26 06:30:00,
2022-12-26 06:45:00,
2022-12-26 07:00:00,
2022-12-26 07:15:00,
2022-12-26 07:30:00,
2022-12-26 07:45:00,
2022-12-26 08:00:00,
2022-12-26 08:15:00,
2022-12-26 08:30:00,
2022-12-26 08:45:00,
2022-12-26 09:00:00,
2022-12-26 09:15:00,
2022-12-26 09:30:00,
2022-12-26 09:45:00,0.654
2022-12-26 10:00:00,0.352
2022-12-26 10:15:00,0.308
2022-12-26 10:30:00,0.574
2022-12-26 10:45:00,0.510
2022-12-26 11:00:00,0.512
2022-12-26 11:15:00,0.580
2022-12-26 11:30:00,0.590
2022-12-26 11:45:00,0.598
2022-12-26 12:00:00,0.562
2022-12-26 12:15:00,0.350
2022-12-26 12:30:00,0.347
2022-12-26 12:45:00,0.351
2022-12-26 13:00:00,0.353
2022-12-26 13:15:00,0.355
2022-12-26 13:30:00,0.354
2022-12-26 13:45:00,0.358
2022-12-26 14:00:00,0.359
2022-12-26 14:15:00,0.363
2022-12-26 14:30:00,0.365
2022-12-26 14:45:00,0.369
2022-12-26 15:00:00,0.363
2022-12-26 15:15:00,0.371
2022-12-26 15:30:00,0.375
2022-12-26 15:45:00,0.380
2022-12-26 16:00:00,0.381
2022-12-26 16:15:00,0.383
2022-12-26 16:30:00,0.384
2022-12-26 16:45:00,0.386
2022-12-26 17:00:00,0.380
2022-12-26 17:15:00,0.389
2022-12-26 17:30:00,0.390
2022-12-26 17:45:00,0.392
2022-12-26 18:00:00,0.398
2022-12-26 18:15:00,0.407
2022-12-26 18:30:00,0.398
2022-12-26 18:45:00,0.400
2022-12-26 19:00:00,0.402
2022-12-26 19:15:00,0.405
2022-12-26 19:30:00,0.405
2022-12-26 19:45:00,0.410
2022-12-26 20:00:00,0.412
2022-12-26 20:15:00,0.410
2022-12-26 20:30:00,0.417
2022-12-26 20:45:00,0.416
2022-12-26 21:00:00,0.418
2022-12-26 21:15:00,0.419
2022-12-26 21:30:00,0.423
2022-12-26 21:45:00,0.422
2022-12-26 22:00:00,0.426
2022-12-26 22:15:00,0.423
2022-12-26 22:30:00,0.424
2022-12-26 22:45:00,0.427
2022-12-26 23:00:00,0.427
2022-12-26 23:15:00,0.431
2022-12-26 23:30:00,0.432
2022-12-26 23:45:00,0.436
2022-12-27 00:00:00,0.433
2022-12-27 00:15:00,0.439
2022-12-27 00:30:00,0.438
2022-12-27 00:45:00,0.441
2022-12-27 01:00:00,0.456
2022-12-27 01:15:00,0.443
2022-12-27 01:30:00,0.444
2022-12-27 01:45:00,0.449
2022-12-27 02:00:00,0.448
2022-12-27 02:15:00,0.452
2022-12-27 02:30:00,0.452
2022-12-27 02:45:00,0.457
2022-12-27 03:00:00,0.458
2022-12-27 03:15:00,0.457
2022-12-27 03:30:00,0.455
2022-12-27 03:45:00,0.459
2022-12-27 04:00:00,0.465
2022-12-27 04:15:00,0.469
2022-12-27 04:30:00,0.466
2022-12-27 04:45:00,0.470
2022-12-27 05:00:00,0.468
2022-12-27 05:15:00,0.476
2022-12-27 05:30:00,0.471
2022-12-27 05:45:00,0.475
2022-12-27 06:00:00,0.477
2022-12-27 06:15:00,0.477
2022-12-27 06:30:00,0.482
2022-12-27 06:45:00,0.482
2022-12-27 07:00:00,0.488
2022-12-27 07:15:00,0.491
2022-12-27 07:30:00,0.490
2022-12-27 07:45:00,0.497
2022-12-27 08:00:00,0.494
2022-12-27 08:15:00,0.497
2022-12-27 08:30:00,0.492
2022-12-27 08:45:00,0.493
2022-12-27 09:00:00,0.505
2022-12-27 09:15:00,0.504
2022-12-27 09:30:00,0.503
2022-12-27 09:45:00,0.503
2022-12-27 10:00:00,0.504
2022-12-27 10:15:00,0.509
2022-12-27 10:30:00,0.509
2022-12-27 10:45:00,0.511
2022-12-27 11:00:00,0.509
2022-12-27 11:15:00,0.513
2022-12-27 11:30:00,0.518
2022-12-27 11:45:00,0.205
2022-12-27 12:00:00,0.0542
2022-12-27 12:15:00,0.0571
2022-12-27 12:30:00,0.0536
2022-12-27 12:45:00,0.0545
2022-12-27 13:00:00,0.0539
2022-12-27 13:15:00,0.0538
2022-12-27 13:30:00,0.0534
2022-12-27 13:45:00,0.0549
2022-12-27 14:00:00,0.0542
2022-12-27 14:15:00,0.0533
2022-12-27 14:30:00,0.0534
2022-12-27 14:45:00,0.0536
2022-12-27 15:00:00,0.0539
2022-12-27 15:15:00,0.0543
2022-12-27 15:30:00,0.0540
2022-12-27 15:45:00,0.0546
2022-12-27 16:00:00,0.0536
2022-12-27 16:15:00,0.0543
2022-12-27 16:30:00,0.0538
2022-12-27 16:45:00,0.0533
2022-12-27 17:00:00,0.0540
2022-12-27 17:15:00,0.0539
2022-12-27 17:30:00,0.0521
2022-12-27 17:45:00,0.0545
2022-12-27 18:00:00,0.0536
2022-12-27 18:15:00,0.0537
2022-12-27 18:30:00,0.0543
2022-12-27 18:45:00,0.0545
2022-12-27 19:00:00,0.0536
2022-12-27 19:15:00,0.0546
2022-12-27 19:30:00,0.0537
2022-12-27 19:45:00,0.0525
2022-12-27 20:00:00,0.0528
2022-12-27 20:15:00,0.0546
2022-12-27 20:30:00,0.0553
2022-12-27 20:45:00,0.0548
2022-12-27 21:00:00,0.0532
2022-12-27 21:15:00,0.0547
2022-12-27 21:30:00,0.0531
2022-12-27 21:45:00,0.0558
2022-12-27 22:00:00,0.0530
2022-12-27 22:15:00,0.0556
2022-12-27 22:30:00,0.0553
2022-12-27 22:45:00,0.0671
2022-12-27 23:00:00,0.0739

