sep=,
"Time","send localhost:9100","receive localhost:9100"
2022-12-25 22:40:00,,
2022-12-25 23:05:00,,
2022-12-25 23:30:00,,
2022-12-25 23:55:00,,
2022-12-26 00:20:00,,
2022-12-26 00:45:00,,
2022-12-26 01:10:00,,
2022-12-26 01:35:00,,
2022-12-26 02:00:00,,
2022-12-26 02:25:00,,
2022-12-26 02:50:00,,
2022-12-26 03:15:00,,
2022-12-26 03:40:00,,
2022-12-26 04:05:00,,
2022-12-26 04:30:00,,
2022-12-26 04:55:00,,
2022-12-26 05:20:00,,
2022-12-26 05:45:00,,
2022-12-26 06:10:00,,
2022-12-26 06:35:00,,
2022-12-26 07:00:00,,
2022-12-26 07:25:00,,
2022-12-26 07:50:00,,
2022-12-26 08:15:00,,
2022-12-26 08:40:00,,
2022-12-26 09:05:00,,
2022-12-26 09:30:00,,
2022-12-26 09:55:00,101076,94353
2022-12-26 10:20:00,187431,174166
2022-12-26 10:45:00,264337,242966
2022-12-26 11:10:00,249523,226162
2022-12-26 11:35:00,256693,231349
2022-12-26 12:00:00,248069,221753
2022-12-26 12:25:00,179254,128352
2022-12-26 12:50:00,175378,127344
2022-12-26 13:15:00,172203,126462
2022-12-26 13:40:00,169985,126077
2022-12-26 14:05:00,167438,124992
2022-12-26 14:30:00,167256,125503
2022-12-26 14:55:00,166249,124757
2022-12-26 15:20:00,165202,124347
2022-12-26 15:45:00,165624,124997
2022-12-26 16:10:00,164522,124363
2022-12-26 16:35:00,164281,124650
2022-12-26 17:00:00,163265,124088
2022-12-26 17:25:00,162541,123741
2022-12-26 17:50:00,161818,123401
2022-12-26 18:15:00,162247,124156
2022-12-26 18:40:00,161149,123340
2022-12-26 19:05:00,161136,123704
2022-12-26 19:30:00,160297,122988
2022-12-26 19:55:00,160731,123651
2022-12-26 20:20:00,160476,123586
2022-12-26 20:45:00,159525,122789
2022-12-26 21:10:00,159706,123161
2022-12-26 21:35:00,159352,122934
2022-12-26 22:00:00,158612,122602
2022-12-26 22:25:00,157819,122500
2022-12-26 22:50:00,157511,122279
2022-12-26 23:15:00,157419,122344
2022-12-26 23:40:00,157404,122482
2022-12-27 00:05:00,158457,123789
2022-12-27 00:30:00,158332,123805
2022-12-27 00:55:00,158101,123730
2022-12-27 01:20:00,157212,122870
2022-12-27 01:45:00,157142,122884
2022-12-27 02:10:00,157125,122915
2022-12-27 02:35:00,157086,122945
2022-12-27 03:00:00,156858,122785
2022-12-27 03:25:00,156642,122733
2022-12-27 03:50:00,156809,123049
2022-12-27 04:15:00,156585,122782
2022-12-27 04:40:00,156602,122964
2022-12-27 05:05:00,156107,122519
2022-12-27 05:30:00,155763,122329
2022-12-27 05:55:00,156618,123178
2022-12-27 06:20:00,156196,122955
2022-12-27 06:45:00,155538,122332
2022-12-27 07:10:00,155635,122462
2022-12-27 07:35:00,155718,122355
2022-12-27 08:00:00,155849,122474
2022-12-27 08:25:00,155837,122686
2022-12-27 08:50:00,155314,122262
2022-12-27 09:15:00,155207,122220
2022-12-27 09:40:00,155104,122229
2022-12-27 10:05:00,155549,122589
2022-12-27 10:30:00,155102,122465
2022-12-27 10:55:00,155362,122723
2022-12-27 11:20:00,154702,122135
2022-12-27 11:45:00,126200,106761
2022-12-27 12:10:00,83857,83857
2022-12-27 12:35:00,83673,83673
2022-12-27 13:00:00,83682,83682
2022-12-27 13:25:00,83772,83772
2022-12-27 13:50:00,83636,83636
2022-12-27 14:15:00,83797,83797
2022-12-27 14:40:00,83784,83784
2022-12-27 15:05:00,83794,83794
2022-12-27 15:30:00,83754,83754
2022-12-27 15:55:00,83769,83770
2022-12-27 16:20:00,83821,83821
2022-12-27 16:45:00,83754,83754
2022-12-27 17:10:00,83871,83871
2022-12-27 17:35:00,83711,83711
2022-12-27 18:00:00,83754,83754
2022-12-27 18:25:00,83901,83901
2022-12-27 18:50:00,83691,83691
2022-12-27 19:15:00,83736,83736
2022-12-27 19:40:00,83779,83779
2022-12-27 20:05:00,83720,83720
2022-12-27 20:30:00,83689,83689
2022-12-27 20:55:00,83749,83749
2022-12-27 21:20:00,83684,83684
2022-12-27 21:45:00,83762,83764
2022-12-27 22:10:00,83840,83840
2022-12-27 22:35:00,83755,83755

