sep=,
"Time","gitlab-workhorse"
2022-12-25 22:30:00,
2022-12-25 22:45:00,
2022-12-25 23:00:00,
2022-12-25 23:15:00,
2022-12-25 23:30:00,
2022-12-25 23:45:00,
2022-12-26 00:00:00,
2022-12-26 00:15:00,
2022-12-26 00:30:00,
2022-12-26 00:45:00,
2022-12-26 01:00:00,
2022-12-26 01:15:00,
2022-12-26 01:30:00,
2022-12-26 01:45:00,
2022-12-26 02:00:00,
2022-12-26 02:15:00,
2022-12-26 02:30:00,
2022-12-26 02:45:00,
2022-12-26 03:00:00,
2022-12-26 03:15:00,
2022-12-26 03:30:00,
2022-12-26 03:45:00,
2022-12-26 04:00:00,
2022-12-26 04:15:00,
2022-12-26 04:30:00,
2022-12-26 04:45:00,
2022-12-26 05:00:00,
2022-12-26 05:15:00,
2022-12-26 05:30:00,
2022-12-26 05:45:00,
2022-12-26 06:00:00,
2022-12-26 06:15:00,
2022-12-26 06:30:00,
2022-12-26 06:45:00,
2022-12-26 07:00:00,
2022-12-26 07:15:00,
2022-12-26 07:30:00,
2022-12-26 07:45:00,
2022-12-26 08:00:00,
2022-12-26 08:15:00,
2022-12-26 08:30:00,
2022-12-26 08:45:00,
2022-12-26 09:00:00,
2022-12-26 09:15:00,
2022-12-26 09:30:00,
2022-12-26 09:45:00,2.79
2022-12-26 10:00:00,9.94
2022-12-26 10:15:00,9.51
2022-12-26 10:30:00,15.0
2022-12-26 10:45:00,14.1
2022-12-26 11:00:00,15.4
2022-12-26 11:15:00,17.7
2022-12-26 11:30:00,17.9
2022-12-26 11:45:00,18.5
2022-12-26 12:00:00,18.3
2022-12-26 12:15:00,35.0
2022-12-26 12:30:00,33.6
2022-12-26 12:45:00,32.6
2022-12-26 13:00:00,31.5
2022-12-26 13:15:00,30.6
2022-12-26 13:30:00,29.8
2022-12-26 13:45:00,29.1
2022-12-26 14:00:00,28.6
2022-12-26 14:15:00,28.1
2022-12-26 14:30:00,28.1
2022-12-26 14:45:00,28.0
2022-12-26 15:00:00,27.8
2022-12-26 15:15:00,27.5
2022-12-26 15:30:00,27.4
2022-12-26 15:45:00,27.2
2022-12-26 16:00:00,27.1
2022-12-26 16:15:00,26.9
2022-12-26 16:30:00,26.6
2022-12-26 16:45:00,26.5
2022-12-26 17:00:00,26.3
2022-12-26 17:15:00,26.1
2022-12-26 17:30:00,26.0
2022-12-26 17:45:00,25.8
2022-12-26 18:00:00,25.6
2022-12-26 18:15:00,25.4
2022-12-26 18:30:00,25.4
2022-12-26 18:45:00,25.2
2022-12-26 19:00:00,25.1
2022-12-26 19:15:00,25.0
2022-12-26 19:30:00,24.9
2022-12-26 19:45:00,24.8
2022-12-26 20:00:00,24.7
2022-12-26 20:15:00,24.7
2022-12-26 20:30:00,24.6
2022-12-26 20:45:00,24.5
2022-12-26 21:00:00,24.4
2022-12-26 21:15:00,24.3
2022-12-26 21:30:00,24.4
2022-12-26 21:45:00,24.2
2022-12-26 22:00:00,23.9
2022-12-26 22:15:00,23.5
2022-12-26 22:30:00,23.4
2022-12-26 22:45:00,23.5
2022-12-26 23:00:00,23.3
2022-12-26 23:15:00,23.3
2022-12-26 23:30:00,23.2
2022-12-26 23:45:00,23.2
2022-12-27 00:00:00,23.2
2022-12-27 00:15:00,22.8
2022-12-27 00:30:00,23.0
2022-12-27 00:45:00,23.0
2022-12-27 01:00:00,22.6
2022-12-27 01:15:00,22.8
2022-12-27 01:30:00,22.7
2022-12-27 01:45:00,22.8
2022-12-27 02:00:00,22.7
2022-12-27 02:15:00,22.7
2022-12-27 02:30:00,22.7
2022-12-27 02:45:00,22.7
2022-12-27 03:00:00,22.6
2022-12-27 03:15:00,22.5
2022-12-27 03:30:00,22.4
2022-12-27 03:45:00,22.4
2022-12-27 04:00:00,22.4
2022-12-27 04:15:00,22.4
2022-12-27 04:30:00,22.2
2022-12-27 04:45:00,22.3
2022-12-27 05:00:00,22.3
2022-12-27 05:15:00,22.1
2022-12-27 05:30:00,22.1
2022-12-27 05:45:00,22.2
2022-12-27 06:00:00,22.1
2022-12-27 06:15:00,22.0
2022-12-27 06:30:00,22.0
2022-12-27 06:45:00,22.0
2022-12-27 07:00:00,22.0
2022-12-27 07:15:00,22.0
2022-12-27 07:30:00,22.1
2022-12-27 07:45:00,22.1
2022-12-27 08:00:00,22.2
2022-12-27 08:15:00,22.0
2022-12-27 08:30:00,21.9
2022-12-27 08:45:00,21.9
2022-12-27 09:00:00,21.9
2022-12-27 09:15:00,21.8
2022-12-27 09:30:00,21.8
2022-12-27 09:45:00,21.7
2022-12-27 10:00:00,21.9
2022-12-27 10:15:00,21.7
2022-12-27 10:30:00,21.5
2022-12-27 10:45:00,21.6
2022-12-27 11:00:00,21.5
2022-12-27 11:15:00,21.5
2022-12-27 11:30:00,21.5
2022-12-27 11:45:00,8.04
2022-12-27 12:00:00,0.0222
2022-12-27 12:15:00,0.0222
2022-12-27 12:30:00,0.0222
2022-12-27 12:45:00,0.0222
2022-12-27 13:00:00,0.0185
2022-12-27 13:15:00,0.0111
2022-12-27 13:30:00,0.0111
2022-12-27 13:45:00,0.0111
2022-12-27 14:00:00,0.0111
2022-12-27 14:15:00,0.0111
2022-12-27 14:30:00,0.0111
2022-12-27 14:45:00,0.0185
2022-12-27 15:00:00,0.0222
2022-12-27 15:15:00,0.0222
2022-12-27 15:30:00,0.0222
2022-12-27 15:45:00,0.0222
2022-12-27 16:00:00,0.0222
2022-12-27 16:15:00,0.0222
2022-12-27 16:30:00,0.0119
2022-12-27 16:45:00,0.0111
2022-12-27 17:00:00,0.0111
2022-12-27 17:15:00,0.0111
2022-12-27 17:30:00,0.0111
2022-12-27 17:45:00,0.0111
2022-12-27 18:00:00,0.0111
2022-12-27 18:15:00,0.0207
2022-12-27 18:30:00,0.0222
2022-12-27 18:45:00,0.0222
2022-12-27 19:00:00,0.0222
2022-12-27 19:15:00,0.0222
2022-12-27 19:30:00,0.0222
2022-12-27 19:45:00,0.0222
2022-12-27 20:00:00,0.0111
2022-12-27 20:15:00,0.0111
2022-12-27 20:30:00,0.0111
2022-12-27 20:45:00,0.0111
2022-12-27 21:00:00,0.0111
2022-12-27 21:15:00,0.0111
2022-12-27 21:30:00,0.0111
2022-12-27 21:45:00,0.0193
2022-12-27 22:00:00,0.0222
2022-12-27 22:15:00,0.0222
2022-12-27 22:30:00,0.0222

