sep=,
"Time","localhost:9100"
2023-02-01 21:30:00,
2023-02-01 21:55:00,
2023-02-01 22:20:00,
2023-02-01 22:45:00,
2023-02-01 23:10:00,
2023-02-01 23:35:00,
2023-02-02 00:00:00,
2023-02-02 00:25:00,
2023-02-02 00:50:00,
2023-02-02 01:15:00,
2023-02-02 01:40:00,
2023-02-02 02:05:00,
2023-02-02 02:30:00,
2023-02-02 02:55:00,
2023-02-02 03:20:00,
2023-02-02 03:45:00,
2023-02-02 04:10:00,
2023-02-02 04:35:00,
2023-02-02 05:00:00,
2023-02-02 05:25:00,
2023-02-02 05:50:00,
2023-02-02 06:15:00,
2023-02-02 06:40:00,
2023-02-02 07:05:00,
2023-02-02 07:30:00,
2023-02-02 07:55:00,
2023-02-02 08:20:00,
2023-02-02 08:45:00,
2023-02-02 09:10:00,
2023-02-02 09:35:00,
2023-02-02 10:00:00,
2023-02-02 10:25:00,
2023-02-02 10:50:00,
2023-02-02 11:15:00,0.463
2023-02-02 11:40:00,0.433
2023-02-02 12:05:00,0.486
2023-02-02 12:30:00,0.342
2023-02-02 12:55:00,0.445
2023-02-02 13:20:00,0.488
2023-02-02 13:45:00,0.481
2023-02-02 14:10:00,0.456
2023-02-02 14:35:00,0.469
2023-02-02 15:00:00,0.408
2023-02-02 15:25:00,0.410
2023-02-02 15:50:00,0.412
2023-02-02 16:15:00,0.413
2023-02-02 16:40:00,0.414
2023-02-02 17:05:00,0.417
2023-02-02 17:30:00,0.421
2023-02-02 17:55:00,0.421
2023-02-02 18:20:00,0.421
2023-02-02 18:45:00,0.424
2023-02-02 19:10:00,0.428
2023-02-02 19:35:00,0.431
2023-02-02 20:00:00,0.435
2023-02-02 20:25:00,0.436
2023-02-02 20:50:00,0.437
2023-02-02 21:15:00,0.438
2023-02-02 21:40:00,0.440
2023-02-02 22:05:00,0.443
2023-02-02 22:30:00,0.445
2023-02-02 22:55:00,0.449
2023-02-02 23:20:00,0.449
2023-02-02 23:45:00,0.442
2023-02-03 00:10:00,0.452
2023-02-03 00:35:00,0.449
2023-02-03 01:00:00,0.449
2023-02-03 01:25:00,0.452
2023-02-03 01:50:00,0.455
2023-02-03 02:15:00,0.457
2023-02-03 02:40:00,0.460
2023-02-03 03:05:00,0.463
2023-02-03 03:30:00,0.465
2023-02-03 03:55:00,0.463
2023-02-03 04:20:00,0.468
2023-02-03 04:45:00,0.469
2023-02-03 05:10:00,0.472
2023-02-03 05:35:00,0.473
2023-02-03 06:00:00,0.475
2023-02-03 06:25:00,0.475
2023-02-03 06:50:00,0.476
2023-02-03 07:15:00,0.478
2023-02-03 07:40:00,0.480
2023-02-03 08:05:00,0.481
2023-02-03 08:30:00,0.481
2023-02-03 08:55:00,0.485
2023-02-03 09:20:00,0.486
2023-02-03 09:45:00,0.487
2023-02-03 10:10:00,0.490
2023-02-03 10:35:00,0.488
2023-02-03 11:00:00,0.493
2023-02-03 11:25:00,0.492
2023-02-03 11:50:00,0.479
2023-02-03 12:15:00,0.495
2023-02-03 12:40:00,0.499
2023-02-03 13:05:00,0.500
2023-02-03 13:30:00,0.508
2023-02-03 13:55:00,0.497
2023-02-03 14:20:00,0.504
2023-02-03 14:45:00,0.539
2023-02-03 15:10:00,0.541
2023-02-03 15:35:00,0.543
2023-02-03 16:00:00,0.545
2023-02-03 16:25:00,0.547
2023-02-03 16:50:00,0.547
2023-02-03 17:15:00,0.547
2023-02-03 17:40:00,0.549
2023-02-03 18:05:00,0.548
2023-02-03 18:30:00,0.550
2023-02-03 18:55:00,0.550
2023-02-03 19:20:00,0.556
2023-02-03 19:45:00,0.557
2023-02-03 20:10:00,0.425
2023-02-03 20:35:00,0.177
2023-02-03 21:00:00,0.176
2023-02-03 21:25:00,0.159

