sep=,
"Time","localhost:9100"
2023-02-01 21:45:00,
2023-02-01 22:00:00,
2023-02-01 22:15:00,
2023-02-01 22:30:00,
2023-02-01 22:45:00,
2023-02-01 23:00:00,
2023-02-01 23:15:00,
2023-02-01 23:30:00,
2023-02-01 23:45:00,
2023-02-02 00:00:00,
2023-02-02 00:15:00,
2023-02-02 00:30:00,
2023-02-02 00:45:00,
2023-02-02 01:00:00,
2023-02-02 01:15:00,
2023-02-02 01:30:00,
2023-02-02 01:45:00,
2023-02-02 02:00:00,
2023-02-02 02:15:00,
2023-02-02 02:30:00,
2023-02-02 02:45:00,
2023-02-02 03:00:00,
2023-02-02 03:15:00,
2023-02-02 03:30:00,
2023-02-02 03:45:00,
2023-02-02 04:00:00,
2023-02-02 04:15:00,
2023-02-02 04:30:00,
2023-02-02 04:45:00,
2023-02-02 05:00:00,
2023-02-02 05:15:00,
2023-02-02 05:30:00,
2023-02-02 05:45:00,
2023-02-02 06:00:00,
2023-02-02 06:15:00,
2023-02-02 06:30:00,
2023-02-02 06:45:00,
2023-02-02 07:00:00,
2023-02-02 07:15:00,
2023-02-02 07:30:00,
2023-02-02 07:45:00,
2023-02-02 08:00:00,
2023-02-02 08:15:00,
2023-02-02 08:30:00,
2023-02-02 08:45:00,
2023-02-02 09:00:00,
2023-02-02 09:15:00,
2023-02-02 09:30:00,
2023-02-02 09:45:00,
2023-02-02 10:00:00,
2023-02-02 10:15:00,
2023-02-02 10:30:00,
2023-02-02 10:45:00,
2023-02-02 11:00:00,0.822
2023-02-02 11:15:00,0.290
2023-02-02 11:30:00,0.357
2023-02-02 11:45:00,0.556
2023-02-02 12:00:00,0.529
2023-02-02 12:15:00,0.306
2023-02-02 12:30:00,0.362
2023-02-02 12:45:00,0.411
2023-02-02 13:00:00,0.497
2023-02-02 13:15:00,0.490
2023-02-02 13:30:00,0.482
2023-02-02 13:45:00,0.490
2023-02-02 14:00:00,0.461
2023-02-02 14:15:00,0.465
2023-02-02 14:30:00,0.481
2023-02-02 14:45:00,0.419
2023-02-02 15:00:00,0.406
2023-02-02 15:15:00,0.412
2023-02-02 15:30:00,0.414
2023-02-02 15:45:00,0.417
2023-02-02 16:00:00,0.413
2023-02-02 16:15:00,0.417
2023-02-02 16:30:00,0.415
2023-02-02 16:45:00,0.416
2023-02-02 17:00:00,0.422
2023-02-02 17:15:00,0.421
2023-02-02 17:30:00,0.424
2023-02-02 17:45:00,0.425
2023-02-02 18:00:00,0.421
2023-02-02 18:15:00,0.425
2023-02-02 18:30:00,0.427
2023-02-02 18:45:00,0.425
2023-02-02 19:00:00,0.432
2023-02-02 19:15:00,0.431
2023-02-02 19:30:00,0.435
2023-02-02 19:45:00,0.434
2023-02-02 20:00:00,0.439
2023-02-02 20:15:00,0.441
2023-02-02 20:30:00,0.440
2023-02-02 20:45:00,0.439
2023-02-02 21:00:00,0.447
2023-02-02 21:15:00,0.439
2023-02-02 21:30:00,0.441
2023-02-02 21:45:00,0.443
2023-02-02 22:00:00,0.449
2023-02-02 22:15:00,0.446
2023-02-02 22:30:00,0.449
2023-02-02 22:45:00,0.451
2023-02-02 23:00:00,0.452
2023-02-02 23:15:00,0.451
2023-02-02 23:30:00,0.449
2023-02-02 23:45:00,0.444
2023-02-03 00:00:00,0.447
2023-02-03 00:15:00,0.465
