sep=,
"Time","send localhost:9100","receive localhost:9100"
2023-02-01 21:30:00,,
2023-02-01 21:55:00,,
2023-02-01 22:20:00,,
2023-02-01 22:45:00,,
2023-02-01 23:10:00,,
2023-02-01 23:35:00,,
2023-02-02 00:00:00,,
2023-02-02 00:25:00,,
2023-02-02 00:50:00,,
2023-02-02 01:15:00,,
2023-02-02 01:40:00,,
2023-02-02 02:05:00,,
2023-02-02 02:30:00,,
2023-02-02 02:55:00,,
2023-02-02 03:20:00,,
2023-02-02 03:45:00,,
2023-02-02 04:10:00,,
2023-02-02 04:35:00,,
2023-02-02 05:00:00,,
2023-02-02 05:25:00,,
2023-02-02 05:50:00,,
2023-02-02 06:15:00,,
2023-02-02 06:40:00,,
2023-02-02 07:05:00,,
2023-02-02 07:30:00,,
2023-02-02 07:55:00,,
2023-02-02 08:20:00,,
2023-02-02 08:45:00,,
2023-02-02 09:10:00,,
2023-02-02 09:35:00,,
2023-02-02 10:00:00,,
2023-02-02 10:25:00,,
2023-02-02 10:50:00,,
2023-02-02 11:15:00,89975,85183
2023-02-02 11:40:00,188160,175429
2023-02-02 12:05:00,228639,210766
2023-02-02 12:30:00,185034,172053
2023-02-02 12:55:00,230597,212113
2023-02-02 13:20:00,250772,229547
2023-02-02 13:45:00,245010,224611
2023-02-02 14:10:00,233265,213604
2023-02-02 14:35:00,232045,207559
2023-02-02 15:00:00,171619,128202
2023-02-02 15:25:00,169064,127444
2023-02-02 15:50:00,164782,124272
2023-02-02 16:15:00,163079,123559
2023-02-02 16:40:00,160764,122363
2023-02-02 17:05:00,159360,121668
2023-02-02 17:30:00,158716,121863
2023-02-02 17:55:00,157631,121380
2023-02-02 18:20:00,156634,120818
2023-02-02 18:45:00,154235,119405
2023-02-02 19:10:00,155266,120678
2023-02-02 19:35:00,154544,120388
2023-02-02 20:00:00,154373,120055
2023-02-02 20:25:00,152834,119199
2023-02-02 20:50:00,152308,118934
2023-02-02 21:15:00,152677,119460
2023-02-02 21:40:00,151823,119162
2023-02-02 22:05:00,151760,118889
2023-02-02 22:30:00,151221,118988
2023-02-02 22:55:00,150310,118284
2023-02-02 23:20:00,149214,118000
2023-02-02 23:45:00,146930,117081
2023-02-03 00:10:00,148961,118482
2023-02-03 00:35:00,147327,117640
2023-02-03 01:00:00,147415,117722
2023-02-03 01:25:00,147561,118036
2023-02-03 01:50:00,147513,117870
2023-02-03 02:15:00,147952,118562
2023-02-03 02:40:00,147620,118398
2023-02-03 03:05:00,148027,118340
2023-02-03 03:30:00,147844,118068
2023-02-03 03:55:00,146211,117585
2023-02-03 04:20:00,147290,117966
2023-02-03 04:45:00,147209,118211
2023-02-03 05:10:00,146558,117736
2023-02-03 05:35:00,146385,117670
2023-02-03 06:00:00,146125,117487
2023-02-03 06:25:00,146068,117704
2023-02-03 06:50:00,144937,117063
2023-02-03 07:15:00,145426,117402
2023-02-03 07:40:00,145519,117500
2023-02-03 08:05:00,144828,117102
2023-02-03 08:30:00,144103,116738
2023-02-03 08:55:00,144489,116893
2023-02-03 09:20:00,144047,116853
2023-02-03 09:45:00,143840,116626
2023-02-03 10:10:00,144372,116911
2023-02-03 10:35:00,143535,116662
2023-02-03 11:00:00,143359,116531
2023-02-03 11:25:00,142529,116369
2023-02-03 11:50:00,142941,116431
2023-02-03 12:15:00,142541,116276
2023-02-03 12:40:00,142587,116380
2023-02-03 13:05:00,143062,116472
2023-02-03 13:30:00,143918,117169
2023-02-03 13:55:00,141713,116107
2023-02-03 14:20:00,142589,116336
2023-02-03 14:45:00,141578,116193
2023-02-03 15:10:00,139997,115089
2023-02-03 15:35:00,140227,115426
2023-02-03 16:00:00,140088,115244
2023-02-03 16:25:00,140028,115157
2023-02-03 16:50:00,139737,115088
2023-02-03 17:15:00,139724,115486
2023-02-03 17:40:00,138635,114621
2023-02-03 18:05:00,138698,114716
2023-02-03 18:30:00,138411,114383
2023-02-03 18:55:00,138274,114454
2023-02-03 19:20:00,139531,115302
2023-02-03 19:45:00,138846,114742
2023-02-03 20:10:00,119355,103773
2023-02-03 20:35:00,83071,83071
2023-02-03 21:00:00,83079,83079
2023-02-03 21:25:00,84418,84248

