sep=,
"Time","gitlab-workhorse"
2023-02-01 21:45:00,
2023-02-01 22:00:00,
2023-02-01 22:15:00,
2023-02-01 22:30:00,
2023-02-01 22:45:00,
2023-02-01 23:00:00,
2023-02-01 23:15:00,
2023-02-01 23:30:00,
2023-02-01 23:45:00,
2023-02-02 00:00:00,
2023-02-02 00:15:00,
2023-02-02 00:30:00,
2023-02-02 00:45:00,
2023-02-02 01:00:00,
2023-02-02 01:15:00,
2023-02-02 01:30:00,
2023-02-02 01:45:00,
2023-02-02 02:00:00,
2023-02-02 02:15:00,
2023-02-02 02:30:00,
2023-02-02 02:45:00,
2023-02-02 03:00:00,
2023-02-02 03:15:00,
2023-02-02 03:30:00,
2023-02-02 03:45:00,
2023-02-02 04:00:00,
2023-02-02 04:15:00,
2023-02-02 04:30:00,
2023-02-02 04:45:00,
2023-02-02 05:00:00,
2023-02-02 05:15:00,
2023-02-02 05:30:00,
2023-02-02 05:45:00,
2023-02-02 06:00:00,
2023-02-02 06:15:00,
2023-02-02 06:30:00,
2023-02-02 06:45:00,
2023-02-02 07:00:00,
2023-02-02 07:15:00,
2023-02-02 07:30:00,
2023-02-02 07:45:00,
2023-02-02 08:00:00,
2023-02-02 08:15:00,
2023-02-02 08:30:00,
2023-02-02 08:45:00,
2023-02-02 09:00:00,
2023-02-02 09:15:00,
2023-02-02 09:30:00,
2023-02-02 09:45:00,
2023-02-02 10:00:00,
2023-02-02 10:15:00,
2023-02-02 10:30:00,
2023-02-02 10:45:00,
2023-02-02 11:00:00,0.102
2023-02-02 11:15:00,5.44
2023-02-02 11:30:00,8.10
2023-02-02 11:45:00,12.7
2023-02-02 12:00:00,13.3
2023-02-02 12:15:00,7.75
2023-02-02 12:30:00,9.72
2023-02-02 12:45:00,10.6
2023-02-02 13:00:00,13.6
2023-02-02 13:15:00,13.6
2023-02-02 13:30:00,13.2
2023-02-02 13:45:00,13.5
2023-02-02 14:00:00,12.8
2023-02-02 14:15:00,12.8
2023-02-02 14:30:00,13.5
2023-02-02 14:45:00,29.0
2023-02-02 15:00:00,28.7
2023-02-02 15:15:00,28.1
2023-02-02 15:30:00,28.0
2023-02-02 15:45:00,27.5
2023-02-02 16:00:00,26.8
2023-02-02 16:15:00,26.4
2023-02-02 16:30:00,26.0
2023-02-02 16:45:00,25.7
2023-02-02 17:00:00,25.4
2023-02-02 17:15:00,24.9
2023-02-02 17:30:00,24.6
2023-02-02 17:45:00,24.4
2023-02-02 18:00:00,24.1
2023-02-02 18:15:00,23.9
2023-02-02 18:30:00,23.6
2023-02-02 18:45:00,22.4
2023-02-02 19:00:00,23.1
2023-02-02 19:15:00,22.8
2023-02-02 19:30:00,22.7
2023-02-02 19:45:00,22.8
2023-02-02 20:00:00,22.5
2023-02-02 20:15:00,22.2
2023-02-02 20:30:00,22.2
2023-02-02 20:45:00,21.9
2023-02-02 21:00:00,22.1
2023-02-02 21:15:00,21.8
2023-02-02 21:30:00,21.5
2023-02-02 21:45:00,21.5
2023-02-02 22:00:00,21.7
2023-02-02 22:15:00,21.3
2023-02-02 22:30:00,21.0
2023-02-02 22:45:00,21.1
2023-02-02 23:00:00,21.0
2023-02-02 23:15:00,20.3
2023-02-02 23:30:00,19.7
2023-02-02 23:45:00,19.5
2023-02-03 00:00:00,20.2
2023-02-03 00:15:00,19.6
2023-02-03 00:30:00,19.2
2023-02-03 00:45:00,19.4
2023-02-03 01:00:00,19.3
2023-02-03 01:15:00,19.5
2023-02-03 01:30:00,19.2
2023-02-03 01:45:00,19.1
2023-02-03 02:00:00,19.3
2023-02-03 02:15:00,19.2
2023-02-03 02:30:00,19.0
2023-02-03 02:45:00,19.2
2023-02-03 03:00:00,19.1
2023-02-03 03:15:00,19.3
2023-02-03 03:30:00,19.4
2023-02-03 03:45:00,18.5
2023-02-03 04:00:00,19.0
2023-02-03 04:15:00,19.1
2023-02-03 04:30:00,18.8
2023-02-03 04:45:00,19.0
2023-02-03 05:00:00,18.8
2023-02-03 05:15:00,18.7
2023-02-03 05:30:00,19.0
2023-02-03 05:45:00,18.5
2023-02-03 06:00:00,18.5
2023-02-03 06:15:00,18.6
2023-02-03 06:30:00,18.4
2023-02-03 06:45:00,18.0
2023-02-03 07:00:00,18.4
2023-02-03 07:15:00,18.0
2023-02-03 07:30:00,18.5
2023-02-03 07:45:00,17.7
2023-02-03 08:00:00,18.0
2023-02-03 08:15:00,17.9
2023-02-03 08:30:00,17.8
2023-02-03 08:45:00,18.1
2023-02-03 09:00:00,17.9
2023-02-03 09:15:00,17.5
2023-02-03 09:30:00,17.4
2023-02-03 09:45:00,17.7
2023-02-03 10:00:00,18.0
2023-02-03 10:15:00,17.6
2023-02-03 10:30:00,17.4
2023-02-03 10:45:00,17.6
2023-02-03 11:00:00,17.2
2023-02-03 11:15:00,17.0
2023-02-03 11:30:00,17.3
