sep=,
"Time","localhost:9100"
2023-01-09 09:20:00,
2023-01-09 11:00:00,
2023-01-09 12:40:00,
2023-01-09 14:20:00,
2023-01-09 16:00:00,
2023-01-09 17:40:00,
2023-01-09 19:20:00,
2023-01-09 21:00:00,
2023-01-09 22:40:00,
2023-01-10 00:20:00,
2023-01-10 02:00:00,
2023-01-10 03:40:00,
2023-01-10 05:20:00,
2023-01-10 07:00:00,
2023-01-10 08:40:00,
2023-01-10 10:20:00,
2023-01-10 12:00:00,
2023-01-10 13:40:00,
2023-01-10 15:20:00,
2023-01-10 17:00:00,
2023-01-10 18:40:00,
2023-01-10 20:20:00,
2023-01-10 22:00:00,
2023-01-10 23:40:00,
2023-01-11 01:20:00,
2023-01-11 03:00:00,
2023-01-11 04:40:00,
2023-01-11 06:20:00,
2023-01-11 08:00:00,
2023-01-11 09:40:00,
2023-01-11 11:20:00,
2023-01-11 13:00:00,
2023-01-11 14:40:00,
2023-01-11 16:20:00,
2023-01-11 18:00:00,
2023-01-11 19:40:00,
2023-01-11 21:20:00,
2023-01-11 23:00:00,
2023-01-12 00:40:00,
2023-01-12 02:20:00,
2023-01-12 04:00:00,
2023-01-12 05:40:00,
2023-01-12 07:20:00,
2023-01-12 09:00:00,
2023-01-12 10:40:00,
2023-01-12 12:20:00,
2023-01-12 14:00:00,
2023-01-12 15:40:00,
2023-01-12 17:20:00,
2023-01-12 19:00:00,
2023-01-12 20:40:00,
2023-01-12 22:20:00,
2023-01-13 00:00:00,
2023-01-13 01:40:00,
2023-01-13 03:20:00,
2023-01-13 05:00:00,
2023-01-13 06:40:00,
2023-01-13 08:20:00,
2023-01-13 10:00:00,
2023-01-13 11:40:00,
2023-01-13 13:20:00,
2023-01-13 15:00:00,
2023-01-13 16:40:00,
2023-01-13 18:20:00,
2023-01-13 20:00:00,
2023-01-13 21:40:00,
2023-01-13 23:20:00,
2023-01-14 01:00:00,
2023-01-14 02:40:00,
2023-01-14 04:20:00,
2023-01-14 06:00:00,0.385
2023-01-14 07:40:00,0.388
2023-01-14 09:20:00,0.406
2023-01-14 11:00:00,0.348
2023-01-14 12:40:00,0.355
2023-01-14 14:20:00,0.362
2023-01-14 16:00:00,0.374
2023-01-14 17:40:00,0.380
2023-01-14 19:20:00,0.384
2023-01-14 21:00:00,0.392
2023-01-14 22:40:00,0.398
2023-01-15 00:20:00,0.405
2023-01-15 02:00:00,0.414
2023-01-15 03:40:00,0.415
2023-01-15 05:20:00,0.422
2023-01-15 07:00:00,0.430
2023-01-15 08:40:00,0.434
2023-01-15 10:20:00,0.435
2023-01-15 12:00:00,0.443
2023-01-15 13:40:00,0.460
2023-01-15 15:20:00,0.452
2023-01-15 17:00:00,0.457
2023-01-15 18:40:00,0.462
2023-01-15 20:20:00,0.464
2023-01-15 22:00:00,0.470
2023-01-15 23:40:00,0.480
2023-01-16 01:20:00,0.479
2023-01-16 03:00:00,0.484
2023-01-16 04:40:00,0.488
2023-01-16 06:20:00,0.262
2023-01-16 08:00:00,0.0418
2023-01-16 09:40:00,0.0414

