sep=,
"Time","localhost:9100"
2023-01-09 10:00:00,
2023-01-09 11:00:00,
2023-01-09 12:00:00,
2023-01-09 13:00:00,
2023-01-09 14:00:00,
2023-01-09 15:00:00,
2023-01-09 16:00:00,
2023-01-09 17:00:00,
2023-01-09 18:00:00,
2023-01-09 19:00:00,
2023-01-09 20:00:00,
2023-01-09 21:00:00,
2023-01-09 22:00:00,
2023-01-09 23:00:00,
2023-01-10 00:00:00,
2023-01-10 01:00:00,
2023-01-10 02:00:00,
2023-01-10 03:00:00,
2023-01-10 04:00:00,
2023-01-10 05:00:00,
2023-01-10 06:00:00,
2023-01-10 07:00:00,
2023-01-10 08:00:00,
2023-01-10 09:00:00,
2023-01-10 10:00:00,
2023-01-10 11:00:00,
2023-01-10 12:00:00,
2023-01-10 13:00:00,
2023-01-10 14:00:00,
2023-01-10 15:00:00,
2023-01-10 16:00:00,
2023-01-10 17:00:00,
2023-01-10 18:00:00,
2023-01-10 19:00:00,
2023-01-10 20:00:00,
2023-01-10 21:00:00,
2023-01-10 22:00:00,
2023-01-10 23:00:00,
2023-01-11 00:00:00,
2023-01-11 01:00:00,
2023-01-11 02:00:00,
2023-01-11 03:00:00,
2023-01-11 04:00:00,
2023-01-11 05:00:00,
2023-01-11 06:00:00,
2023-01-11 07:00:00,
2023-01-11 08:00:00,
2023-01-11 09:00:00,
2023-01-11 10:00:00,
2023-01-11 11:00:00,
2023-01-11 12:00:00,
2023-01-11 13:00:00,
2023-01-11 14:00:00,
2023-01-11 15:00:00,
2023-01-11 16:00:00,
2023-01-11 17:00:00,
2023-01-11 18:00:00,
2023-01-11 19:00:00,
2023-01-11 20:00:00,
2023-01-11 21:00:00,
2023-01-11 22:00:00,
2023-01-11 23:00:00,
2023-01-12 00:00:00,
2023-01-12 01:00:00,
2023-01-12 02:00:00,
2023-01-12 03:00:00,
2023-01-12 04:00:00,
2023-01-12 05:00:00,
2023-01-12 06:00:00,
2023-01-12 07:00:00,
2023-01-12 08:00:00,
2023-01-12 09:00:00,
2023-01-12 10:00:00,
2023-01-12 11:00:00,
2023-01-12 12:00:00,
2023-01-12 13:00:00,
2023-01-12 14:00:00,
2023-01-12 15:00:00,
2023-01-12 16:00:00,
2023-01-12 17:00:00,
2023-01-12 18:00:00,
2023-01-12 19:00:00,
2023-01-12 20:00:00,
2023-01-12 21:00:00,
2023-01-12 22:00:00,
2023-01-12 23:00:00,
2023-01-13 00:00:00,
2023-01-13 01:00:00,
2023-01-13 02:00:00,
2023-01-13 03:00:00,
2023-01-13 04:00:00,
2023-01-13 05:00:00,
2023-01-13 06:00:00,
2023-01-13 07:00:00,
2023-01-13 08:00:00,
2023-01-13 09:00:00,
2023-01-13 10:00:00,
2023-01-13 11:00:00,
2023-01-13 12:00:00,
2023-01-13 13:00:00,
2023-01-13 14:00:00,
2023-01-13 15:00:00,
2023-01-13 16:00:00,
2023-01-13 17:00:00,
2023-01-13 18:00:00,
2023-01-13 19:00:00,
2023-01-13 20:00:00,
2023-01-13 21:00:00,
2023-01-13 22:00:00,
2023-01-13 23:00:00,
2023-01-14 00:00:00,
2023-01-14 01:00:00,
2023-01-14 02:00:00,
2023-01-14 03:00:00,
2023-01-14 04:00:00,
2023-01-14 05:00:00,0.649
2023-01-14 06:00:00,0.331
2023-01-14 07:00:00,0.385
2023-01-14 08:00:00,0.397
2023-01-14 09:00:00,0.411
2023-01-14 10:00:00,0.366
2023-01-14 11:00:00,0.351
2023-01-14 12:00:00,0.353
2023-01-14 13:00:00,0.360
2023-01-14 14:00:00,0.366
2023-01-14 15:00:00,0.370
2023-01-14 16:00:00,0.376
2023-01-14 17:00:00,0.382
2023-01-14 18:00:00,0.384
2023-01-14 19:00:00,0.382
2023-01-14 20:00:00,0.392
2023-01-14 21:00:00,0.395
2023-01-14 22:00:00,0.397
2023-01-14 23:00:00,0.402
2023-01-15 00:00:00,0.407
2023-01-15 01:00:00,0.414
2023-01-15 02:00:00,0.414
2023-01-15 03:00:00,0.417
2023-01-15 04:00:00,0.420
2023-01-15 05:00:00,0.425
2023-01-15 06:00:00,0.430
2023-01-15 07:00:00,0.430
2023-01-15 08:00:00,0.435
2023-01-15 09:00:00,0.438
2023-01-15 10:00:00,0.437
2023-01-15 11:00:00,0.445
2023-01-15 12:00:00,0.448
2023-01-15 13:00:00,0.456
2023-01-15 14:00:00,0.466
2023-01-15 15:00:00,0.455
2023-01-15 16:00:00,0.459
2023-01-15 17:00:00,0.460
2023-01-15 18:00:00,0.463
2023-01-15 19:00:00,0.466
2023-01-15 20:00:00,0.469
2023-01-15 21:00:00,0.466
2023-01-15 22:00:00,0.478
2023-01-15 23:00:00,0.480
2023-01-16 00:00:00,0.485
2023-01-16 01:00:00,0.490
2023-01-16 02:00:00,0.486
2023-01-16 03:00:00,0.484
2023-01-16 04:00:00,0.499
2023-01-16 05:00:00,0.499
2023-01-16 06:00:00,0.266
2023-01-16 07:00:00,0.0428
2023-01-16 08:00:00,0.0417
2023-01-16 09:00:00,0.0418
2023-01-16 10:00:00,0.0426

