sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2023-01-09 10:00:00,,,,,,,,,
2023-01-09 11:00:00,,,,,,,,,
2023-01-09 12:00:00,,,,,,,,,
2023-01-09 13:00:00,,,,,,,,,
2023-01-09 14:00:00,,,,,,,,,
2023-01-09 15:00:00,,,,,,,,,
2023-01-09 16:00:00,,,,,,,,,
2023-01-09 17:00:00,,,,,,,,,
2023-01-09 18:00:00,,,,,,,,,
2023-01-09 19:00:00,,,,,,,,,
2023-01-09 20:00:00,,,,,,,,,
2023-01-09 21:00:00,,,,,,,,,
2023-01-09 22:00:00,,,,,,,,,
2023-01-09 23:00:00,,,,,,,,,
2023-01-10 00:00:00,,,,,,,,,
2023-01-10 01:00:00,,,,,,,,,
2023-01-10 02:00:00,,,,,,,,,
2023-01-10 03:00:00,,,,,,,,,
2023-01-10 04:00:00,,,,,,,,,
2023-01-10 05:00:00,,,,,,,,,
2023-01-10 06:00:00,,,,,,,,,
2023-01-10 07:00:00,,,,,,,,,
2023-01-10 08:00:00,,,,,,,,,
2023-01-10 09:00:00,,,,,,,,,
2023-01-10 10:00:00,,,,,,,,,
2023-01-10 11:00:00,,,,,,,,,
2023-01-10 12:00:00,,,,,,,,,
2023-01-10 13:00:00,,,,,,,,,
2023-01-10 14:00:00,,,,,,,,,
2023-01-10 15:00:00,,,,,,,,,
2023-01-10 16:00:00,,,,,,,,,
2023-01-10 17:00:00,,,,,,,,,
2023-01-10 18:00:00,,,,,,,,,
2023-01-10 19:00:00,,,,,,,,,
2023-01-10 20:00:00,,,,,,,,,
2023-01-10 21:00:00,,,,,,,,,
2023-01-10 22:00:00,,,,,,,,,
2023-01-10 23:00:00,,,,,,,,,
2023-01-11 00:00:00,,,,,,,,,
2023-01-11 01:00:00,,,,,,,,,
2023-01-11 02:00:00,,,,,,,,,
2023-01-11 03:00:00,,,,,,,,,
2023-01-11 04:00:00,,,,,,,,,
2023-01-11 05:00:00,,,,,,,,,
2023-01-11 06:00:00,,,,,,,,,
2023-01-11 07:00:00,,,,,,,,,
2023-01-11 08:00:00,,,,,,,,,
2023-01-11 09:00:00,,,,,,,,,
2023-01-11 10:00:00,,,,,,,,,
2023-01-11 11:00:00,,,,,,,,,
2023-01-11 12:00:00,,,,,,,,,
2023-01-11 13:00:00,,,,,,,,,
2023-01-11 14:00:00,,,,,,,,,
2023-01-11 15:00:00,,,,,,,,,
2023-01-11 16:00:00,,,,,,,,,
2023-01-11 17:00:00,,,,,,,,,
2023-01-11 18:00:00,,,,,,,,,
2023-01-11 19:00:00,,,,,,,,,
2023-01-11 20:00:00,,,,,,,,,
2023-01-11 21:00:00,,,,,,,,,
2023-01-11 22:00:00,,,,,,,,,
2023-01-11 23:00:00,,,,,,,,,
2023-01-12 00:00:00,,,,,,,,,
2023-01-12 01:00:00,,,,,,,,,
2023-01-12 02:00:00,,,,,,,,,
2023-01-12 03:00:00,,,,,,,,,
2023-01-12 04:00:00,,,,,,,,,
2023-01-12 05:00:00,,,,,,,,,
2023-01-12 06:00:00,,,,,,,,,
2023-01-12 07:00:00,,,,,,,,,
2023-01-12 08:00:00,,,,,,,,,
2023-01-12 09:00:00,,,,,,,,,
2023-01-12 10:00:00,,,,,,,,,
2023-01-12 11:00:00,,,,,,,,,
2023-01-12 12:00:00,,,,,,,,,
2023-01-12 13:00:00,,,,,,,,,
2023-01-12 14:00:00,,,,,,,,,
2023-01-12 15:00:00,,,,,,,,,
2023-01-12 16:00:00,,,,,,,,,
2023-01-12 17:00:00,,,,,,,,,
2023-01-12 18:00:00,,,,,,,,,
2023-01-12 19:00:00,,,,,,,,,
2023-01-12 20:00:00,,,,,,,,,
2023-01-12 21:00:00,,,,,,,,,
2023-01-12 22:00:00,,,,,,,,,
2023-01-12 23:00:00,,,,,,,,,
2023-01-13 00:00:00,,,,,,,,,
2023-01-13 01:00:00,,,,,,,,,
2023-01-13 02:00:00,,,,,,,,,
2023-01-13 03:00:00,,,,,,,,,
2023-01-13 04:00:00,,,,,,,,,
2023-01-13 05:00:00,,,,,,,,,
2023-01-13 06:00:00,,,,,,,,,
2023-01-13 07:00:00,,,,,,,,,
2023-01-13 08:00:00,,,,,,,,,
2023-01-13 09:00:00,,,,,,,,,
2023-01-13 10:00:00,,,,,,,,,
2023-01-13 11:00:00,,,,,,,,,
2023-01-13 12:00:00,,,,,,,,,
2023-01-13 13:00:00,,,,,,,,,
2023-01-13 14:00:00,,,,,,,,,
2023-01-13 15:00:00,,,,,,,,,
2023-01-13 16:00:00,,,,,,,,,
2023-01-13 17:00:00,,,,,,,,,
2023-01-13 18:00:00,,,,,,,,,
2023-01-13 19:00:00,,,,,,,,,
2023-01-13 20:00:00,,,,,,,,,
2023-01-13 21:00:00,,,,,,,,,
2023-01-13 22:00:00,,,,,,,,,
2023-01-13 23:00:00,,,,,,,,,
2023-01-14 00:00:00,,,,,,,,,
2023-01-14 01:00:00,,,,,,,,,
2023-01-14 02:00:00,,,,,,,,,
2023-01-14 03:00:00,,,,,,,,,
2023-01-14 04:00:00,,,,,,,,,
2023-01-14 05:00:00,0.200,0.562,0.352,0.773,0.0307,0.00280,0.00920,0.562,0.0203
2023-01-14 06:00:00,0.211,0.666,0.377,0.767,0.0339,0.00512,0.0109,0.666,0.0262
2023-01-14 07:00:00,0.0857,0.475,0.403,0.769,0.0194,0.00546,0.0114,0.475,0.0256
2023-01-14 08:00:00,0.107,0.460,0.421,0.745,0.0188,0.00526,0.0109,0.460,0.0264
2023-01-14 09:00:00,0.143,0.449,0.445,0.739,0.0190,0.00496,0.0103,0.449,0.0269
2023-01-14 10:00:00,0.154,0.441,0.467,0.772,0.0175,0.00594,0.0101,0.441,0.0262
2023-01-14 11:00:00,0.231,0.365,0.481,0.775,0.00147,0.00444,0.00800,0.365,0.0148
2023-01-14 12:00:00,0.300,0.364,0.495,0.781,0.00147,0.00318,0.00830,0.364,0.0143
2023-01-14 13:00:00,0.300,0.367,0.509,0.778,0.00147,0.00316,0.00820,0.367,0.0134
2023-01-14 14:00:00,0.250,0.373,0.519,0.784,0.00147,0.00320,0.00840,0.373,0.0137
2023-01-14 15:00:00,0.200,0.379,0.532,0.791,0.00147,0.00312,0.00830,0.379,0.0128
2023-01-14 16:00:00,0.231,0.407,0.541,0.754,0.00147,0.00312,0.00840,0.407,0.0121
2023-01-14 17:00:00,0.200,0.396,0.553,0.754,0.00147,0.00316,0.00810,0.396,0.0119
