sep=,
"Time","{instance=""localhost:9100"", job=""node""}"
2023-01-11 22:20:00,
2023-01-11 22:40:00,
2023-01-11 23:00:00,
2023-01-11 23:20:00,
2023-01-11 23:40:00,
2023-01-12 00:00:00,
2023-01-12 00:20:00,
2023-01-12 00:40:00,
2023-01-12 01:00:00,
2023-01-12 01:20:00,
2023-01-12 01:40:00,
2023-01-12 02:00:00,
2023-01-12 02:20:00,
2023-01-12 02:40:00,
2023-01-12 03:00:00,
2023-01-12 03:20:00,
2023-01-12 03:40:00,
2023-01-12 04:00:00,
2023-01-12 04:20:00,
2023-01-12 04:40:00,
2023-01-12 05:00:00,
2023-01-12 05:20:00,
2023-01-12 05:40:00,
2023-01-12 06:00:00,
2023-01-12 06:20:00,
2023-01-12 06:40:00,
2023-01-12 07:00:00,
2023-01-12 07:20:00,
2023-01-12 07:40:00,
2023-01-12 08:00:00,
2023-01-12 08:20:00,
2023-01-12 08:40:00,
2023-01-12 09:00:00,
2023-01-12 09:20:00,
2023-01-12 09:40:00,
2023-01-12 10:00:00,
2023-01-12 10:20:00,
2023-01-12 10:40:00,
2023-01-12 11:00:00,
2023-01-12 11:20:00,
2023-01-12 11:40:00,
2023-01-12 12:00:00,
2023-01-12 12:20:00,
2023-01-12 12:40:00,
2023-01-12 13:00:00,
2023-01-12 13:20:00,
2023-01-12 13:40:00,
2023-01-12 14:00:00,
2023-01-12 14:20:00,
2023-01-12 14:40:00,
2023-01-12 15:00:00,
2023-01-12 15:20:00,
2023-01-12 15:40:00,
2023-01-12 16:00:00,
2023-01-12 16:20:00,
2023-01-12 16:40:00,
2023-01-12 17:00:00,
2023-01-12 17:20:00,
2023-01-12 17:40:00,
2023-01-12 18:00:00,
2023-01-12 18:20:00,
2023-01-12 18:40:00,
2023-01-12 19:00:00,
2023-01-12 19:20:00,
2023-01-12 19:40:00,
2023-01-12 20:00:00,
2023-01-12 20:20:00,
2023-01-12 20:40:00,
2023-01-12 21:00:00,
2023-01-12 21:20:00,
2023-01-12 21:40:00,
2023-01-12 22:00:00,
2023-01-12 22:20:00,
2023-01-12 22:40:00,
2023-01-12 23:00:00,
2023-01-12 23:20:00,
2023-01-12 23:40:00,
2023-01-13 00:00:00,
2023-01-13 00:20:00,
2023-01-13 00:40:00,
2023-01-13 01:00:00,
2023-01-13 01:20:00,
2023-01-13 01:40:00,
2023-01-13 02:00:00,
2023-01-13 02:20:00,
2023-01-13 02:40:00,
2023-01-13 03:00:00,
2023-01-13 03:20:00,
2023-01-13 03:40:00,
2023-01-13 04:00:00,
2023-01-13 04:20:00,
2023-01-13 04:40:00,
2023-01-13 05:00:00,
2023-01-13 05:20:00,
2023-01-13 05:40:00,
2023-01-13 06:00:00,
2023-01-13 06:20:00,
2023-01-13 06:40:00,
2023-01-13 07:00:00,
2023-01-13 07:20:00,
2023-01-13 07:40:00,
2023-01-13 08:00:00,
2023-01-13 08:20:00,
2023-01-13 08:40:00,
2023-01-13 09:00:00,
2023-01-13 09:20:00,
2023-01-13 09:40:00,
2023-01-13 10:00:00,
2023-01-13 10:20:00,
2023-01-13 10:40:00,
2023-01-13 11:00:00,
2023-01-13 11:20:00,
2023-01-13 11:40:00,
2023-01-13 12:00:00,
2023-01-13 12:20:00,
2023-01-13 12:40:00,
2023-01-13 13:00:00,
2023-01-13 13:20:00,
2023-01-13 13:40:00,
2023-01-13 14:00:00,
2023-01-13 14:20:00,
2023-01-13 14:40:00,
2023-01-13 15:00:00,
2023-01-13 15:20:00,
2023-01-13 15:40:00,
2023-01-13 16:00:00,
2023-01-13 16:20:00,
2023-01-13 16:40:00,
2023-01-13 17:00:00,
2023-01-13 17:20:00,
2023-01-13 17:40:00,
2023-01-13 18:00:00,
2023-01-13 18:20:00,
2023-01-13 18:40:00,
2023-01-13 19:00:00,
2023-01-13 19:20:00,
2023-01-13 19:40:00,
2023-01-13 20:00:00,
2023-01-13 20:20:00,
2023-01-13 20:40:00,
2023-01-13 21:00:00,
2023-01-13 21:20:00,
2023-01-13 21:40:00,
2023-01-13 22:00:00,
2023-01-13 22:20:00,
2023-01-13 22:40:00,
2023-01-13 23:00:00,
2023-01-13 23:20:00,
2023-01-13 23:40:00,
2023-01-14 00:00:00,
2023-01-14 00:20:00,
2023-01-14 00:40:00,
2023-01-14 01:00:00,
2023-01-14 01:20:00,
2023-01-14 01:40:00,
2023-01-14 02:00:00,
2023-01-14 02:20:00,
2023-01-14 02:40:00,
2023-01-14 03:00:00,
2023-01-14 03:20:00,
2023-01-14 03:40:00,
2023-01-14 04:00:00,
2023-01-14 04:20:00,
2023-01-14 04:40:00,
2023-01-14 05:00:00,
2023-01-14 05:20:00,
2023-01-14 05:40:00,
2023-01-14 06:00:00,
2023-01-14 06:20:00,
2023-01-14 06:40:00,
2023-01-14 07:00:00,
2023-01-14 07:20:00,
2023-01-14 07:40:00,
2023-01-14 08:00:00,
2023-01-14 08:20:00,
2023-01-14 08:40:00,
2023-01-14 09:00:00,
2023-01-14 09:20:00,
2023-01-14 09:40:00,
2023-01-14 10:00:00,
2023-01-14 10:20:00,
2023-01-14 10:40:00,
2023-01-14 11:00:00,
2023-01-14 11:20:00,
2023-01-14 11:40:00,
2023-01-14 12:00:00,
2023-01-14 12:20:00,
2023-01-14 12:40:00,
2023-01-14 13:00:00,
2023-01-14 13:20:00,
2023-01-14 13:40:00,
2023-01-14 14:00:00,
2023-01-14 14:20:00,
2023-01-14 14:40:00,
2023-01-14 15:00:00,
2023-01-14 15:20:00,
2023-01-14 15:40:00,
2023-01-14 16:00:00,
2023-01-14 16:20:00,
2023-01-14 16:40:00,
2023-01-14 17:00:00,
2023-01-14 17:20:00,
2023-01-14 17:40:00,
2023-01-14 18:00:00,
2023-01-14 18:20:00,
2023-01-14 18:40:00,
2023-01-14 19:00:00,
2023-01-14 19:20:00,
2023-01-14 19:40:00,
2023-01-14 20:00:00,
2023-01-14 20:20:00,
2023-01-14 20:40:00,
2023-01-14 21:00:00,
2023-01-14 21:20:00,
2023-01-14 21:40:00,
2023-01-14 22:00:00,
2023-01-14 22:20:00,
2023-01-14 22:40:00,
2023-01-14 23:00:00,
2023-01-14 23:20:00,
2023-01-14 23:40:00,
2023-01-15 00:00:00,
2023-01-15 00:20:00,
2023-01-15 00:40:00,
2023-01-15 01:00:00,
2023-01-15 01:20:00,
2023-01-15 01:40:00,
2023-01-15 02:00:00,
2023-01-15 02:20:00,
2023-01-15 02:40:00,
2023-01-15 03:00:00,
2023-01-15 03:20:00,
2023-01-15 03:40:00,
2023-01-15 04:00:00,
2023-01-15 04:20:00,
2023-01-15 04:40:00,
2023-01-15 05:00:00,
2023-01-15 05:20:00,
2023-01-15 05:40:00,
2023-01-15 06:00:00,
2023-01-15 06:20:00,
2023-01-15 06:40:00,
2023-01-15 07:00:00,
2023-01-15 07:20:00,
2023-01-15 07:40:00,
2023-01-15 08:00:00,
2023-01-15 08:20:00,
2023-01-15 08:40:00,
2023-01-15 09:00:00,
2023-01-15 09:20:00,
2023-01-15 09:40:00,
2023-01-15 10:00:00,
2023-01-15 10:20:00,
2023-01-15 10:40:00,
2023-01-15 11:00:00,
2023-01-15 11:20:00,
2023-01-15 11:40:00,
2023-01-15 12:00:00,
2023-01-15 12:20:00,
2023-01-15 12:40:00,
2023-01-15 13:00:00,
2023-01-15 13:20:00,
2023-01-15 13:40:00,
2023-01-15 14:00:00,
2023-01-15 14:20:00,
2023-01-15 14:40:00,
2023-01-15 15:00:00,
2023-01-15 15:20:00,
2023-01-15 15:40:00,
2023-01-15 16:00:00,
2023-01-15 16:20:00,
2023-01-15 16:40:00,
2023-01-15 17:00:00,
2023-01-15 17:20:00,
2023-01-15 17:40:00,
2023-01-15 18:00:00,
2023-01-15 18:20:00,
2023-01-15 18:40:00,
2023-01-15 19:00:00,
2023-01-15 19:20:00,
2023-01-15 19:40:00,
2023-01-15 20:00:00,
2023-01-15 20:20:00,
2023-01-15 20:40:00,
2023-01-15 21:00:00,
2023-01-15 21:20:00,
2023-01-15 21:40:00,
2023-01-15 22:00:00,
2023-01-15 22:20:00,
2023-01-15 22:40:00,
2023-01-15 23:00:00,
2023-01-15 23:20:00,
2023-01-15 23:40:00,
2023-01-16 00:00:00,
2023-01-16 00:20:00,
2023-01-16 00:40:00,
2023-01-16 01:00:00,
2023-01-16 01:20:00,
2023-01-16 01:40:00,
2023-01-16 02:00:00,
2023-01-16 02:20:00,
2023-01-16 02:40:00,
2023-01-16 03:00:00,
2023-01-16 03:20:00,
2023-01-16 03:40:00,
2023-01-16 04:00:00,
2023-01-16 04:20:00,
2023-01-16 04:40:00,
2023-01-16 05:00:00,
2023-01-16 05:20:00,
2023-01-16 05:40:00,
2023-01-16 06:00:00,
2023-01-16 06:20:00,
2023-01-16 06:40:00,
2023-01-16 07:00:00,
2023-01-16 07:20:00,
2023-01-16 07:40:00,
2023-01-16 08:00:00,
2023-01-16 08:20:00,
2023-01-16 08:40:00,
2023-01-16 09:00:00,
2023-01-16 09:20:00,
2023-01-16 09:40:00,
2023-01-16 10:00:00,
2023-01-16 10:20:00,
2023-01-16 10:40:00,0.670
2023-01-16 11:00:00,0.750
2023-01-16 11:20:00,0.747
2023-01-16 11:40:00,0.742
2023-01-16 12:00:00,0.739
2023-01-16 12:20:00,0.751
2023-01-16 12:40:00,0.747
2023-01-16 13:00:00,0.748
2023-01-16 13:20:00,0.752
2023-01-16 13:40:00,0.746
2023-01-16 14:00:00,0.751
2023-01-16 14:20:00,0.750
2023-01-16 14:40:00,0.752
2023-01-16 15:00:00,0.760
2023-01-16 15:20:00,0.768
2023-01-16 15:40:00,0.804
2023-01-16 16:00:00,0.801
2023-01-16 16:20:00,0.799
2023-01-16 16:40:00,0.798
2023-01-16 17:00:00,0.799
2023-01-16 17:20:00,0.806
2023-01-16 17:40:00,0.800
2023-01-16 18:00:00,0.805
2023-01-16 18:20:00,0.811
2023-01-16 18:40:00,0.806
2023-01-16 19:00:00,0.818
2023-01-16 19:20:00,0.814
2023-01-16 19:40:00,0.811
2023-01-16 20:00:00,0.813
2023-01-16 20:20:00,0.783
2023-01-16 20:40:00,0.786
2023-01-16 21:00:00,0.779
2023-01-16 21:20:00,0.789
2023-01-16 21:40:00,0.790
2023-01-16 22:00:00,0.789
2023-01-16 22:20:00,0.788
2023-01-16 22:40:00,0.790
2023-01-16 23:00:00,0.793
2023-01-16 23:20:00,0.737
2023-01-16 23:40:00,0.737
2023-01-17 00:00:00,0.746
2023-01-17 00:20:00,0.753
2023-01-17 00:40:00,0.737
2023-01-17 01:00:00,0.747
2023-01-17 01:20:00,0.762
2023-01-17 01:40:00,0.758
2023-01-17 02:00:00,0.793
2023-01-17 02:20:00,0.804
2023-01-17 02:40:00,0.803
2023-01-17 03:00:00,0.810
2023-01-17 03:20:00,0.809
2023-01-17 03:40:00,0.806
2023-01-17 04:00:00,0.809
2023-01-17 04:20:00,0.810
