sep=,
"Time","localhost:9100"
2023-01-11 21:20:00,
2023-01-11 23:00:00,
2023-01-12 00:40:00,
2023-01-12 02:20:00,
2023-01-12 04:00:00,
2023-01-12 05:40:00,
2023-01-12 07:20:00,
2023-01-12 09:00:00,
2023-01-12 10:40:00,
2023-01-12 12:20:00,
2023-01-12 14:00:00,
2023-01-12 15:40:00,
2023-01-12 17:20:00,
2023-01-12 19:00:00,
2023-01-12 20:40:00,
2023-01-12 22:20:00,
2023-01-13 00:00:00,
2023-01-13 01:40:00,
2023-01-13 03:20:00,
2023-01-13 05:00:00,
2023-01-13 06:40:00,
2023-01-13 08:20:00,
2023-01-13 10:00:00,
2023-01-13 11:40:00,
2023-01-13 13:20:00,
2023-01-13 15:00:00,
2023-01-13 16:40:00,
2023-01-13 18:20:00,
2023-01-13 20:00:00,
2023-01-13 21:40:00,
2023-01-13 23:20:00,
2023-01-14 01:00:00,
2023-01-14 02:40:00,
2023-01-14 04:20:00,
2023-01-14 06:00:00,
2023-01-14 07:40:00,
2023-01-14 09:20:00,
2023-01-14 11:00:00,
2023-01-14 12:40:00,
2023-01-14 14:20:00,
2023-01-14 16:00:00,
2023-01-14 17:40:00,
2023-01-14 19:20:00,
2023-01-14 21:00:00,
2023-01-14 22:40:00,
2023-01-15 00:20:00,
2023-01-15 02:00:00,
2023-01-15 03:40:00,
2023-01-15 05:20:00,
2023-01-15 07:00:00,
2023-01-15 08:40:00,
2023-01-15 10:20:00,
2023-01-15 12:00:00,
2023-01-15 13:40:00,
2023-01-15 15:20:00,
2023-01-15 17:00:00,
2023-01-15 18:40:00,
2023-01-15 20:20:00,
2023-01-15 22:00:00,
2023-01-15 23:40:00,
2023-01-16 01:20:00,
2023-01-16 03:00:00,
2023-01-16 04:40:00,
2023-01-16 06:20:00,
2023-01-16 08:00:00,
2023-01-16 09:40:00,
2023-01-16 11:20:00,0.600
2023-01-16 13:00:00,0.379
2023-01-16 14:40:00,0.420
2023-01-16 16:20:00,0.368
2023-01-16 18:00:00,0.356
2023-01-16 19:40:00,0.362
2023-01-16 21:20:00,0.373
2023-01-16 23:00:00,0.381
2023-01-17 00:40:00,0.384
2023-01-17 02:20:00,0.388
2023-01-17 04:00:00,0.395
2023-01-17 05:40:00,0.401
2023-01-17 07:20:00,0.413
2023-01-17 09:00:00,0.418
2023-01-17 10:40:00,0.419
2023-01-17 12:20:00,0.422
2023-01-17 14:00:00,0.426
2023-01-17 15:40:00,0.436
2023-01-17 17:20:00,0.441
2023-01-17 19:00:00,0.444
2023-01-17 20:40:00,0.448
2023-01-17 22:20:00,0.456
2023-01-18 00:00:00,0.457
2023-01-18 01:40:00,0.467
2023-01-18 03:20:00,0.471
2023-01-18 05:00:00,0.472
2023-01-18 06:40:00,0.476
2023-01-18 08:20:00,0.479
2023-01-18 10:00:00,0.483
2023-01-18 11:40:00,0.486
2023-01-18 13:20:00,0.494
2023-01-18 15:00:00,0.494
2023-01-18 16:40:00,0.496
2023-01-18 18:20:00,0.500
2023-01-18 20:00:00,0.405
2023-01-18 21:40:00,0.0539

