sep=,
"Time","send localhost:9100","receive localhost:9100"
2023-01-11 21:20:00,,
2023-01-11 23:00:00,,
2023-01-12 00:40:00,,
2023-01-12 02:20:00,,
2023-01-12 04:00:00,,
2023-01-12 05:40:00,,
2023-01-12 07:20:00,,
2023-01-12 09:00:00,,
2023-01-12 10:40:00,,
2023-01-12 12:20:00,,
2023-01-12 14:00:00,,
2023-01-12 15:40:00,,
2023-01-12 17:20:00,,
2023-01-12 19:00:00,,
2023-01-12 20:40:00,,
2023-01-12 22:20:00,,
2023-01-13 00:00:00,,
2023-01-13 01:40:00,,
2023-01-13 03:20:00,,
2023-01-13 05:00:00,,
2023-01-13 06:40:00,,
2023-01-13 08:20:00,,
2023-01-13 10:00:00,,
2023-01-13 11:40:00,,
2023-01-13 13:20:00,,
2023-01-13 15:00:00,,
2023-01-13 16:40:00,,
2023-01-13 18:20:00,,
2023-01-13 20:00:00,,
2023-01-13 21:40:00,,
2023-01-13 23:20:00,,
2023-01-14 01:00:00,,
2023-01-14 02:40:00,,
2023-01-14 04:20:00,,
2023-01-14 06:00:00,,
2023-01-14 07:40:00,,
2023-01-14 09:20:00,,
2023-01-14 11:00:00,,
2023-01-14 12:40:00,,
2023-01-14 14:20:00,,
2023-01-14 16:00:00,,
2023-01-14 17:40:00,,
2023-01-14 19:20:00,,
2023-01-14 21:00:00,,
2023-01-14 22:40:00,,
2023-01-15 00:20:00,,
2023-01-15 02:00:00,,
2023-01-15 03:40:00,,
2023-01-15 05:20:00,,
2023-01-15 07:00:00,,
2023-01-15 08:40:00,,
2023-01-15 10:20:00,,
2023-01-15 12:00:00,,
2023-01-15 13:40:00,,
2023-01-15 15:20:00,,
2023-01-15 17:00:00,,
2023-01-15 18:40:00,,
2023-01-15 20:20:00,,
2023-01-15 22:00:00,,
2023-01-15 23:40:00,,
2023-01-16 01:20:00,,
2023-01-16 03:00:00,,
2023-01-16 04:40:00,,
2023-01-16 06:20:00,,
2023-01-16 08:00:00,,
2023-01-16 09:40:00,,
2023-01-16 11:20:00,93350,87490
2023-01-16 13:00:00,226954,208723
2023-01-16 14:40:00,246357,225223
2023-01-16 16:20:00,187232,148936
2023-01-16 18:00:00,160457,122328
2023-01-16 19:40:00,156092,120742
2023-01-16 21:20:00,152427,118960
2023-01-16 23:00:00,150266,118208
2023-01-17 00:40:00,147118,117316
2023-01-17 02:20:00,146983,117697
2023-01-17 04:00:00,146466,117552
2023-01-17 05:40:00,145839,117425
2023-01-17 07:20:00,144264,116632
2023-01-17 09:00:00,143446,116414
2023-01-17 10:40:00,142560,116041
2023-01-17 12:20:00,141184,115572
2023-01-17 14:00:00,140784,115599
2023-01-17 15:40:00,140240,115266
2023-01-17 17:20:00,139723,114958
2023-01-17 19:00:00,139140,114693
2023-01-17 20:40:00,138467,114449
2023-01-17 22:20:00,138426,114520
2023-01-18 00:00:00,136752,113911
2023-01-18 01:40:00,136362,113788
2023-01-18 03:20:00,135427,113290
2023-01-18 05:00:00,135400,113285
2023-01-18 06:40:00,135147,113191
2023-01-18 08:20:00,134668,113035
2023-01-18 10:00:00,134279,112943
2023-01-18 11:40:00,133438,112510
2023-01-18 13:20:00,133720,112764
2023-01-18 15:00:00,133034,112311
2023-01-18 16:40:00,132558,112081
2023-01-18 18:20:00,132513,112145
2023-01-18 20:00:00,121356,105610
2023-01-18 21:40:00,83218,83219

