sep=,
"Time","gitlab-workhorse"
2023-01-11 22:00:00,
2023-01-11 23:00:00,
2023-01-12 00:00:00,
2023-01-12 01:00:00,
2023-01-12 02:00:00,
2023-01-12 03:00:00,
2023-01-12 04:00:00,
2023-01-12 05:00:00,
2023-01-12 06:00:00,
2023-01-12 07:00:00,
2023-01-12 08:00:00,
2023-01-12 09:00:00,
2023-01-12 10:00:00,
2023-01-12 11:00:00,
2023-01-12 12:00:00,
2023-01-12 13:00:00,
2023-01-12 14:00:00,
2023-01-12 15:00:00,
2023-01-12 16:00:00,
2023-01-12 17:00:00,
2023-01-12 18:00:00,
2023-01-12 19:00:00,
2023-01-12 20:00:00,
2023-01-12 21:00:00,
2023-01-12 22:00:00,
2023-01-12 23:00:00,
2023-01-13 00:00:00,
2023-01-13 01:00:00,
2023-01-13 02:00:00,
2023-01-13 03:00:00,
2023-01-13 04:00:00,
2023-01-13 05:00:00,
2023-01-13 06:00:00,
2023-01-13 07:00:00,
2023-01-13 08:00:00,
2023-01-13 09:00:00,
2023-01-13 10:00:00,
2023-01-13 11:00:00,
2023-01-13 12:00:00,
2023-01-13 13:00:00,
2023-01-13 14:00:00,
2023-01-13 15:00:00,
2023-01-13 16:00:00,
2023-01-13 17:00:00,
2023-01-13 18:00:00,
2023-01-13 19:00:00,
2023-01-13 20:00:00,
2023-01-13 21:00:00,
2023-01-13 22:00:00,
2023-01-13 23:00:00,
2023-01-14 00:00:00,
2023-01-14 01:00:00,
2023-01-14 02:00:00,
2023-01-14 03:00:00,
2023-01-14 04:00:00,
2023-01-14 05:00:00,
2023-01-14 06:00:00,
2023-01-14 07:00:00,
2023-01-14 08:00:00,
2023-01-14 09:00:00,
2023-01-14 10:00:00,
2023-01-14 11:00:00,
2023-01-14 12:00:00,
2023-01-14 13:00:00,
2023-01-14 14:00:00,
2023-01-14 15:00:00,
2023-01-14 16:00:00,
2023-01-14 17:00:00,
2023-01-14 18:00:00,
2023-01-14 19:00:00,
2023-01-14 20:00:00,
2023-01-14 21:00:00,
2023-01-14 22:00:00,
2023-01-14 23:00:00,
2023-01-15 00:00:00,
2023-01-15 01:00:00,
2023-01-15 02:00:00,
2023-01-15 03:00:00,
2023-01-15 04:00:00,
2023-01-15 05:00:00,
2023-01-15 06:00:00,
2023-01-15 07:00:00,
2023-01-15 08:00:00,
2023-01-15 09:00:00,
2023-01-15 10:00:00,
2023-01-15 11:00:00,
2023-01-15 12:00:00,
2023-01-15 13:00:00,
2023-01-15 14:00:00,
2023-01-15 15:00:00,
2023-01-15 16:00:00,
2023-01-15 17:00:00,
2023-01-15 18:00:00,
2023-01-15 19:00:00,
2023-01-15 20:00:00,
2023-01-15 21:00:00,
2023-01-15 22:00:00,
2023-01-15 23:00:00,
2023-01-16 00:00:00,
2023-01-16 01:00:00,
2023-01-16 02:00:00,
2023-01-16 03:00:00,
2023-01-16 04:00:00,
2023-01-16 05:00:00,
2023-01-16 06:00:00,
2023-01-16 07:00:00,
2023-01-16 08:00:00,
2023-01-16 09:00:00,
2023-01-16 10:00:00,
2023-01-16 11:00:00,8.10
2023-01-16 12:00:00,12.8
2023-01-16 13:00:00,12.0
2023-01-16 14:00:00,13.8
2023-01-16 15:00:00,13.8
2023-01-16 16:00:00,29.0
2023-01-16 17:00:00,26.9
2023-01-16 18:00:00,25.1
2023-01-16 19:00:00,23.9
2023-01-16 20:00:00,22.8
2023-01-16 21:00:00,22.0
2023-01-16 22:00:00,21.0
2023-01-16 23:00:00,20.8
2023-01-17 00:00:00,19.6
2023-01-17 01:00:00,19.0
2023-01-17 02:00:00,19.0
2023-01-17 03:00:00,19.0
2023-01-17 04:00:00,18.6
2023-01-17 05:00:00,18.3
2023-01-17 06:00:00,18.4
2023-01-17 07:00:00,17.9
2023-01-17 08:00:00,17.7
2023-01-17 09:00:00,17.4
2023-01-17 10:00:00,17.1
2023-01-17 11:00:00,17.1
2023-01-17 12:00:00,16.7
2023-01-17 13:00:00,16.3
2023-01-17 14:00:00,16.2
2023-01-17 15:00:00,16.1
2023-01-17 16:00:00,16.2
2023-01-17 17:00:00,16.1
2023-01-17 18:00:00,15.8
2023-01-17 19:00:00,15.8
2023-01-17 20:00:00,15.7
2023-01-17 21:00:00,15.4
2023-01-17 22:00:00,15.5
2023-01-17 23:00:00,14.9
2023-01-18 00:00:00,14.6
2023-01-18 01:00:00,14.7
2023-01-18 02:00:00,14.4
2023-01-18 03:00:00,14.3
2023-01-18 04:00:00,14.4
2023-01-18 05:00:00,14.2
2023-01-18 06:00:00,14.2
2023-01-18 07:00:00,14.1
2023-01-18 08:00:00,14.1
2023-01-18 09:00:00,13.7
2023-01-18 10:00:00,13.8
2023-01-18 11:00:00,13.4
2023-01-18 12:00:00,13.6
2023-01-18 13:00:00,13.5
2023-01-18 14:00:00,13.4
2023-01-18 15:00:00,13.4
2023-01-18 16:00:00,13.2
2023-01-18 17:00:00,13.2
2023-01-18 18:00:00,13.1
2023-01-18 19:00:00,13.2
2023-01-18 20:00:00,8.26
2023-01-18 21:00:00,0.0222
2023-01-18 22:00:00,0.0152

