sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2023-01-11 22:00:00,,,,,,,,,
2023-01-11 23:00:00,,,,,,,,,
2023-01-12 00:00:00,,,,,,,,,
2023-01-12 01:00:00,,,,,,,,,
2023-01-12 02:00:00,,,,,,,,,
2023-01-12 03:00:00,,,,,,,,,
2023-01-12 04:00:00,,,,,,,,,
2023-01-12 05:00:00,,,,,,,,,
2023-01-12 06:00:00,,,,,,,,,
2023-01-12 07:00:00,,,,,,,,,
2023-01-12 08:00:00,,,,,,,,,
2023-01-12 09:00:00,,,,,,,,,
2023-01-12 10:00:00,,,,,,,,,
2023-01-12 11:00:00,,,,,,,,,
2023-01-12 12:00:00,,,,,,,,,
2023-01-12 13:00:00,,,,,,,,,
2023-01-12 14:00:00,,,,,,,,,
2023-01-12 15:00:00,,,,,,,,,
2023-01-12 16:00:00,,,,,,,,,
2023-01-12 17:00:00,,,,,,,,,
2023-01-12 18:00:00,,,,,,,,,
2023-01-12 19:00:00,,,,,,,,,
2023-01-12 20:00:00,,,,,,,,,
2023-01-12 21:00:00,,,,,,,,,
2023-01-12 22:00:00,,,,,,,,,
2023-01-12 23:00:00,,,,,,,,,
2023-01-13 00:00:00,,,,,,,,,
2023-01-13 01:00:00,,,,,,,,,
2023-01-13 02:00:00,,,,,,,,,
2023-01-13 03:00:00,,,,,,,,,
2023-01-13 04:00:00,,,,,,,,,
2023-01-13 05:00:00,,,,,,,,,
2023-01-13 06:00:00,,,,,,,,,
2023-01-13 07:00:00,,,,,,,,,
2023-01-13 08:00:00,,,,,,,,,
2023-01-13 09:00:00,,,,,,,,,
2023-01-13 10:00:00,,,,,,,,,
2023-01-13 11:00:00,,,,,,,,,
2023-01-13 12:00:00,,,,,,,,,
2023-01-13 13:00:00,,,,,,,,,
2023-01-13 14:00:00,,,,,,,,,
2023-01-13 15:00:00,,,,,,,,,
2023-01-13 16:00:00,,,,,,,,,
2023-01-13 17:00:00,,,,,,,,,
2023-01-13 18:00:00,,,,,,,,,
2023-01-13 19:00:00,,,,,,,,,
2023-01-13 20:00:00,,,,,,,,,
2023-01-13 21:00:00,,,,,,,,,
2023-01-13 22:00:00,,,,,,,,,
2023-01-13 23:00:00,,,,,,,,,
2023-01-14 00:00:00,,,,,,,,,
2023-01-14 01:00:00,,,,,,,,,
2023-01-14 02:00:00,,,,,,,,,
2023-01-14 03:00:00,,,,,,,,,
2023-01-14 04:00:00,,,,,,,,,
2023-01-14 05:00:00,,,,,,,,,
2023-01-14 06:00:00,,,,,,,,,
2023-01-14 07:00:00,,,,,,,,,
2023-01-14 08:00:00,,,,,,,,,
2023-01-14 09:00:00,,,,,,,,,
2023-01-14 10:00:00,,,,,,,,,
2023-01-14 11:00:00,,,,,,,,,
2023-01-14 12:00:00,,,,,,,,,
2023-01-14 13:00:00,,,,,,,,,
2023-01-14 14:00:00,,,,,,,,,
2023-01-14 15:00:00,,,,,,,,,
2023-01-14 16:00:00,,,,,,,,,
2023-01-14 17:00:00,,,,,,,,,
2023-01-14 18:00:00,,,,,,,,,
2023-01-14 19:00:00,,,,,,,,,
2023-01-14 20:00:00,,,,,,,,,
2023-01-14 21:00:00,,,,,,,,,
2023-01-14 22:00:00,,,,,,,,,
2023-01-14 23:00:00,,,,,,,,,
2023-01-15 00:00:00,,,,,,,,,
2023-01-15 01:00:00,,,,,,,,,
2023-01-15 02:00:00,,,,,,,,,
2023-01-15 03:00:00,,,,,,,,,
2023-01-15 04:00:00,,,,,,,,,
2023-01-15 05:00:00,,,,,,,,,
2023-01-15 06:00:00,,,,,,,,,
2023-01-15 07:00:00,,,,,,,,,
2023-01-15 08:00:00,,,,,,,,,
2023-01-15 09:00:00,,,,,,,,,
2023-01-15 10:00:00,,,,,,,,,
2023-01-15 11:00:00,,,,,,,,,
2023-01-15 12:00:00,,,,,,,,,
2023-01-15 13:00:00,,,,,,,,,
2023-01-15 14:00:00,,,,,,,,,
2023-01-15 15:00:00,,,,,,,,,
2023-01-15 16:00:00,,,,,,,,,
2023-01-15 17:00:00,,,,,,,,,
2023-01-15 18:00:00,,,,,,,,,
2023-01-15 19:00:00,,,,,,,,,
2023-01-15 20:00:00,,,,,,,,,
2023-01-15 21:00:00,,,,,,,,,
2023-01-15 22:00:00,,,,,,,,,
2023-01-15 23:00:00,,,,,,,,,
2023-01-16 00:00:00,,,,,,,,,
2023-01-16 01:00:00,,,,,,,,,
2023-01-16 02:00:00,,,,,,,,,
2023-01-16 03:00:00,,,,,,,,,
2023-01-16 04:00:00,,,,,,,,,
2023-01-16 05:00:00,,,,,,,,,
2023-01-16 06:00:00,,,,,,,,,
2023-01-16 07:00:00,,,,,,,,,
2023-01-16 08:00:00,,,,,,,,,
2023-01-16 09:00:00,,,,,,,,,
2023-01-16 10:00:00,,,,,,,,,
2023-01-16 11:00:00,0.200,0.585,0.353,0.762,0.0312,0.00388,0.00960,0.585,0.0197
2023-01-16 12:00:00,0.155,0.696,0.383,0.761,0.0333,0.00584,0.0114,0.696,0.0288
2023-01-16 13:00:00,0.160,0.454,0.404,0.761,0.0179,0.00552,0.0100,0.454,0.0263
2023-01-16 14:00:00,0.130,0.453,0.427,0.761,0.0181,0.00484,0.00980,0.453,0.0257
2023-01-16 15:00:00,0.130,0.459,0.454,0.770,0.0190,0.00534,0.00990,0.459,0.0260
2023-01-16 16:00:00,0.231,0.449,0.468,0.806,0.0174,0.0122,0.0102,0.449,0.0249
2023-01-16 17:00:00,0.231,0.363,0.480,0.810,0.00147,0.00316,0.00830,0.363,0.0145
2023-01-16 18:00:00,0.300,0.368,0.493,0.815,0.00147,0.00320,0.00830,0.368,0.0138
2023-01-16 19:00:00,0.300,0.385,0.507,0.822,0.00147,0.00318,0.00770,0.385,0.0131
2023-01-16 20:00:00,0.250,0.396,0.520,0.826,0.00147,0.00332,0.00860,0.396,0.0138
2023-01-16 21:00:00,0.182,0.385,0.533,0.824,0.00147,0.00342,0.00860,0.385,0.0128
2023-01-16 22:00:00,0.300,0.406,0.539,0.800,0.00147,0.00320,0.00850,0.406,0.0136
2023-01-16 23:00:00,0.273,0.400,0.551,0.806,0.00147,0.00318,0.00830,0.400,0.0119
2023-01-17 00:00:00,0.273,0.396,0.562,0.799,0.00147,0.00340,0.00830,0.396,0.0115
2023-01-17 01:00:00,0.182,0.561,0.569,0.766,0.00120,0.00346,0.00830,0.561,0.0116
2023-01-17 02:00:00,0.273,0.400,0.534,0.800,0.00127,0.00324,0.00830,0.400,0.0109
2023-01-17 03:00:00,0.273,0.404,0.542,0.815,0.00120,0.00334,0.00830,0.404,0.0108
2023-01-17 04:00:00,0.231,0.410,0.553,0.823,0.00120,0.00324,0.00820,0.410,0.0112
2023-01-17 05:00:00,0.250,0.410,0.564,0.828,0.00120,0.00342,0.00820,0.410,0.0113
2023-01-17 06:00:00,0.273,0.422,0.572,0.835,0.00120,0.00342,0.00870,0.422,0.0110
2023-01-17 07:00:00,0.273,0.428,0.583,0.839,0.00120,0.00328,0.00830,0.428,0.0110
2023-01-17 08:00:00,0.200,0.441,0.594,0.805,0.00120,0.00322,0.00810,0.441,0.0107
2023-01-17 09:00:00,0.300,0.456,0.600,0.804,0.00120,0.00336,0.00830,0.456,0.0107
2023-01-17 10:00:00,0.231,0.437,0.607,0.815,0.00120,0.00320,0.00830,0.437,0.0109
2023-01-17 11:00:00,0.273,0.441,0.613,0.814,0.00120,0.00320,0.00840,0.441,0.0117
2023-01-17 12:00:00,0.250,0.475,0.623,0.818,0.00133,0.00328,0.00820,0.475,0.0114
2023-01-17 13:00:00,0.250,0.505,0.633,0.822,0.00120,0.00324,0.00850,0.505,0.0129
2023-01-17 14:00:00,0.273,0.566,0.640,0.833,0.00120,0.00338,0.00860,0.566,0.0137
2023-01-17 15:00:00,0.182,0.542,0.649,0.834,0.00120,0.00326,0.00880,0.542,0.0129
2023-01-17 16:00:00,0.273,0.515,0.659,0.843,0.00120,0.00322,0.00810,0.515,0.0125
2023-01-17 17:00:00,0.250,0.465,0.668,0.848,0.00120,0.00340,0.00800,0.465,0.0107
