sep=,
"Time","localhost:9100"
2023-01-12 19:00:00,
2023-01-12 20:40:00,
2023-01-12 22:20:00,
2023-01-13 00:00:00,
2023-01-13 01:40:00,
2023-01-13 03:20:00,
2023-01-13 05:00:00,
2023-01-13 06:40:00,
2023-01-13 08:20:00,
2023-01-13 10:00:00,
2023-01-13 11:40:00,
2023-01-13 13:20:00,
2023-01-13 15:00:00,
2023-01-13 16:40:00,
2023-01-13 18:20:00,
2023-01-13 20:00:00,
2023-01-13 21:40:00,
2023-01-13 23:20:00,
2023-01-14 01:00:00,
2023-01-14 02:40:00,
2023-01-14 04:20:00,
2023-01-14 06:00:00,
2023-01-14 07:40:00,
2023-01-14 09:20:00,
2023-01-14 11:00:00,
2023-01-14 12:40:00,
2023-01-14 14:20:00,
2023-01-14 16:00:00,
2023-01-14 17:40:00,
2023-01-14 19:20:00,
2023-01-14 21:00:00,
2023-01-14 22:40:00,
2023-01-15 00:20:00,
2023-01-15 02:00:00,
2023-01-15 03:40:00,
2023-01-15 05:20:00,
2023-01-15 07:00:00,
2023-01-15 08:40:00,
2023-01-15 10:20:00,
2023-01-15 12:00:00,
2023-01-15 13:40:00,
2023-01-15 15:20:00,
2023-01-15 17:00:00,
2023-01-15 18:40:00,
2023-01-15 20:20:00,
2023-01-15 22:00:00,
2023-01-15 23:40:00,
2023-01-16 01:20:00,
2023-01-16 03:00:00,
2023-01-16 04:40:00,
2023-01-16 06:20:00,
2023-01-16 08:00:00,
2023-01-16 09:40:00,
2023-01-16 11:20:00,
2023-01-16 13:00:00,
2023-01-16 14:40:00,
2023-01-16 16:20:00,
2023-01-16 18:00:00,
2023-01-16 19:40:00,
2023-01-16 21:20:00,
2023-01-16 23:00:00,
2023-01-17 00:40:00,
2023-01-17 02:20:00,
2023-01-17 04:00:00,
2023-01-17 05:40:00,
2023-01-17 07:20:00,
2023-01-17 09:00:00,
2023-01-17 10:40:00,
2023-01-17 12:20:00,
2023-01-17 14:00:00,
2023-01-17 15:40:00,
2023-01-17 17:20:00,
2023-01-17 19:00:00,
2023-01-17 20:40:00,
2023-01-17 22:20:00,
2023-01-18 00:00:00,
2023-01-18 01:40:00,
2023-01-18 03:20:00,
2023-01-18 05:00:00,
2023-01-18 06:40:00,
2023-01-18 08:20:00,
2023-01-18 10:00:00,
2023-01-18 11:40:00,
2023-01-18 13:20:00,
2023-01-18 15:00:00,
2023-01-18 16:40:00,
2023-01-18 18:20:00,
2023-01-18 20:00:00,
2023-01-18 21:40:00,
2023-01-18 23:20:00,
2023-01-19 01:00:00,
2023-01-19 02:40:00,
2023-01-19 04:20:00,
2023-01-19 06:00:00,
2023-01-19 07:40:00,0.399
2023-01-19 09:20:00,0.548
2023-01-19 11:00:00,0.583
2023-01-19 12:40:00,0.417
2023-01-19 14:20:00,0.429
2023-01-19 16:00:00,0.441
2023-01-19 17:40:00,0.448
2023-01-19 19:20:00,0.456

