sep=,
"Time","localhost:9100"
2023-01-03 21:40:00,
2023-01-03 22:05:00,
2023-01-03 22:30:00,
2023-01-03 22:55:00,
2023-01-03 23:20:00,
2023-01-03 23:45:00,
2023-01-04 00:10:00,
2023-01-04 00:35:00,
2023-01-04 01:00:00,
2023-01-04 01:25:00,
2023-01-04 01:50:00,
2023-01-04 02:15:00,
2023-01-04 02:40:00,
2023-01-04 03:05:00,
2023-01-04 03:30:00,
2023-01-04 03:55:00,
2023-01-04 04:20:00,
2023-01-04 04:45:00,
2023-01-04 05:10:00,0.529
2023-01-04 05:35:00,0.457
2023-01-04 06:00:00,0.469
2023-01-04 06:25:00,0.341
2023-01-04 06:50:00,0.417
2023-01-04 07:15:00,0.438
2023-01-04 07:40:00,0.459
2023-01-04 08:05:00,0.468
2023-01-04 08:30:00,0.463
2023-01-04 08:55:00,0.416
2023-01-04 09:20:00,0.405
2023-01-04 09:45:00,0.406
2023-01-04 10:10:00,0.407
2023-01-04 10:35:00,0.410
2023-01-04 11:00:00,0.408
2023-01-04 11:25:00,0.413
2023-01-04 11:50:00,0.415
2023-01-04 12:15:00,0.417
2023-01-04 12:40:00,0.415
2023-01-04 13:05:00,0.421
2023-01-04 13:30:00,0.424
2023-01-04 13:55:00,0.427
2023-01-04 14:20:00,0.429
2023-01-04 14:45:00,0.431
2023-01-04 15:10:00,0.433
2023-01-04 15:35:00,0.433
2023-01-04 16:00:00,0.434
2023-01-04 16:25:00,0.438
2023-01-04 16:50:00,0.439
2023-01-04 17:15:00,0.441
2023-01-04 17:40:00,0.438
2023-01-04 18:05:00,0.440
2023-01-04 18:30:00,0.444
2023-01-04 18:55:00,0.439
2023-01-04 19:20:00,0.432
2023-01-04 19:45:00,0.441
2023-01-04 20:10:00,0.447
2023-01-04 20:35:00,0.449
2023-01-04 21:00:00,0.447
2023-01-04 21:25:00,0.446
2023-01-04 21:50:00,0.453
2023-01-04 22:15:00,0.455
2023-01-04 22:40:00,0.455
2023-01-04 23:05:00,0.462
2023-01-04 23:30:00,0.458
2023-01-04 23:55:00,0.461
2023-01-05 00:20:00,0.470
2023-01-05 00:45:00,0.464
2023-01-05 01:10:00,0.466
2023-01-05 01:35:00,0.465
2023-01-05 02:00:00,0.465
2023-01-05 02:25:00,0.468
2023-01-05 02:50:00,0.469
2023-01-05 03:15:00,0.474
2023-01-05 03:40:00,0.470
2023-01-05 04:05:00,0.473
2023-01-05 04:30:00,0.476
2023-01-05 04:55:00,0.478
2023-01-05 05:20:00,0.477
2023-01-05 05:45:00,0.481
2023-01-05 06:10:00,0.484
2023-01-05 06:35:00,0.486
2023-01-05 07:00:00,0.482
2023-01-05 07:25:00,0.489
2023-01-05 07:50:00,0.489
2023-01-05 08:15:00,0.483
2023-01-05 08:40:00,0.496
2023-01-05 09:05:00,0.492
2023-01-05 09:30:00,0.491
2023-01-05 09:55:00,0.490
2023-01-05 10:20:00,0.492
2023-01-05 10:45:00,0.494
2023-01-05 11:10:00,0.495
2023-01-05 11:35:00,0.495
2023-01-05 12:00:00,0.496
2023-01-05 12:25:00,0.497
2023-01-05 12:50:00,0.498
2023-01-05 13:15:00,0.498
2023-01-05 13:40:00,0.503
2023-01-05 14:05:00,0.503
2023-01-05 14:30:00,0.298
2023-01-05 14:55:00,0.113
2023-01-05 15:20:00,0.114
2023-01-05 15:45:00,0.113
2023-01-05 16:10:00,0.112
2023-01-05 16:35:00,0.114
2023-01-05 17:00:00,0.114
2023-01-05 17:25:00,0.114
2023-01-05 17:50:00,0.113
2023-01-05 18:15:00,0.114
2023-01-05 18:40:00,0.113
2023-01-05 19:05:00,0.114
2023-01-05 19:30:00,0.114
2023-01-05 19:55:00,0.113
2023-01-05 20:20:00,0.114
2023-01-05 20:45:00,0.113
2023-01-05 21:10:00,0.113
2023-01-05 21:35:00,0.114
2023-01-05 22:00:00,0.121

