sep=,
"Time","localhost:9100"
2023-01-03 22:00:00,
2023-01-03 22:15:00,
2023-01-03 22:30:00,
2023-01-03 22:45:00,
2023-01-03 23:00:00,
2023-01-03 23:15:00,
2023-01-03 23:30:00,
2023-01-03 23:45:00,
2023-01-04 00:00:00,
2023-01-04 00:15:00,
2023-01-04 00:30:00,
2023-01-04 00:45:00,
2023-01-04 01:00:00,
2023-01-04 01:15:00,
2023-01-04 01:30:00,
2023-01-04 01:45:00,
2023-01-04 02:00:00,
2023-01-04 02:15:00,
2023-01-04 02:30:00,
2023-01-04 02:45:00,
2023-01-04 03:00:00,
2023-01-04 03:15:00,
2023-01-04 03:30:00,
2023-01-04 03:45:00,
2023-01-04 04:00:00,
2023-01-04 04:15:00,
2023-01-04 04:30:00,
2023-01-04 04:45:00,
2023-01-04 05:00:00,0.687
2023-01-04 05:15:00,0.335
2023-01-04 05:30:00,0.420
2023-01-04 05:45:00,0.579
2023-01-04 06:00:00,0.423
2023-01-04 06:15:00,0.333
2023-01-04 06:30:00,0.371
2023-01-04 06:45:00,0.413
2023-01-04 07:00:00,0.458
2023-01-04 07:15:00,0.429
2023-01-04 07:30:00,0.460
2023-01-04 07:45:00,0.464
2023-01-04 08:00:00,0.465
2023-01-04 08:15:00,0.477
2023-01-04 08:30:00,0.462
2023-01-04 08:45:00,0.426
2023-01-04 09:00:00,0.407
2023-01-04 09:15:00,0.407
2023-01-04 09:30:00,0.408
2023-01-04 09:45:00,0.408
2023-01-04 10:00:00,0.409
2023-01-04 10:15:00,0.412
2023-01-04 10:30:00,0.413
2023-01-04 10:45:00,0.412
2023-01-04 11:00:00,0.408
2023-01-04 11:15:00,0.414
2023-01-04 11:30:00,0.417
2023-01-04 11:45:00,0.417
2023-01-04 12:00:00,0.418
2023-01-04 12:15:00,0.420
2023-01-04 12:30:00,0.418
2023-01-04 12:45:00,0.414
2023-01-04 13:00:00,0.428
2023-01-04 13:15:00,0.428
2023-01-04 13:30:00,0.427
2023-01-04 13:45:00,0.430
2023-01-04 14:00:00,0.432
2023-01-04 14:15:00,0.432
2023-01-04 14:30:00,0.432
2023-01-04 14:45:00,0.433
2023-01-04 15:00:00,0.434
2023-01-04 15:15:00,0.438
2023-01-04 15:30:00,0.436
2023-01-04 15:45:00,0.432
2023-01-04 16:00:00,0.446
2023-01-04 16:15:00,0.444
2023-01-04 16:30:00,0.441
2023-01-04 16:45:00,0.443
2023-01-04 17:00:00,0.442
2023-01-04 17:15:00,0.444
2023-01-04 17:30:00,0.446
2023-01-04 17:45:00,0.433
2023-01-04 18:00:00,0.444
2023-01-04 18:15:00,0.447
2023-01-04 18:30:00,0.448
2023-01-04 18:45:00,0.447
2023-01-04 19:00:00,0.438
2023-01-04 19:15:00,0.438
2023-01-04 19:30:00,0.442
2023-01-04 19:45:00,0.448
2023-01-04 20:00:00,0.453
2023-01-04 20:15:00,0.450
