sep=,
"Time","send localhost:9100","receive localhost:9100"
2023-01-03 21:40:00,,
2023-01-03 22:05:00,,
2023-01-03 22:30:00,,
2023-01-03 22:55:00,,
2023-01-03 23:20:00,,
2023-01-03 23:45:00,,
2023-01-04 00:10:00,,
2023-01-04 00:35:00,,
2023-01-04 01:00:00,,
2023-01-04 01:25:00,,
2023-01-04 01:50:00,,
2023-01-04 02:15:00,,
2023-01-04 02:40:00,,
2023-01-04 03:05:00,,
2023-01-04 03:30:00,,
2023-01-04 03:55:00,,
2023-01-04 04:20:00,,
2023-01-04 04:45:00,,
2023-01-04 05:10:00,77255,72889
2023-01-04 05:35:00,200305,186974
2023-01-04 06:00:00,226649,209074
2023-01-04 06:25:00,187508,174403
2023-01-04 06:50:00,221197,204401
2023-01-04 07:15:00,231344,212909
2023-01-04 07:40:00,238226,218752
2023-01-04 08:05:00,240465,220561
2023-01-04 08:30:00,236857,217528
2023-01-04 08:55:00,188313,147427
2023-01-04 09:20:00,169919,127290
2023-01-04 09:45:00,165638,125212
2023-01-04 10:10:00,162695,123998
2023-01-04 10:35:00,160121,122591
2023-01-04 11:00:00,157923,121305
2023-01-04 11:25:00,156987,121149
2023-01-04 11:50:00,155602,120630
2023-01-04 12:15:00,155083,120582
2023-01-04 12:40:00,154397,120485
2023-01-04 13:05:00,154514,120252
2023-01-04 13:30:00,155768,121405
2023-01-04 13:55:00,154499,120281
2023-01-04 14:20:00,154456,120467
2023-01-04 14:45:00,152852,119576
2023-01-04 15:10:00,153169,120006
2023-01-04 15:35:00,152656,119791
2023-01-04 16:00:00,152228,119488
2023-01-04 16:25:00,151997,119476
2023-01-04 16:50:00,151150,119128
2023-01-04 17:15:00,150897,118973
2023-01-04 17:40:00,150761,119565
2023-01-04 18:05:00,149762,118941
2023-01-04 18:30:00,149479,118815
2023-01-04 18:55:00,148995,118979
2023-01-04 19:20:00,149001,119104
2023-01-04 19:45:00,147579,117964
2023-01-04 20:10:00,148598,119048
2023-01-04 20:35:00,147434,117947
2023-01-04 21:00:00,147264,117926
2023-01-04 21:25:00,147102,117903
2023-01-04 21:50:00,146499,117725
2023-01-04 22:15:00,146635,117803
2023-01-04 22:40:00,146570,118152
2023-01-04 23:05:00,146344,117611
2023-01-04 23:30:00,145640,117413
2023-01-04 23:55:00,146286,117864
2023-01-05 00:20:00,145964,118101
2023-01-05 00:45:00,145063,117469
2023-01-05 01:10:00,145062,117626
2023-01-05 01:35:00,145329,117871
2023-01-05 02:00:00,145441,118206
2023-01-05 02:25:00,144899,117826
2023-01-05 02:50:00,144765,117708
2023-01-05 03:15:00,144968,117848
2023-01-05 03:40:00,143787,117317
2023-01-05 04:05:00,144637,117928
2023-01-05 04:30:00,144070,117274
2023-01-05 04:55:00,143730,117476
2023-01-05 05:20:00,143473,117220
2023-01-05 05:45:00,144120,117609
2023-01-05 06:10:00,144529,117930
2023-01-05 06:35:00,143654,117514
2023-01-05 07:00:00,142694,116818
2023-01-05 07:25:00,144369,118281
2023-01-05 07:50:00,143724,117319
2023-01-05 08:15:00,142148,117023
2023-01-05 08:40:00,143882,118116
2023-01-05 09:05:00,142649,116915
2023-01-05 09:30:00,142054,116676
2023-01-05 09:55:00,141740,116517
2023-01-05 10:20:00,141767,116588
2023-01-05 10:45:00,141716,116466
2023-01-05 11:10:00,141311,116363
2023-01-05 11:35:00,141214,116491
2023-01-05 12:00:00,140283,116049
2023-01-05 12:25:00,140018,115768
2023-01-05 12:50:00,140595,116057
2023-01-05 13:15:00,140025,115772
2023-01-05 13:40:00,140978,116234
2023-01-05 14:05:00,140398,116075
2023-01-05 14:30:00,110676,99156
2023-01-05 14:55:00,84193,84193
2023-01-05 15:20:00,84211,84211
2023-01-05 15:45:00,84183,84183
2023-01-05 16:10:00,84271,84271
2023-01-05 16:35:00,84147,84147
2023-01-05 17:00:00,84196,84199
2023-01-05 17:25:00,84223,84223
2023-01-05 17:50:00,84142,84142
2023-01-05 18:15:00,84199,84199
2023-01-05 18:40:00,84233,84233
2023-01-05 19:05:00,84210,84210
2023-01-05 19:30:00,84133,84133
2023-01-05 19:55:00,84184,84184
2023-01-05 20:20:00,84156,84156
2023-01-05 20:45:00,84139,84139
2023-01-05 21:10:00,84221,84221
2023-01-05 21:35:00,84113,84113
2023-01-05 22:00:00,84374,84352

