sep=,
"Time","gitlab-workhorse"
2023-01-03 22:00:00,
2023-01-03 22:15:00,
2023-01-03 22:30:00,
2023-01-03 22:45:00,
2023-01-03 23:00:00,
2023-01-03 23:15:00,
2023-01-03 23:30:00,
2023-01-03 23:45:00,
2023-01-04 00:00:00,
2023-01-04 00:15:00,
2023-01-04 00:30:00,
2023-01-04 00:45:00,
2023-01-04 01:00:00,
2023-01-04 01:15:00,
2023-01-04 01:30:00,
2023-01-04 01:45:00,
2023-01-04 02:00:00,
2023-01-04 02:15:00,
2023-01-04 02:30:00,
2023-01-04 02:45:00,
2023-01-04 03:00:00,
2023-01-04 03:15:00,
2023-01-04 03:30:00,
2023-01-04 03:45:00,
2023-01-04 04:00:00,
2023-01-04 04:15:00,
2023-01-04 04:30:00,
2023-01-04 04:45:00,
2023-01-04 05:00:00,0.0889
2023-01-04 05:15:00,7.14
2023-01-04 05:30:00,9.99
2023-01-04 05:45:00,13.5
2023-01-04 06:00:00,11.4
2023-01-04 06:15:00,8.67
2023-01-04 06:30:00,10.1
2023-01-04 06:45:00,10.9
2023-01-04 07:00:00,12.1
2023-01-04 07:15:00,11.7
2023-01-04 07:30:00,12.5
2023-01-04 07:45:00,12.9
2023-01-04 08:00:00,12.9
2023-01-04 08:15:00,13.0
2023-01-04 08:30:00,12.7
2023-01-04 08:45:00,24.6
2023-01-04 09:00:00,30.1
2023-01-04 09:15:00,28.9
2023-01-04 09:30:00,27.9
2023-01-04 09:45:00,26.9
2023-01-04 10:00:00,26.1
2023-01-04 10:15:00,25.8
2023-01-04 10:30:00,25.2
2023-01-04 10:45:00,24.7
2023-01-04 11:00:00,24.4
2023-01-04 11:15:00,24.0
2023-01-04 11:30:00,23.7
2023-01-04 11:45:00,23.4
2023-01-04 12:00:00,23.1
2023-01-04 12:15:00,22.8
2023-01-04 12:30:00,22.6
2023-01-04 12:45:00,21.4
2023-01-04 13:00:00,23.2
2023-01-04 13:15:00,22.9
2023-01-04 13:30:00,22.6
2023-01-04 13:45:00,22.6
2023-01-04 14:00:00,22.6
2023-01-04 14:15:00,22.5
2023-01-04 14:30:00,22.2
2023-01-04 14:45:00,22.1
2023-01-04 15:00:00,21.8
2023-01-04 15:15:00,22.0
2023-01-04 15:30:00,21.7
2023-01-04 15:45:00,21.4
2023-01-04 16:00:00,21.6
2023-01-04 16:15:00,21.4
2023-01-04 16:30:00,21.1
2023-01-04 16:45:00,21.1
2023-01-04 17:00:00,20.8
2023-01-04 17:15:00,21.0
2023-01-04 17:30:00,20.7
2023-01-04 17:45:00,20.0
2023-01-04 18:00:00,19.9
2023-01-04 18:15:00,20.4
2023-01-04 18:30:00,20.1
2023-01-04 18:45:00,19.5
2023-01-04 19:00:00,19.6
2023-01-04 19:15:00,19.5
2023-01-04 19:30:00,19.2
2023-01-04 19:45:00,19.3
2023-01-04 20:00:00,19.3
