sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-12-22 10:15:00,,,,,,,,,
2022-12-22 10:30:00,,,,,,,,,
2022-12-22 10:45:00,,,,,,,,,
2022-12-22 11:00:00,,,,,,,,,
2022-12-22 11:15:00,,,,,,,,,
2022-12-22 11:30:00,,,,,,,,,
2022-12-22 11:45:00,,,,,,,,,
2022-12-22 12:00:00,,,,,,,,,
2022-12-22 12:15:00,,,,,,,,,
2022-12-22 12:30:00,,,,,,,,,
2022-12-22 12:45:00,,,,,,,,,
2022-12-22 13:00:00,,,,,,,,,
2022-12-22 13:15:00,,,,,,,,,
2022-12-22 13:30:00,,,,,,,,,
2022-12-22 13:45:00,,,,,,,,,
2022-12-22 14:00:00,,,,,,,,,
2022-12-22 14:15:00,,,,,,,,,
2022-12-22 14:30:00,,,,,,,,,
2022-12-22 14:45:00,,,,,,,,,
2022-12-22 15:00:00,,,,,,,,,
2022-12-22 15:15:00,,,,,,,,,
2022-12-22 15:30:00,,,,,,,,,
2022-12-22 15:45:00,,,,,,,,,
2022-12-22 16:00:00,,,,,,,,,
2022-12-22 16:15:00,,,,,,,,,
2022-12-22 16:30:00,,,,,,,,,
2022-12-22 16:45:00,,,,,,,,,
2022-12-22 17:00:00,,,,,,,,,
2022-12-22 17:15:00,,,,,,,,,
2022-12-22 17:30:00,,,,,,,,,
2022-12-22 17:45:00,,,,,,,,,
2022-12-22 18:00:00,,,,,,,,,
2022-12-22 18:15:00,,,,,,,,,
2022-12-22 18:30:00,,,,,,,,,
2022-12-22 18:45:00,,,,,,,,,
2022-12-22 19:00:00,,,,,,,,,
2022-12-22 19:15:00,,,,,,,,,
2022-12-22 19:30:00,,,,,,,,,
2022-12-22 19:45:00,,,,,,,,,
2022-12-22 20:00:00,,,,,,,,,
2022-12-22 20:15:00,,,,,,,,,
2022-12-22 20:30:00,,,,,,,,,
2022-12-22 20:45:00,,,,,,,,,
2022-12-22 21:00:00,,,,,,,,,
2022-12-22 21:15:00,,,,,,,,,
2022-12-22 21:30:00,,,,,,,,,
2022-12-22 21:45:00,,,,,,,,,
2022-12-22 22:00:00,,,,,,,,,
2022-12-22 22:15:00,,,,,,,,,
2022-12-22 22:30:00,,,,,,,,,
2022-12-22 22:45:00,,,,,,,,,
2022-12-22 23:00:00,,,,,,,,,
2022-12-22 23:15:00,,,,,,,,,
2022-12-22 23:30:00,,,,,,,,,
2022-12-22 23:45:00,,,,,,,,,
2022-12-23 00:00:00,,,,,,,,,
2022-12-23 00:15:00,,,,,,,,,
2022-12-23 00:30:00,0.200,0.398,0.327,0.656,0.00133,0.00202,0.00770,0.398,0.0246
2022-12-23 00:45:00,0.211,0.614,0.331,0.714,0.0301,0.00288,0.00910,0.614,0.0198
2022-12-23 01:00:00,0.125,0.591,0.336,0.718,0.0309,0.00352,0.00960,0.591,0.0214
2022-12-23 01:15:00,0.152,0.712,0.345,0.728,0.0331,0.00386,0.00960,0.712,0.0265
2022-12-23 01:30:00,0.119,0.663,0.351,0.733,0.0331,0.00522,0.0107,0.663,0.0230
2022-12-23 01:45:00,0.172,0.490,0.356,0.727,0.0171,0.00454,0.00960,0.490,0.0245
2022-12-23 02:00:00,0.115,0.555,0.360,0.715,0.0159,0.00452,0.00910,0.555,0.0288
2022-12-23 02:15:00,0.273,0.538,0.366,0.726,0.0175,0.00472,0.0101,0.538,0.0273
