sep=,
"Time","postgres service"
2022-12-05 19:51:00,
2022-12-05 19:54:00,
2022-12-05 19:57:00,
2022-12-05 20:00:00,
2022-12-05 20:03:00,
2022-12-05 20:06:00,
2022-12-05 20:09:00,
2022-12-05 20:12:00,
2022-12-05 20:15:00,
2022-12-05 20:18:00,
2022-12-05 20:21:00,
2022-12-05 20:24:00,
2022-12-05 20:27:00,
2022-12-05 20:30:00,
2022-12-05 20:33:00,
2022-12-05 20:36:00,
2022-12-05 20:39:00,
2022-12-05 20:42:00,
2022-12-05 20:45:00,
2022-12-05 20:48:00,
2022-12-05 20:51:00,
2022-12-05 20:54:00,
2022-12-05 20:57:00,
2022-12-05 21:00:00,
2022-12-05 21:03:00,
2022-12-05 21:06:00,
2022-12-05 21:09:00,
2022-12-05 21:12:00,
2022-12-05 21:15:00,
2022-12-05 21:18:00,
2022-12-05 21:21:00,
2022-12-05 21:24:00,
2022-12-05 21:27:00,
2022-12-05 21:30:00,
2022-12-05 21:33:00,
2022-12-05 21:36:00,
2022-12-05 21:39:00,
2022-12-05 21:42:00,
2022-12-05 21:45:00,
2022-12-05 21:48:00,
2022-12-05 21:51:00,
2022-12-05 21:54:00,
2022-12-05 21:57:00,
2022-12-05 22:00:00,
2022-12-05 22:03:00,
2022-12-05 22:06:00,
2022-12-05 22:09:00,
2022-12-05 22:12:00,
2022-12-05 22:15:00,
2022-12-05 22:18:00,
2022-12-05 22:21:00,
2022-12-05 22:24:00,
2022-12-05 22:27:00,
2022-12-05 22:30:00,
2022-12-05 22:33:00,
2022-12-05 22:36:00,
2022-12-05 22:39:00,
2022-12-05 22:42:00,
2022-12-05 22:45:00,
2022-12-05 22:48:00,
2022-12-05 22:51:00,
2022-12-05 22:54:00,
2022-12-05 22:57:00,
2022-12-05 23:00:00,
2022-12-05 23:03:00,
2022-12-05 23:06:00,
2022-12-05 23:09:00,
2022-12-05 23:12:00,
2022-12-05 23:15:00,
2022-12-05 23:18:00,
2022-12-05 23:21:00,
2022-12-05 23:24:00,
2022-12-05 23:27:00,
2022-12-05 23:30:00,
2022-12-05 23:33:00,
2022-12-05 23:36:00,
2022-12-05 23:39:00,
2022-12-05 23:42:00,
2022-12-05 23:45:00,
2022-12-05 23:48:00,
2022-12-05 23:51:00,
2022-12-05 23:54:00,
2022-12-05 23:57:00,
2022-12-06 00:00:00,
2022-12-06 00:03:00,
2022-12-06 00:06:00,
2022-12-06 00:09:00,
2022-12-06 00:12:00,
2022-12-06 00:15:00,
2022-12-06 00:18:00,
2022-12-06 00:21:00,
2022-12-06 00:24:00,
2022-12-06 00:27:00,
2022-12-06 00:30:00,
2022-12-06 00:33:00,
2022-12-06 00:36:00,
2022-12-06 00:39:00,
2022-12-06 00:42:00,
2022-12-06 00:45:00,
2022-12-06 00:48:00,
2022-12-06 00:51:00,
2022-12-06 00:54:00,
2022-12-06 00:57:00,
2022-12-06 01:00:00,
2022-12-06 01:03:00,
2022-12-06 01:06:00,
2022-12-06 01:09:00,
2022-12-06 01:12:00,
2022-12-06 01:15:00,
2022-12-06 01:18:00,
2022-12-06 01:21:00,
2022-12-06 01:24:00,
2022-12-06 01:27:00,
2022-12-06 01:30:00,
2022-12-06 01:33:00,
2022-12-06 01:36:00,
2022-12-06 01:39:00,
2022-12-06 01:42:00,
2022-12-06 01:45:00,
2022-12-06 01:48:00,
2022-12-06 01:51:00,
2022-12-06 01:54:00,
2022-12-06 01:57:00,
2022-12-06 02:00:00,
2022-12-06 02:03:00,
2022-12-06 02:06:00,
2022-12-06 02:09:00,
2022-12-06 02:12:00,
2022-12-06 02:15:00,
2022-12-06 02:18:00,
2022-12-06 02:21:00,
2022-12-06 02:24:00,
2022-12-06 02:27:00,
2022-12-06 02:30:00,
2022-12-06 02:33:00,
2022-12-06 02:36:00,
2022-12-06 02:39:00,
2022-12-06 02:42:00,
2022-12-06 02:45:00,
2022-12-06 02:48:00,
2022-12-06 02:51:00,
2022-12-06 02:54:00,
2022-12-06 02:57:00,
2022-12-06 03:00:00,
2022-12-06 03:03:00,
2022-12-06 03:06:00,
2022-12-06 03:09:00,
2022-12-06 03:12:00,
2022-12-06 03:15:00,
2022-12-06 03:18:00,
2022-12-06 03:21:00,
2022-12-06 03:24:00,
2022-12-06 03:27:00,
2022-12-06 03:30:00,0
2022-12-06 03:33:00,0
2022-12-06 03:36:00,0
2022-12-06 03:39:00,0
2022-12-06 03:42:00,0
2022-12-06 03:45:00,0.000219
2022-12-06 03:48:00,0
2022-12-06 03:51:00,0
2022-12-06 03:54:00,0
2022-12-06 03:57:00,0
2022-12-06 04:00:00,0
2022-12-06 04:03:00,0
2022-12-06 04:06:00,0
2022-12-06 04:09:00,0
2022-12-06 04:12:00,0
2022-12-06 04:15:00,0
2022-12-06 04:18:00,0
2022-12-06 04:21:00,0
2022-12-06 04:24:00,0
2022-12-06 04:27:00,0
2022-12-06 04:30:00,0
2022-12-06 04:33:00,0
2022-12-06 04:36:00,0
2022-12-06 04:39:00,0
2022-12-06 04:42:00,0
2022-12-06 04:45:00,0
2022-12-06 04:48:00,0
2022-12-06 04:51:00,0
2022-12-06 04:54:00,0
2022-12-06 04:57:00,0
2022-12-06 05:00:00,0
2022-12-06 05:03:00,0
2022-12-06 05:06:00,0
2022-12-06 05:09:00,0
2022-12-06 05:12:00,0
2022-12-06 05:15:00,0
2022-12-06 05:18:00,0
2022-12-06 05:21:00,0
2022-12-06 05:24:00,0
2022-12-06 05:27:00,0
2022-12-06 05:30:00,0
2022-12-06 05:33:00,0
2022-12-06 05:36:00,0
2022-12-06 05:39:00,0
2022-12-06 05:42:00,0
2022-12-06 05:45:00,0
2022-12-06 05:48:00,0
2022-12-06 05:51:00,0
2022-12-06 05:54:00,0
2022-12-06 05:57:00,0
2022-12-06 06:00:00,0
2022-12-06 06:03:00,0
2022-12-06 06:06:00,0
2022-12-06 06:09:00,0
2022-12-06 06:12:00,0
2022-12-06 06:15:00,0
2022-12-06 06:18:00,0
