sep=,
"Time","send localhost:9100","receive localhost:9100"
2022-12-05 19:55:00,,
2022-12-05 20:00:00,,
2022-12-05 20:05:00,,
2022-12-05 20:10:00,,
2022-12-05 20:15:00,,
2022-12-05 20:20:00,,
2022-12-05 20:25:00,,
2022-12-05 20:30:00,,
2022-12-05 20:35:00,,
2022-12-05 20:40:00,,
2022-12-05 20:45:00,,
2022-12-05 20:50:00,,
2022-12-05 20:55:00,,
2022-12-05 21:00:00,,
2022-12-05 21:05:00,,
2022-12-05 21:10:00,,
2022-12-05 21:15:00,,
2022-12-05 21:20:00,,
2022-12-05 21:25:00,,
2022-12-05 21:30:00,,
2022-12-05 21:35:00,,
2022-12-05 21:40:00,,
2022-12-05 21:45:00,,
2022-12-05 21:50:00,,
2022-12-05 21:55:00,,
2022-12-05 22:00:00,,
2022-12-05 22:05:00,,
2022-12-05 22:10:00,,
2022-12-05 22:15:00,,
2022-12-05 22:20:00,,
2022-12-05 22:25:00,,
2022-12-05 22:30:00,,
2022-12-05 22:35:00,,
2022-12-05 22:40:00,,
2022-12-05 22:45:00,,
2022-12-05 22:50:00,,
2022-12-05 22:55:00,,
2022-12-05 23:00:00,,
2022-12-05 23:05:00,,
2022-12-05 23:10:00,,
2022-12-05 23:15:00,,
2022-12-05 23:20:00,,
2022-12-05 23:25:00,,
2022-12-05 23:30:00,,
2022-12-05 23:35:00,,
2022-12-05 23:40:00,,
2022-12-05 23:45:00,,
2022-12-05 23:50:00,,
2022-12-05 23:55:00,,
2022-12-06 00:00:00,,
2022-12-06 00:05:00,,
2022-12-06 00:10:00,,
2022-12-06 00:15:00,,
2022-12-06 00:20:00,,
2022-12-06 00:25:00,,
2022-12-06 00:30:00,,
2022-12-06 00:35:00,,
2022-12-06 00:40:00,,
2022-12-06 00:45:00,,
2022-12-06 00:50:00,,
2022-12-06 00:55:00,,
2022-12-06 01:00:00,,
2022-12-06 01:05:00,,
2022-12-06 01:10:00,,
2022-12-06 01:15:00,,
2022-12-06 01:20:00,,
2022-12-06 01:25:00,,
2022-12-06 01:30:00,,
2022-12-06 01:35:00,,
2022-12-06 01:40:00,,
2022-12-06 01:45:00,,
2022-12-06 01:50:00,,
2022-12-06 01:55:00,,
2022-12-06 02:00:00,,
2022-12-06 02:05:00,,
2022-12-06 02:10:00,,
2022-12-06 02:15:00,,
2022-12-06 02:20:00,,
2022-12-06 02:25:00,,
2022-12-06 02:30:00,,
2022-12-06 02:35:00,,
2022-12-06 02:40:00,,
2022-12-06 02:45:00,,
2022-12-06 02:50:00,,
2022-12-06 02:55:00,,
2022-12-06 03:00:00,,
2022-12-06 03:05:00,,
2022-12-06 03:10:00,,
2022-12-06 03:15:00,,
2022-12-06 03:20:00,,
2022-12-06 03:25:00,,
2022-12-06 03:30:00,45540,45542
2022-12-06 03:35:00,66891,66244
2022-12-06 03:40:00,78862,68882
2022-12-06 03:45:00,95580,93479
2022-12-06 03:50:00,122629,117257
2022-12-06 03:55:00,126515,120603
2022-12-06 04:00:00,133472,126550
2022-12-06 04:05:00,136423,129964
2022-12-06 04:10:00,147868,140131
2022-12-06 04:15:00,123708,118025
2022-12-06 04:20:00,137350,131371
2022-12-06 04:25:00,132449,126515
2022-12-06 04:30:00,126958,121258
2022-12-06 04:35:00,155424,147413
2022-12-06 04:40:00,152343,144222
2022-12-06 04:45:00,153544,145591
2022-12-06 04:50:00,167092,158428
2022-12-06 04:55:00,163454,154658
2022-12-06 05:00:00,147343,139572
2022-12-06 05:05:00,157420,149459
2022-12-06 05:10:00,146668,139676
2022-12-06 05:15:00,153216,145804
2022-12-06 05:20:00,154564,147106
2022-12-06 05:25:00,147186,139797
2022-12-06 05:30:00,181747,169873
2022-12-06 05:35:00,171183,160142
2022-12-06 05:40:00,200806,185861
2022-12-06 05:45:00,189785,175637
2022-12-06 05:50:00,186606,173386
2022-12-06 05:55:00,225073,206891
2022-12-06 06:00:00,161823,152361
2022-12-06 06:05:00,127823,122004
2022-12-06 06:10:00,168033,157922
2022-12-06 06:15:00,177608,165711
2022-12-06 06:20:00,185307,173001
2022-12-06 06:25:00,157028,147690
2022-12-06 06:30:00,171240,160298
2022-12-06 06:35:00,228324,211079
2022-12-06 06:40:00,210174,195281
2022-12-06 06:45:00,192858,179143
2022-12-06 06:50:00,189697,176978
2022-12-06 06:55:00,221276,206097
2022-12-06 07:00:00,188777,177697
2022-12-06 07:05:00,151069,142798
2022-12-06 07:10:00,147302,139763
2022-12-06 07:15:00,146646,138793
2022-12-06 07:20:00,170013,159916
2022-12-06 07:25:00,184387,172389
2022-12-06 07:30:00,185953,173803
2022-12-06 07:35:00,203387,190059
2022-12-06 07:40:00,165367,156318
2022-12-06 07:45:00,132541,126494
2022-12-06 07:50:00,134902,128424
2022-12-06 07:55:00,160961,151473
2022-12-06 08:00:00,167159,156528
2022-12-06 08:05:00,181073,168942
2022-12-06 08:10:00,157619,148006
2022-12-06 08:15:00,205200,190235
2022-12-06 08:20:00,187765,175575
2022-12-06 08:25:00,184437,172536
2022-12-06 08:30:00,204053,190154
2022-12-06 08:35:00,204836,191555
2022-12-06 08:40:00,213111,200430
2022-12-06 08:45:00,211726,199899
