sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-12-05 19:51:00,,,,,,,,,
2022-12-05 19:54:00,,,,,,,,,
2022-12-05 19:57:00,,,,,,,,,
2022-12-05 20:00:00,,,,,,,,,
2022-12-05 20:03:00,,,,,,,,,
2022-12-05 20:06:00,,,,,,,,,
2022-12-05 20:09:00,,,,,,,,,
2022-12-05 20:12:00,,,,,,,,,
2022-12-05 20:15:00,,,,,,,,,
2022-12-05 20:18:00,,,,,,,,,
2022-12-05 20:21:00,,,,,,,,,
2022-12-05 20:24:00,,,,,,,,,
2022-12-05 20:27:00,,,,,,,,,
2022-12-05 20:30:00,,,,,,,,,
2022-12-05 20:33:00,,,,,,,,,
2022-12-05 20:36:00,,,,,,,,,
2022-12-05 20:39:00,,,,,,,,,
2022-12-05 20:42:00,,,,,,,,,
2022-12-05 20:45:00,,,,,,,,,
2022-12-05 20:48:00,,,,,,,,,
2022-12-05 20:51:00,,,,,,,,,
2022-12-05 20:54:00,,,,,,,,,
2022-12-05 20:57:00,,,,,,,,,
2022-12-05 21:00:00,,,,,,,,,
2022-12-05 21:03:00,,,,,,,,,
2022-12-05 21:06:00,,,,,,,,,
2022-12-05 21:09:00,,,,,,,,,
2022-12-05 21:12:00,,,,,,,,,
2022-12-05 21:15:00,,,,,,,,,
2022-12-05 21:18:00,,,,,,,,,
2022-12-05 21:21:00,,,,,,,,,
2022-12-05 21:24:00,,,,,,,,,
2022-12-05 21:27:00,,,,,,,,,
2022-12-05 21:30:00,,,,,,,,,
2022-12-05 21:33:00,,,,,,,,,
2022-12-05 21:36:00,,,,,,,,,
2022-12-05 21:39:00,,,,,,,,,
2022-12-05 21:42:00,,,,,,,,,
2022-12-05 21:45:00,,,,,,,,,
2022-12-05 21:48:00,,,,,,,,,
2022-12-05 21:51:00,,,,,,,,,
2022-12-05 21:54:00,,,,,,,,,
2022-12-05 21:57:00,,,,,,,,,
2022-12-05 22:00:00,,,,,,,,,
2022-12-05 22:03:00,,,,,,,,,
2022-12-05 22:06:00,,,,,,,,,
2022-12-05 22:09:00,,,,,,,,,
2022-12-05 22:12:00,,,,,,,,,
2022-12-05 22:15:00,,,,,,,,,
2022-12-05 22:18:00,,,,,,,,,
2022-12-05 22:21:00,,,,,,,,,
2022-12-05 22:24:00,,,,,,,,,
2022-12-05 22:27:00,,,,,,,,,
2022-12-05 22:30:00,,,,,,,,,
2022-12-05 22:33:00,,,,,,,,,
2022-12-05 22:36:00,,,,,,,,,
2022-12-05 22:39:00,,,,,,,,,
2022-12-05 22:42:00,,,,,,,,,
2022-12-05 22:45:00,,,,,,,,,
2022-12-05 22:48:00,,,,,,,,,
2022-12-05 22:51:00,,,,,,,,,
2022-12-05 22:54:00,,,,,,,,,
2022-12-05 22:57:00,,,,,,,,,
2022-12-05 23:00:00,,,,,,,,,
2022-12-05 23:03:00,,,,,,,,,
2022-12-05 23:06:00,,,,,,,,,
2022-12-05 23:09:00,,,,,,,,,
2022-12-05 23:12:00,,,,,,,,,
2022-12-05 23:15:00,,,,,,,,,
2022-12-05 23:18:00,,,,,,,,,
2022-12-05 23:21:00,,,,,,,,,
2022-12-05 23:24:00,,,,,,,,,
2022-12-05 23:27:00,,,,,,,,,
2022-12-05 23:30:00,,,,,,,,,
2022-12-05 23:33:00,,,,,,,,,
2022-12-05 23:36:00,,,,,,,,,
2022-12-05 23:39:00,,,,,,,,,
2022-12-05 23:42:00,,,,,,,,,
2022-12-05 23:45:00,,,,,,,,,
2022-12-05 23:48:00,,,,,,,,,
2022-12-05 23:51:00,,,,,,,,,
2022-12-05 23:54:00,,,,,,,,,
2022-12-05 23:57:00,,,,,,,,,
2022-12-06 00:00:00,,,,,,,,,
2022-12-06 00:03:00,,,,,,,,,
2022-12-06 00:06:00,,,,,,,,,
2022-12-06 00:09:00,,,,,,,,,
2022-12-06 00:12:00,,,,,,,,,
2022-12-06 00:15:00,,,,,,,,,
2022-12-06 00:18:00,,,,,,,,,
2022-12-06 00:21:00,,,,,,,,,
2022-12-06 00:24:00,,,,,,,,,
2022-12-06 00:27:00,,,,,,,,,
2022-12-06 00:30:00,,,,,,,,,
2022-12-06 00:33:00,,,,,,,,,
2022-12-06 00:36:00,,,,,,,,,
2022-12-06 00:39:00,,,,,,,,,
2022-12-06 00:42:00,,,,,,,,,
2022-12-06 00:45:00,,,,,,,,,
2022-12-06 00:48:00,,,,,,,,,
2022-12-06 00:51:00,,,,,,,,,
2022-12-06 00:54:00,,,,,,,,,
2022-12-06 00:57:00,,,,,,,,,
2022-12-06 01:00:00,,,,,,,,,
2022-12-06 01:03:00,,,,,,,,,
2022-12-06 01:06:00,,,,,,,,,
2022-12-06 01:09:00,,,,,,,,,
2022-12-06 01:12:00,,,,,,,,,
2022-12-06 01:15:00,,,,,,,,,
2022-12-06 01:18:00,,,,,,,,,
2022-12-06 01:21:00,,,,,,,,,
2022-12-06 01:24:00,,,,,,,,,
2022-12-06 01:27:00,,,,,,,,,
2022-12-06 01:30:00,,,,,,,,,
2022-12-06 01:33:00,,,,,,,,,
2022-12-06 01:36:00,,,,,,,,,
2022-12-06 01:39:00,,,,,,,,,
2022-12-06 01:42:00,,,,,,,,,
2022-12-06 01:45:00,,,,,,,,,
2022-12-06 01:48:00,,,,,,,,,
2022-12-06 01:51:00,,,,,,,,,
2022-12-06 01:54:00,,,,,,,,,
2022-12-06 01:57:00,,,,,,,,,
2022-12-06 02:00:00,,,,,,,,,
2022-12-06 02:03:00,,,,,,,,,
2022-12-06 02:06:00,,,,,,,,,
2022-12-06 02:09:00,,,,,,,,,
2022-12-06 02:12:00,,,,,,,,,
2022-12-06 02:15:00,,,,,,,,,
2022-12-06 02:18:00,,,,,,,,,
2022-12-06 02:21:00,,,,,,,,,
2022-12-06 02:24:00,,,,,,,,,
2022-12-06 02:27:00,,,,,,,,,
2022-12-06 02:30:00,,,,,,,,,
2022-12-06 02:33:00,,,,,,,,,
2022-12-06 02:36:00,,,,,,,,,
2022-12-06 02:39:00,,,,,,,,,
2022-12-06 02:42:00,,,,,,,,,
2022-12-06 02:45:00,,,,,,,,,
2022-12-06 02:48:00,,,,,,,,,
2022-12-06 02:51:00,,,,,,,,,
2022-12-06 02:54:00,,,,,,,,,
2022-12-06 02:57:00,,,,,,,,,
2022-12-06 03:00:00,,,,,,,,,
2022-12-06 03:03:00,,,,,,,,,
2022-12-06 03:06:00,,,,,,,,,
2022-12-06 03:09:00,,,,,,,,,
2022-12-06 03:12:00,,,,,,,,,
2022-12-06 03:15:00,,,,,,,,,
2022-12-06 03:18:00,,,,,,,,,
2022-12-06 03:21:00,,,,,,,,,
2022-12-06 03:24:00,,,,,,,,,
2022-12-06 03:27:00,,,,,,,,,
2022-12-06 03:30:00,0.0833,0.451,0.675,0.595,0.00100,0.00188,0.00710,0.451,0.0213
2022-12-06 03:33:00,0.133,0.212,0.675,0.609,0.00100,0.00190,0.00620,0.212,0.0232
2022-12-06 03:36:00,0.0690,0.357,0.675,0.664,0.00100,0.00232,0.00770,0.357,0.0227
2022-12-06 03:39:00,0.0714,0.458,0.675,0.891,0.00127,0.00234,0.00760,0.458,0.0198
2022-12-06 03:42:00,0.143,0.169,0.675,0.679,0.00107,0.00234,0.00640,0.169,0.0274
2022-12-06 03:45:00,0.0909,0.395,0.676,0.823,0.0177,0.00224,0.00880,0.395,0.0286
2022-12-06 03:48:00,0.0909,0.345,0.677,0.822,0.0179,0.00248,0.00810,0.345,0.0160
2022-12-06 03:51:00,0.0645,0.231,0.677,0.823,0.0267,0.00248,0.00920,0.231,0.0157
2022-12-06 03:54:00,0.0667,0.254,0.678,0.829,0.0230,0.00284,0.00830,0.254,0.0158
2022-12-06 03:57:00,0.0909,0.452,0.679,0.826,0.0224,0.00318,0.00830,0.452,0.0201
2022-12-06 04:00:00,0.111,0.434,0.680,0.837,0.0149,0.00296,0.00850,0.434,0.0189
2022-12-06 04:03:00,0.0800,0.318,0.681,0.837,0.0233,0.00420,0.00990,0.318,0.0169
2022-12-06 04:06:00,0.0588,0.447,0.682,0.839,0.0167,0.00456,0.00870,0.447,0.0187
2022-12-06 04:09:00,0.158,0.443,0.683,0.831,0.0209,0.00348,0.00860,0.443,0.0188
2022-12-06 04:12:00,0.0952,0.487,0.684,0.831,0.0237,0.00290,0.00930,0.487,0.0204
2022-12-06 04:15:00,0.0952,0.336,0.685,0.830,0.0157,0.00326,0.00840,0.336,0.0198
