sep=,
"Time","gitlab-workhorse service","postgres service"
2022-12-22 00:06:00,,
2022-12-22 00:12:00,,
2022-12-22 00:18:00,,
2022-12-22 00:24:00,,
2022-12-22 00:30:00,,
2022-12-22 00:36:00,,
2022-12-22 00:42:00,,
2022-12-22 00:48:00,,
2022-12-22 00:54:00,,
2022-12-22 01:00:00,,
2022-12-22 01:06:00,,
2022-12-22 01:12:00,,
2022-12-22 01:18:00,,
2022-12-22 01:24:00,,
2022-12-22 01:30:00,,
2022-12-22 01:36:00,,
2022-12-22 01:42:00,,
2022-12-22 01:48:00,,
2022-12-22 01:54:00,,
2022-12-22 02:00:00,,
2022-12-22 02:06:00,,
2022-12-22 02:12:00,,
2022-12-22 02:18:00,,
2022-12-22 02:24:00,,
2022-12-22 02:30:00,,
2022-12-22 02:36:00,,
2022-12-22 02:42:00,,
2022-12-22 02:48:00,,
2022-12-22 02:54:00,,
2022-12-22 03:00:00,,
2022-12-22 03:06:00,,
2022-12-22 03:12:00,,
2022-12-22 03:18:00,,
2022-12-22 03:24:00,,
2022-12-22 03:30:00,,
2022-12-22 03:36:00,,
2022-12-22 03:42:00,,
2022-12-22 03:48:00,,
2022-12-22 03:54:00,,
2022-12-22 04:00:00,,
2022-12-22 04:06:00,,
2022-12-22 04:12:00,,
2022-12-22 04:18:00,,
2022-12-22 04:24:00,,
2022-12-22 04:30:00,,
2022-12-22 04:36:00,,
2022-12-22 04:42:00,,
2022-12-22 04:48:00,,
2022-12-22 04:54:00,,
2022-12-22 05:00:00,,0
2022-12-22 05:06:00,,0
2022-12-22 05:12:00,,0
2022-12-22 05:18:00,,0
2022-12-22 05:24:00,,0
2022-12-22 05:30:00,,0
2022-12-22 05:36:00,,0
2022-12-22 05:42:00,,0
2022-12-22 05:48:00,,0
2022-12-22 05:54:00,,0
2022-12-22 06:00:00,,0
2022-12-22 06:06:00,,0
2022-12-22 06:12:00,,0
2022-12-22 06:18:00,,0
2022-12-22 06:24:00,,0
2022-12-22 06:30:00,,0
2022-12-22 06:36:00,,0
2022-12-22 06:42:00,,0
2022-12-22 06:48:00,,0
2022-12-22 06:54:00,,0
2022-12-22 07:00:00,,0
2022-12-22 07:06:00,,0
2022-12-22 07:12:00,,0
2022-12-22 07:18:00,,0
2022-12-22 07:24:00,,0
2022-12-22 07:30:00,,0
2022-12-22 07:36:00,,0
2022-12-22 07:42:00,,0
2022-12-22 07:48:00,,0
2022-12-22 07:54:00,,0
2022-12-22 08:00:00,,0
2022-12-22 08:06:00,,0
2022-12-22 08:12:00,,0.000383
2022-12-22 08:18:00,,0
2022-12-22 08:24:00,,0
2022-12-22 08:30:00,,0.00157
2022-12-22 08:36:00,,0
2022-12-22 08:42:00,,0
2022-12-22 08:48:00,,0
2022-12-22 08:54:00,,0
2022-12-22 09:00:00,,0
2022-12-22 09:06:00,,0.000518
2022-12-22 09:12:00,,0
2022-12-22 09:18:00,,0.00178
2022-12-22 09:24:00,,0.000586
2022-12-22 09:30:00,,0.00272
2022-12-22 09:36:00,,0.00186
2022-12-22 09:42:00,,0.000710
2022-12-22 09:48:00,,0.00829
2022-12-22 09:54:00,,0.00329
2022-12-22 10:00:00,,0.00281
2022-12-22 10:06:00,,0.0107
2022-12-22 10:12:00,,0.00331
2022-12-22 10:18:00,,0
2022-12-22 10:24:00,,0
2022-12-22 10:30:00,,0.00457
2022-12-22 10:36:00,,0.000323
2022-12-22 10:42:00,,0.000519
2022-12-22 10:48:00,,0.00158
2022-12-22 10:54:00,,0.00406
2022-12-22 11:00:00,,0.00621
2022-12-22 11:06:00,,0.0140
2022-12-22 11:12:00,,0.00147
2022-12-22 11:18:00,,0.00179
2022-12-22 11:24:00,,0.0118
2022-12-22 11:30:00,,0.00210
2022-12-22 11:36:00,,0.00228
2022-12-22 11:42:00,,0.00284
2022-12-22 11:48:00,,0
2022-12-22 11:54:00,,0.000170
2022-12-22 12:00:00,,0.00287
2022-12-22 12:06:00,,0.00333
2022-12-22 12:12:00,,0.00880
2022-12-22 12:18:00,,0.00427
2022-12-22 12:24:00,,0.00416
2022-12-22 12:30:00,,0.00421
2022-12-22 12:36:00,,0.00499
2022-12-22 12:42:00,,0.00263
2022-12-22 12:48:00,,0.00464
2022-12-22 12:54:00,,0.00497
2022-12-22 13:00:00,,0.00484
2022-12-22 13:06:00,,0.00522
2022-12-22 13:12:00,,0.00550
2022-12-22 13:18:00,,0.00195
2022-12-22 13:24:00,,0.00284
2022-12-22 13:30:00,,0.0106
2022-12-22 13:36:00,,0.00166
2022-12-22 13:42:00,,0.00576
2022-12-22 13:48:00,,0.00643
2022-12-22 13:54:00,,0.00719
2022-12-22 14:00:00,,0.00676
2022-12-22 14:06:00,,0.00601
2022-12-22 14:12:00,,0.00779
2022-12-22 14:18:00,,0.00571
2022-12-22 14:24:00,,0.00777
2022-12-22 14:30:00,,0.00647
2022-12-22 14:36:00,,0.00628
2022-12-22 14:42:00,,0.0141
2022-12-22 14:48:00,,0.00705
2022-12-22 14:54:00,,0.00697
