sep=,
"Time","localhost:9100"
2022-12-09 21:40:00,
2022-12-09 23:20:00,
2022-12-10 01:00:00,
2022-12-10 02:40:00,
2022-12-10 04:20:00,
2022-12-10 06:00:00,
2022-12-10 07:40:00,
2022-12-10 09:20:00,
2022-12-10 11:00:00,
2022-12-10 12:40:00,
2022-12-10 14:20:00,
2022-12-10 16:00:00,
2022-12-10 17:40:00,
2022-12-10 19:20:00,
2022-12-10 21:00:00,
2022-12-10 22:40:00,
2022-12-11 00:20:00,
2022-12-11 02:00:00,
2022-12-11 03:40:00,
2022-12-11 05:20:00,
2022-12-11 07:00:00,
2022-12-11 08:40:00,
2022-12-11 10:20:00,
2022-12-11 12:00:00,
2022-12-11 13:40:00,
2022-12-11 15:20:00,
2022-12-11 17:00:00,
2022-12-11 18:40:00,
2022-12-11 20:20:00,
2022-12-11 22:00:00,
2022-12-11 23:40:00,
2022-12-12 01:20:00,
2022-12-12 03:00:00,
2022-12-12 04:40:00,
2022-12-12 06:20:00,
2022-12-12 08:00:00,
2022-12-12 09:40:00,
2022-12-12 11:20:00,
2022-12-12 13:00:00,
2022-12-12 14:40:00,
2022-12-12 16:20:00,
2022-12-12 18:00:00,
2022-12-12 19:40:00,
2022-12-12 21:20:00,
2022-12-12 23:00:00,
2022-12-13 00:40:00,
2022-12-13 02:20:00,
2022-12-13 04:00:00,
2022-12-13 05:40:00,
2022-12-13 07:20:00,
2022-12-13 09:00:00,
2022-12-13 10:40:00,
2022-12-13 12:20:00,
2022-12-13 14:00:00,
2022-12-13 15:40:00,
2022-12-13 17:20:00,
2022-12-13 19:00:00,
2022-12-13 20:40:00,
2022-12-13 22:20:00,
2022-12-14 00:00:00,
2022-12-14 01:40:00,
2022-12-14 03:20:00,
2022-12-14 05:00:00,
2022-12-14 06:40:00,
2022-12-14 08:20:00,0.882
2022-12-14 10:00:00,0.988
2022-12-14 11:40:00,0.984
2022-12-14 13:20:00,0.993
2022-12-14 15:00:00,0.981
2022-12-14 16:40:00,0.991
2022-12-14 18:20:00,0.995
2022-12-14 20:00:00,0.995
2022-12-14 21:40:00,0.993
2022-12-14 23:20:00,0.245
2022-12-15 01:00:00,0.534
2022-12-15 02:40:00,0.407
2022-12-15 04:20:00,0.396
2022-12-15 06:00:00,0.320
2022-12-15 07:40:00,0.344
2022-12-15 09:20:00,0.266
2022-12-15 11:00:00,0.182
2022-12-15 12:40:00,0.156
2022-12-15 14:20:00,0.158
2022-12-15 16:00:00,0.146
2022-12-15 17:40:00,0.138
2022-12-15 19:20:00,0.131
2022-12-15 21:00:00,0.126
2022-12-15 22:40:00,0.139
2022-12-16 00:20:00,0.130
2022-12-16 02:00:00,0.184
2022-12-16 03:40:00,0.163
2022-12-16 05:20:00,0.165
2022-12-16 07:00:00,0.153
2022-12-16 08:40:00,0.133
2022-12-16 10:20:00,0.102
2022-12-16 12:00:00,0.0413
2022-12-16 13:40:00,0.0414
2022-12-16 15:20:00,0.0413
2022-12-16 17:00:00,0.0414
2022-12-16 18:40:00,0.0413
2022-12-16 20:20:00,0.0415
2022-12-16 22:00:00,0.0414

