sep=,
"Time","send localhost:9100","receive localhost:9100"
2023-01-01 22:35:00,,
2023-01-01 23:00:00,,
2023-01-01 23:25:00,,
2023-01-01 23:50:00,,
2023-01-02 00:15:00,,
2023-01-02 00:40:00,,
2023-01-02 01:05:00,,
2023-01-02 01:30:00,,
2023-01-02 01:55:00,,
2023-01-02 02:20:00,,
2023-01-02 02:45:00,,
2023-01-02 03:10:00,,
2023-01-02 03:35:00,,
2023-01-02 04:00:00,,
2023-01-02 04:25:00,,
2023-01-02 04:50:00,,
2023-01-02 05:15:00,,
2023-01-02 05:40:00,,
2023-01-02 06:05:00,,
2023-01-02 06:30:00,,
2023-01-02 06:55:00,,
2023-01-02 07:20:00,,
2023-01-02 07:45:00,,
2023-01-02 08:10:00,,
2023-01-02 08:35:00,,
2023-01-02 09:00:00,,
2023-01-02 09:25:00,,
2023-01-02 09:50:00,,
2023-01-02 10:15:00,,
2023-01-02 10:40:00,,
2023-01-02 11:05:00,,
2023-01-02 11:30:00,,
2023-01-02 11:55:00,,
2023-01-02 12:20:00,,
2023-01-02 12:45:00,,
2023-01-02 13:10:00,,
2023-01-02 13:35:00,,
2023-01-02 14:00:00,,
2023-01-02 14:25:00,,
2023-01-02 14:50:00,,
2023-01-02 15:15:00,,
2023-01-02 15:40:00,,
2023-01-02 16:05:00,,
2023-01-02 16:30:00,,
2023-01-02 16:55:00,,
2023-01-02 17:20:00,,
2023-01-02 17:45:00,,
2023-01-02 18:10:00,,
2023-01-02 18:35:00,,
2023-01-02 19:00:00,,
2023-01-02 19:25:00,,
2023-01-02 19:50:00,,
2023-01-02 20:15:00,,
2023-01-02 20:40:00,,
2023-01-02 21:05:00,,
2023-01-02 21:30:00,,
2023-01-02 21:55:00,,
2023-01-02 22:20:00,,
2023-01-02 22:45:00,,
2023-01-02 23:10:00,,
2023-01-02 23:35:00,,
2023-01-03 00:00:00,,
2023-01-03 00:25:00,,
2023-01-03 00:50:00,,
2023-01-03 01:15:00,,
2023-01-03 01:40:00,,
2023-01-03 02:05:00,,
2023-01-03 02:30:00,,
2023-01-03 02:55:00,60407,58188
2023-01-03 03:20:00,189790,175710
2023-01-03 03:45:00,248519,230596
2023-01-03 04:10:00,208766,173003
2023-01-03 04:35:00,164767,120712
2023-01-03 05:00:00,161989,120080
2023-01-03 05:25:00,158435,118184
2023-01-03 05:50:00,158358,118144
2023-01-03 06:15:00,157638,118094
2023-01-03 06:40:00,155492,117186
2023-01-03 07:05:00,154073,116388
2023-01-03 07:30:00,153951,116262
2023-01-03 07:55:00,153331,116234
2023-01-03 08:20:00,152095,115762
2023-01-03 08:45:00,152255,115712
2023-01-03 09:10:00,151295,115679
2023-01-03 09:35:00,152448,116163
2023-01-03 10:00:00,150291,115100
2023-01-03 10:25:00,149745,115217
2023-01-03 10:50:00,149309,114805
2023-01-03 11:15:00,148860,114582
2023-01-03 11:40:00,148910,114697
2023-01-03 12:05:00,146741,113831
2023-01-03 12:30:00,147213,114095
2023-01-03 12:55:00,107511,93239
2023-01-03 13:20:00,76927,76927
2023-01-03 13:45:00,76893,76893
2023-01-03 14:10:00,77177,77177
2023-01-03 14:35:00,77067,77067
2023-01-03 15:00:00,77381,77384
2023-01-03 15:25:00,77728,77728
2023-01-03 15:50:00,77573,77573
2023-01-03 16:15:00,77747,77747
2023-01-03 16:40:00,77690,77690
2023-01-03 17:05:00,77719,77719
2023-01-03 17:30:00,77709,77709
2023-01-03 17:55:00,77726,77726
2023-01-03 18:20:00,77713,77713
2023-01-03 18:45:00,77747,77747
2023-01-03 19:10:00,77831,77832
2023-01-03 19:35:00,77709,77709
2023-01-03 20:00:00,77718,77718
2023-01-03 20:25:00,77884,77884
2023-01-03 20:50:00,77856,77845
2023-01-03 21:15:00,77800,77801
2023-01-03 21:40:00,77780,77780
2023-01-03 22:05:00,77790,77790
2023-01-03 22:30:00,77686,77686
2023-01-03 22:55:00,77765,77765

