sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2023-01-01 22:45:00,,,,,,,,,
2023-01-01 23:00:00,,,,,,,,,
2023-01-01 23:15:00,,,,,,,,,
2023-01-01 23:30:00,,,,,,,,,
2023-01-01 23:45:00,,,,,,,,,
2023-01-02 00:00:00,,,,,,,,,
2023-01-02 00:15:00,,,,,,,,,
2023-01-02 00:30:00,,,,,,,,,
2023-01-02 00:45:00,,,,,,,,,
2023-01-02 01:00:00,,,,,,,,,
2023-01-02 01:15:00,,,,,,,,,
2023-01-02 01:30:00,,,,,,,,,
2023-01-02 01:45:00,,,,,,,,,
2023-01-02 02:00:00,,,,,,,,,
2023-01-02 02:15:00,,,,,,,,,
2023-01-02 02:30:00,,,,,,,,,
2023-01-02 02:45:00,,,,,,,,,
2023-01-02 03:00:00,,,,,,,,,
2023-01-02 03:15:00,,,,,,,,,
2023-01-02 03:30:00,,,,,,,,,
2023-01-02 03:45:00,,,,,,,,,
2023-01-02 04:00:00,,,,,,,,,
2023-01-02 04:15:00,,,,,,,,,
2023-01-02 04:30:00,,,,,,,,,
2023-01-02 04:45:00,,,,,,,,,
2023-01-02 05:00:00,,,,,,,,,
2023-01-02 05:15:00,,,,,,,,,
2023-01-02 05:30:00,,,,,,,,,
2023-01-02 05:45:00,,,,,,,,,
2023-01-02 06:00:00,,,,,,,,,
2023-01-02 06:15:00,,,,,,,,,
2023-01-02 06:30:00,,,,,,,,,
2023-01-02 06:45:00,,,,,,,,,
2023-01-02 07:00:00,,,,,,,,,
2023-01-02 07:15:00,,,,,,,,,
2023-01-02 07:30:00,,,,,,,,,
2023-01-02 07:45:00,,,,,,,,,
2023-01-02 08:00:00,,,,,,,,,
2023-01-02 08:15:00,,,,,,,,,
2023-01-02 08:30:00,,,,,,,,,
2023-01-02 08:45:00,,,,,,,,,
2023-01-02 09:00:00,,,,,,,,,
2023-01-02 09:15:00,,,,,,,,,
2023-01-02 09:30:00,,,,,,,,,
2023-01-02 09:45:00,,,,,,,,,
2023-01-02 10:00:00,,,,,,,,,
2023-01-02 10:15:00,,,,,,,,,
2023-01-02 10:30:00,,,,,,,,,
2023-01-02 10:45:00,,,,,,,,,
2023-01-02 11:00:00,,,,,,,,,
2023-01-02 11:15:00,,,,,,,,,
2023-01-02 11:30:00,,,,,,,,,
2023-01-02 11:45:00,,,,,,,,,
2023-01-02 12:00:00,,,,,,,,,
2023-01-02 12:15:00,,,,,,,,,
2023-01-02 12:30:00,,,,,,,,,
2023-01-02 12:45:00,,,,,,,,,
2023-01-02 13:00:00,,,,,,,,,
2023-01-02 13:15:00,,,,,,,,,
2023-01-02 13:30:00,,,,,,,,,
2023-01-02 13:45:00,,,,,,,,,
2023-01-02 14:00:00,,,,,,,,,
2023-01-02 14:15:00,,,,,,,,,
2023-01-02 14:30:00,,,,,,,,,
2023-01-02 14:45:00,,,,,,,,,
2023-01-02 15:00:00,,,,,,,,,
2023-01-02 15:15:00,,,,,,,,,
2023-01-02 15:30:00,,,,,,,,,
2023-01-02 15:45:00,,,,,,,,,
2023-01-02 16:00:00,,,,,,,,,
2023-01-02 16:15:00,,,,,,,,,
2023-01-02 16:30:00,,,,,,,,,
2023-01-02 16:45:00,,,,,,,,,
2023-01-02 17:00:00,,,,,,,,,
2023-01-02 17:15:00,,,,,,,,,
2023-01-02 17:30:00,,,,,,,,,
2023-01-02 17:45:00,,,,,,,,,
2023-01-02 18:00:00,,,,,,,,,
2023-01-02 18:15:00,,,,,,,,,
2023-01-02 18:30:00,,,,,,,,,
2023-01-02 18:45:00,,,,,,,,,
2023-01-02 19:00:00,,,,,,,,,
2023-01-02 19:15:00,,,,,,,,,
2023-01-02 19:30:00,,,,,,,,,
2023-01-02 19:45:00,,,,,,,,,
2023-01-02 20:00:00,,,,,,,,,
2023-01-02 20:15:00,,,,,,,,,
2023-01-02 20:30:00,,,,,,,,,
2023-01-02 20:45:00,,,,,,,,,
2023-01-02 21:00:00,,,,,,,,,
2023-01-02 21:15:00,,,,,,,,,
2023-01-02 21:30:00,,,,,,,,,
2023-01-02 21:45:00,,,,,,,,,
2023-01-02 22:00:00,,,,,,,,,
2023-01-02 22:15:00,,,,,,,,,
2023-01-02 22:30:00,,,,,,,,,
2023-01-02 22:45:00,,,,,,,,,
2023-01-02 23:00:00,,,,,,,,,
2023-01-02 23:15:00,,,,,,,,,
2023-01-02 23:30:00,,,,,,,,,
2023-01-02 23:45:00,,,,,,,,,
2023-01-03 00:00:00,,,,,,,,,
2023-01-03 00:15:00,,,,,,,,,
2023-01-03 00:30:00,,,,,,,,,
2023-01-03 00:45:00,,,,,,,,,
2023-01-03 01:00:00,,,,,,,,,
2023-01-03 01:15:00,,,,,,,,,
2023-01-03 01:30:00,,,,,,,,,
2023-01-03 01:45:00,,,,,,,,,
2023-01-03 02:00:00,,,,,,,,,
2023-01-03 02:15:00,,,,,,,,,
2023-01-03 02:30:00,,,,,,,,,
2023-01-03 02:45:00,0.200,0.627,0.338,0.663,0.00127,0.00188,0.00760,0.627,0.0190
2023-01-03 03:00:00,0.250,0.563,0.340,0.749,0.0277,0.00284,0.00910,0.563,0.0186
2023-01-03 03:15:00,0.143,0.663,0.346,0.741,0.0302,0.00326,0.00970,0.663,0.0190
2023-01-03 03:30:00,0.136,0.719,0.354,0.740,0.0321,0.00320,0.0100,0.719,0.0205
2023-01-03 03:45:00,0.190,0.714,0.363,0.741,0.0329,0.00444,0.0100,0.714,0.0277
2023-01-03 04:00:00,0.0833,0.675,0.370,0.745,0.0306,0.00504,0.0117,0.675,0.0243
2023-01-03 04:15:00,0.150,0.414,0.375,0.737,0.00147,0.00496,0.00860,0.414,0.0143
2023-01-03 04:30:00,0.214,0.415,0.379,0.724,0.00147,0.00336,0.00830,0.415,0.0130
2023-01-03 04:45:00,0.154,0.407,0.383,0.733,0.00147,0.00318,0.00810,0.407,0.0135
2023-01-03 05:00:00,0.167,0.404,0.387,0.725,0.00147,0.00318,0.00840,0.404,0.0125
2023-01-03 05:15:00,0.167,0.406,0.391,0.737,0.00147,0.00328,0.00770,0.406,0.0122
2023-01-03 05:30:00,0.167,0.408,0.395,0.764,0.00147,0.00320,0.00810,0.408,0.0122
2023-01-03 05:45:00,0.0909,0.414,0.399,0.771,0.00147,0.00332,0.00860,0.414,0.0121
2023-01-03 06:00:00,0.182,0.425,0.403,0.768,0.00153,0.00318,0.00800,0.425,0.0122
2023-01-03 06:15:00,0.167,0.421,0.406,0.768,0.00147,0.00326,0.00740,0.421,0.0126
2023-01-03 06:30:00,0.182,0.418,0.410,0.765,0.00147,0.00328,0.00840,0.418,0.0118
2023-01-03 06:45:00,0.182,0.424,0.414,0.765,0.00147,0.00322,0.00710,0.424,0.0119
2023-01-03 07:00:00,0.143,0.422,0.418,0.765,0.00147,0.00334,0.00850,0.422,0.0121
2023-01-03 07:15:00,0.167,0.426,0.421,0.765,0.00147,0.00322,0.00850,0.426,0.0118
2023-01-03 07:30:00,0.167,0.434,0.422,0.766,0.00147,0.00316,0.00820,0.434,0.0118
2023-01-03 07:45:00,0.167,0.430,0.424,0.769,0.00147,0.00320,0.00840,0.430,0.0121
2023-01-03 08:00:00,0.182,0.429,0.428,0.770,0.00147,0.00322,0.00850,0.429,0.0120
2023-01-03 08:15:00,0.167,0.431,0.431,0.767,0.00147,0.00346,0.00780,0.431,0.0118
2023-01-03 08:30:00,0.182,0.465,0.435,0.769,0.00147,0.00330,0.00820,0.465,0.0120
2023-01-03 08:45:00,0.167,0.437,0.439,0.767,0.00147,0.00318,0.00720,0.437,0.0120
2023-01-03 09:00:00,0.182,0.435,0.442,0.772,0.00147,0.00320,0.00830,0.435,0.0118
2023-01-03 09:15:00,0.182,0.442,0.446,0.769,0.00147,0.00330,0.00760,0.442,0.0117
2023-01-03 09:30:00,0.250,0.447,0.449,0.768,0.00147,0.00326,0.00840,0.447,0.0119
2023-01-03 09:45:00,0.154,0.444,0.453,0.765,0.00147,0.00322,0.00800,0.444,0.0118
2023-01-03 10:00:00,0.154,0.439,0.456,0.771,0.00147,0.00326,0.00840,0.439,0.0118
2023-01-03 10:15:00,0.167,0.443,0.459,0.769,0.00147,0.00350,0.00810,0.443,0.0120
2023-01-03 10:30:00,0.167,0.451,0.463,0.767,0.00147,0.00334,0.00810,0.451,0.0121
2023-01-03 10:45:00,0.167,0.449,0.466,0.769,0.00147,0.00332,0.00820,0.449,0.0120
2023-01-03 11:00:00,0.154,0.452,0.469,0.775,0.00147,0.00332,0.00830,0.452,0.0121
2023-01-03 11:15:00,0.182,0.453,0.470,0.775,0.00147,0.00330,0.00730,0.453,0.0117
2023-01-03 11:30:00,0.154,0.453,0.473,0.769,0.00147,0.00336,0.00830,0.453,0.0114
2023-01-03 11:45:00,0.167,0.461,0.477,0.769,0.00147,0.00328,0.00750,0.461,0.0115
2023-01-03 12:00:00,0.182,0.461,0.478,0.769,0.00147,0.00322,0.00810,0.461,0.0110
2023-01-03 12:15:00,0.167,0.456,0.479,0.771,0.00153,0.00312,0.00720,0.456,0.0114
2023-01-03 12:30:00,0.167,0.469,0.482,0.770,0.00147,0.00324,0.00780,0.469,0.0114
2023-01-03 12:45:00,0.182,0.458,0.485,0.774,0.00147,0.00326,0.00790,0.458,0.0209
2023-01-03 13:00:00,0.182,0.118,0.485,0.767,0.00147,0.00318,0.00790,0.118,0.0225
2023-01-03 13:15:00,0.182,0.119,0.485,0.775,0.00147,0.00326,0.00810,0.119,0.0197
2023-01-03 13:30:00,0.182,0.118,0.485,0.777,0.00147,0.00322,0.00790,0.118,0.0199
2023-01-03 13:45:00,0.182,0.115,0.486,0.782,0.00147,0.00324,0.00740,0.115,0.0219
2023-01-03 14:00:00,0.182,0.119,0.486,0.780,0.00147,0.00320,0.00770,0.119,0.0213
2023-01-03 14:15:00,0.182,0.118,0.486,0.783,0.00147,0.00324,0.00780,0.118,0.0196
2023-01-03 14:30:00,0.0909,0.117,0.486,0.784,0.00147,0.00330,0.00790,0.117,0.0210
2023-01-03 14:45:00,0.182,0.120,0.487,0.775,0.00147,0.00324,0.00700,0.120,0.0212
2023-01-03 15:00:00,0.182,0.121,0.487,0.765,0.00147,0.00322,0.00680,0.121,0.0200
2023-01-03 15:15:00,0.182,0.118,0.487,0.647,0.00120,0.00340,0.00770,0.118,0.0216
2023-01-03 15:30:00,0.182,0.118,0.485,0.660,0.00120,0.00324,0.00700,0.118,0.0210
2023-01-03 15:45:00,0.182,0.124,0.485,0.679,0.00120,0.00326,0.00690,0.124,0.0217
2023-01-03 16:00:00,0.182,0.116,0.486,0.685,0.00120,0.00328,0.00670,0.116,0.0213
2023-01-03 16:15:00,0.0909,0.117,0.486,0.691,0.00120,0.00340,0.00790,0.117,0.0208
2023-01-03 16:30:00,0.182,0.115,0.486,0.698,0.00120,0.00320,0.00660,0.115,0.0202
2023-01-03 16:45:00,0.182,0.118,0.486,0.694,0.00120,0.00330,0.00780,0.118,0.0198
2023-01-03 17:00:00,0.200,0.117,0.487,0.697,0.00120,0.00332,0.00800,0.117,0.0208
2023-01-03 17:15:00,0.0909,0.118,0.487,0.707,0.00120,0.00330,0.00720,0.118,0.0203
2023-01-03 17:30:00,0.182,0.116,0.487,0.705,0.00120,0.00330,0.00800,0.116,0.0212
2023-01-03 17:45:00,0.182,0.118,0.487,0.709,0.00120,0.00324,0.00780,0.118,0.0206
2023-01-03 18:00:00,0.182,0.116,0.487,0.705,0.00120,0.00326,0.00710,0.116,0.0211
2023-01-03 18:15:00,0.105,0.120,0.488,0.709,0.00120,0.00336,0.00740,0.120,0.0201
2023-01-03 18:30:00,0.182,0.118,0.488,0.697,0.00120,0.00326,0.00780,0.118,0.0208
2023-01-03 18:45:00,0.167,0.115,0.488,0.703,0.00120,0.00334,0.00780,0.115,0.0201
2023-01-03 19:00:00,0.167,0.114,0.488,0.706,0.00120,0.00326,0.00780,0.114,0.0205
2023-01-03 19:15:00,0.182,0.116,0.488,0.718,0.00120,0.00330,0.00770,0.116,0.0210
2023-01-03 19:30:00,0.182,0.118,0.486,0.713,0.00120,0.00328,0.00800,0.118,0.0210
2023-01-03 19:45:00,0.182,0.117,0.487,0.718,0.00120,0.00324,0.00730,0.117,0.0205
2023-01-03 20:00:00,0.182,0.117,0.487,0.718,0.00120,0.00318,0.00680,0.117,0.0211
2023-01-03 20:15:00,0.182,0.118,0.487,0.721,0.00120,0.00350,0.00730,0.118,0.0202
2023-01-03 20:30:00,0.182,0.117,0.487,0.706,0.00120,0.00326,0.00770,0.117,0.0206
2023-01-03 20:45:00,0.182,0.217,0.488,0.714,0.00127,0.00322,0.00760,0.217,0.0257
2023-01-03 21:00:00,0.182,0.164,0.488,0.714,0.00127,0.00328,0.00760,0.164,0.0285
2023-01-03 21:15:00,0.182,0.202,0.488,0.721,0.00120,0.00330,0.00770,0.202,0.0255
2023-01-03 21:30:00,0.182,0.168,0.488,0.712,0.00120,0.00326,0.00780,0.168,0.0286
2023-01-03 21:45:00,0.200,0.137,0.489,0.713,0.00120,0.00328,0.00700,0.137,0.0280
2023-01-03 22:00:00,0.182,0.135,0.489,0.718,0.00120,0.00322,0.00790,0.135,0.0251
2023-01-03 22:15:00,0.182,0.181,0.489,0.722,0.00120,0.00328,0.00680,0.181,0.0276
2023-01-03 22:30:00,0.182,0.142,0.489,0.727,0.00120,0.00328,0.00750,0.142,0.0280
