sep=,
"Time","postgres service"
2023-01-07 21:45:00,
2023-01-07 22:00:00,
2023-01-07 22:15:00,
2023-01-07 22:30:00,
2023-01-07 22:45:00,
2023-01-07 23:00:00,
2023-01-07 23:15:00,
2023-01-07 23:30:00,
2023-01-07 23:45:00,
2023-01-08 00:00:00,
2023-01-08 00:15:00,
2023-01-08 00:30:00,
2023-01-08 00:45:00,
2023-01-08 01:00:00,
2023-01-08 01:15:00,
2023-01-08 01:30:00,
2023-01-08 01:45:00,
2023-01-08 02:00:00,
2023-01-08 02:15:00,
2023-01-08 02:30:00,
2023-01-08 02:45:00,
2023-01-08 03:00:00,
2023-01-08 03:15:00,
2023-01-08 03:30:00,
2023-01-08 03:45:00,
2023-01-08 04:00:00,
2023-01-08 04:15:00,
2023-01-08 04:30:00,
2023-01-08 04:45:00,
2023-01-08 05:00:00,
2023-01-08 05:15:00,
2023-01-08 05:30:00,
2023-01-08 05:45:00,
2023-01-08 06:00:00,
2023-01-08 06:15:00,
2023-01-08 06:30:00,
2023-01-08 06:45:00,
2023-01-08 07:00:00,
2023-01-08 07:15:00,
2023-01-08 07:30:00,
2023-01-08 07:45:00,
2023-01-08 08:00:00,
2023-01-08 08:15:00,0
2023-01-08 08:30:00,0
2023-01-08 08:45:00,0
2023-01-08 09:00:00,0
2023-01-08 09:15:00,0
2023-01-08 09:30:00,0
2023-01-08 09:45:00,0
2023-01-08 10:00:00,0
2023-01-08 10:15:00,0.0000524
2023-01-08 10:30:00,0.0000513
2023-01-08 10:45:00,0.0000516
2023-01-08 11:00:00,0
2023-01-08 11:15:00,0.0000510
2023-01-08 11:30:00,0.0000512
2023-01-08 11:45:00,0.000120
2023-01-08 12:00:00,0.000166
2023-01-08 12:15:00,0.000169
2023-01-08 12:30:00,0.000262
2023-01-08 12:45:00,0.000439
2023-01-08 13:00:00,0.000453
2023-01-08 13:15:00,0.000425
2023-01-08 13:30:00,0.000426
2023-01-08 13:45:00,0.000761
2023-01-08 14:00:00,0.000611
2023-01-08 14:15:00,0.000734
2023-01-08 14:30:00,0.000673
2023-01-08 14:45:00,0.000682
2023-01-08 15:00:00,0.000795
2023-01-08 15:15:00,0.00111
2023-01-08 15:30:00,0.000958
2023-01-08 15:45:00,0.000978
2023-01-08 16:00:00,0.00120
2023-01-08 16:15:00,0.00105
2023-01-08 16:30:00,0.00121
2023-01-08 16:45:00,0.000961
