sep=,
"Time","localhost:8060"
2023-01-07 21:56:00,
2023-01-07 21:58:00,
2023-01-07 22:00:00,
2023-01-07 22:02:00,
2023-01-07 22:04:00,
2023-01-07 22:06:00,
2023-01-07 22:08:00,
2023-01-07 22:10:00,
2023-01-07 22:12:00,
2023-01-07 22:14:00,
2023-01-07 22:16:00,
2023-01-07 22:18:00,
2023-01-07 22:20:00,
2023-01-07 22:22:00,
2023-01-07 22:24:00,
2023-01-07 22:26:00,
2023-01-07 22:28:00,
2023-01-07 22:30:00,
2023-01-07 22:32:00,
2023-01-07 22:34:00,
2023-01-07 22:36:00,
2023-01-07 22:38:00,
2023-01-07 22:40:00,
2023-01-07 22:42:00,
2023-01-07 22:44:00,
2023-01-07 22:46:00,
2023-01-07 22:48:00,
2023-01-07 22:50:00,
2023-01-07 22:52:00,
2023-01-07 22:54:00,
2023-01-07 22:56:00,
2023-01-07 22:58:00,
2023-01-07 23:00:00,
2023-01-07 23:02:00,
2023-01-07 23:04:00,
2023-01-07 23:06:00,
2023-01-07 23:08:00,
2023-01-07 23:10:00,
2023-01-07 23:12:00,
2023-01-07 23:14:00,
2023-01-07 23:16:00,
2023-01-07 23:18:00,
2023-01-07 23:20:00,
2023-01-07 23:22:00,
2023-01-07 23:24:00,
2023-01-07 23:26:00,
2023-01-07 23:28:00,
2023-01-07 23:30:00,
2023-01-07 23:32:00,
2023-01-07 23:34:00,
2023-01-07 23:36:00,
2023-01-07 23:38:00,
2023-01-07 23:40:00,
2023-01-07 23:42:00,
2023-01-07 23:44:00,
2023-01-07 23:46:00,
2023-01-07 23:48:00,
2023-01-07 23:50:00,
2023-01-07 23:52:00,
2023-01-07 23:54:00,
2023-01-07 23:56:00,
2023-01-07 23:58:00,
2023-01-08 00:00:00,
2023-01-08 00:02:00,
2023-01-08 00:04:00,
2023-01-08 00:06:00,
2023-01-08 00:08:00,
2023-01-08 00:10:00,
2023-01-08 00:12:00,
2023-01-08 00:14:00,
2023-01-08 00:16:00,
2023-01-08 00:18:00,
2023-01-08 00:20:00,
2023-01-08 00:22:00,
2023-01-08 00:24:00,
2023-01-08 00:26:00,
2023-01-08 00:28:00,
2023-01-08 00:30:00,
2023-01-08 00:32:00,
2023-01-08 00:34:00,
2023-01-08 00:36:00,
2023-01-08 00:38:00,
2023-01-08 00:40:00,
2023-01-08 00:42:00,
2023-01-08 00:44:00,
2023-01-08 00:46:00,
2023-01-08 00:48:00,
2023-01-08 00:50:00,
2023-01-08 00:52:00,
2023-01-08 00:54:00,
2023-01-08 00:56:00,
2023-01-08 00:58:00,
2023-01-08 01:00:00,
2023-01-08 01:02:00,
2023-01-08 01:04:00,
2023-01-08 01:06:00,
2023-01-08 01:08:00,
2023-01-08 01:10:00,
2023-01-08 01:12:00,
2023-01-08 01:14:00,
2023-01-08 01:16:00,
2023-01-08 01:18:00,
2023-01-08 01:20:00,
2023-01-08 01:22:00,
2023-01-08 01:24:00,
2023-01-08 01:26:00,
2023-01-08 01:28:00,
2023-01-08 01:30:00,
2023-01-08 01:32:00,
2023-01-08 01:34:00,
2023-01-08 01:36:00,
2023-01-08 01:38:00,
2023-01-08 01:40:00,
2023-01-08 01:42:00,
2023-01-08 01:44:00,
2023-01-08 01:46:00,
2023-01-08 01:48:00,
2023-01-08 01:50:00,
2023-01-08 01:52:00,
2023-01-08 01:54:00,
2023-01-08 01:56:00,
2023-01-08 01:58:00,
2023-01-08 02:00:00,
2023-01-08 02:02:00,
2023-01-08 02:04:00,
2023-01-08 02:06:00,
2023-01-08 02:08:00,
2023-01-08 02:10:00,
2023-01-08 02:12:00,
2023-01-08 02:14:00,
2023-01-08 02:16:00,
2023-01-08 02:18:00,
2023-01-08 02:20:00,
2023-01-08 02:22:00,
2023-01-08 02:24:00,
2023-01-08 02:26:00,
2023-01-08 02:28:00,
2023-01-08 02:30:00,
2023-01-08 02:32:00,
2023-01-08 02:34:00,
2023-01-08 02:36:00,
2023-01-08 02:38:00,
2023-01-08 02:40:00,
2023-01-08 02:42:00,
2023-01-08 02:44:00,
2023-01-08 02:46:00,
2023-01-08 02:48:00,
2023-01-08 02:50:00,
2023-01-08 02:52:00,
2023-01-08 02:54:00,
2023-01-08 02:56:00,
2023-01-08 02:58:00,
2023-01-08 03:00:00,
2023-01-08 03:02:00,
2023-01-08 03:04:00,
2023-01-08 03:06:00,
2023-01-08 03:08:00,
2023-01-08 03:10:00,
2023-01-08 03:12:00,
2023-01-08 03:14:00,
2023-01-08 03:16:00,
2023-01-08 03:18:00,
2023-01-08 03:20:00,
2023-01-08 03:22:00,
2023-01-08 03:24:00,
2023-01-08 03:26:00,
2023-01-08 03:28:00,
2023-01-08 03:30:00,
2023-01-08 03:32:00,
2023-01-08 03:34:00,
2023-01-08 03:36:00,
2023-01-08 03:38:00,
2023-01-08 03:40:00,
2023-01-08 03:42:00,
2023-01-08 03:44:00,
2023-01-08 03:46:00,
2023-01-08 03:48:00,
2023-01-08 03:50:00,
2023-01-08 03:52:00,
2023-01-08 03:54:00,
2023-01-08 03:56:00,
2023-01-08 03:58:00,
2023-01-08 04:00:00,
2023-01-08 04:02:00,
2023-01-08 04:04:00,
2023-01-08 04:06:00,
2023-01-08 04:08:00,
2023-01-08 04:10:00,
2023-01-08 04:12:00,
2023-01-08 04:14:00,
2023-01-08 04:16:00,
2023-01-08 04:18:00,
2023-01-08 04:20:00,
2023-01-08 04:22:00,
2023-01-08 04:24:00,
2023-01-08 04:26:00,
2023-01-08 04:28:00,
2023-01-08 04:30:00,
2023-01-08 04:32:00,
2023-01-08 04:34:00,
2023-01-08 04:36:00,
2023-01-08 04:38:00,
2023-01-08 04:40:00,
2023-01-08 04:42:00,
2023-01-08 04:44:00,
2023-01-08 04:46:00,
2023-01-08 04:48:00,
2023-01-08 04:50:00,
2023-01-08 04:52:00,
2023-01-08 04:54:00,
2023-01-08 04:56:00,
2023-01-08 04:58:00,
2023-01-08 05:00:00,
2023-01-08 05:02:00,
2023-01-08 05:04:00,
2023-01-08 05:06:00,
2023-01-08 05:08:00,
2023-01-08 05:10:00,
2023-01-08 05:12:00,
2023-01-08 05:14:00,
2023-01-08 05:16:00,
2023-01-08 05:18:00,
2023-01-08 05:20:00,
2023-01-08 05:22:00,
2023-01-08 05:24:00,
2023-01-08 05:26:00,
2023-01-08 05:28:00,
