sep=,
"Time","localhost:9100"
2023-01-07 21:55:00,
2023-01-07 22:20:00,
2023-01-07 22:45:00,
2023-01-07 23:10:00,
2023-01-07 23:35:00,
2023-01-08 00:00:00,
2023-01-08 00:25:00,
2023-01-08 00:50:00,
2023-01-08 01:15:00,
2023-01-08 01:40:00,
2023-01-08 02:05:00,
2023-01-08 02:30:00,
2023-01-08 02:55:00,
2023-01-08 03:20:00,
2023-01-08 03:45:00,
2023-01-08 04:10:00,
2023-01-08 04:35:00,
2023-01-08 05:00:00,
2023-01-08 05:25:00,
2023-01-08 05:50:00,
2023-01-08 06:15:00,
2023-01-08 06:40:00,
2023-01-08 07:05:00,
2023-01-08 07:30:00,
2023-01-08 07:55:00,
2023-01-08 08:20:00,0.521
2023-01-08 08:45:00,0.409
2023-01-08 09:10:00,0.595
2023-01-08 09:35:00,0.420
2023-01-08 10:00:00,0.393
2023-01-08 10:25:00,0.471
2023-01-08 10:50:00,0.485
2023-01-08 11:15:00,0.479
2023-01-08 11:40:00,0.455
2023-01-08 12:05:00,0.406
2023-01-08 12:30:00,0.408
2023-01-08 12:55:00,0.411
2023-01-08 13:20:00,0.411
2023-01-08 13:45:00,0.418
2023-01-08 14:10:00,0.422
2023-01-08 14:35:00,0.425
2023-01-08 15:00:00,0.427
2023-01-08 15:25:00,0.429
2023-01-08 15:50:00,0.432
2023-01-08 16:15:00,0.431
2023-01-08 16:40:00,0.434
2023-01-08 17:05:00,0.437
2023-01-08 17:30:00,0.437
2023-01-08 17:55:00,0.441
2023-01-08 18:20:00,0.441
2023-01-08 18:45:00,0.443
2023-01-08 19:10:00,0.440
2023-01-08 19:35:00,0.445
2023-01-08 20:00:00,0.447
2023-01-08 20:25:00,0.450
2023-01-08 20:50:00,0.447
2023-01-08 21:15:00,0.448
2023-01-08 21:40:00,0.442
2023-01-08 22:05:00,0.450
2023-01-08 22:30:00,0.451
2023-01-08 22:55:00,0.454
2023-01-08 23:20:00,0.455
2023-01-08 23:45:00,0.457
2023-01-09 00:10:00,0.460
2023-01-09 00:35:00,0.469
2023-01-09 01:00:00,0.461
2023-01-09 01:25:00,0.464
2023-01-09 01:50:00,0.464
2023-01-09 02:15:00,0.464
2023-01-09 02:40:00,0.464
2023-01-09 03:05:00,0.468
2023-01-09 03:30:00,0.453
2023-01-09 03:55:00,0.466
2023-01-09 04:20:00,0.469
2023-01-09 04:45:00,0.470
2023-01-09 05:10:00,0.470
2023-01-09 05:35:00,0.470
2023-01-09 06:00:00,0.472
2023-01-09 06:25:00,0.472
2023-01-09 06:50:00,0.473
2023-01-09 07:15:00,0.476
2023-01-09 07:40:00,0.481
2023-01-09 08:05:00,0.476
2023-01-09 08:30:00,0.477
2023-01-09 08:55:00,0.475
2023-01-09 09:20:00,0.477
2023-01-09 09:45:00,0.481
2023-01-09 10:10:00,0.478
2023-01-09 10:35:00,0.484
2023-01-09 11:00:00,0.482
2023-01-09 11:25:00,0.488
2023-01-09 11:50:00,0.483
2023-01-09 12:15:00,0.486
2023-01-09 12:40:00,0.487
2023-01-09 13:05:00,0.487
2023-01-09 13:30:00,0.487
2023-01-09 13:55:00,0.491
2023-01-09 14:20:00,0.492
2023-01-09 14:45:00,0.493
2023-01-09 15:10:00,0.493
2023-01-09 15:35:00,0.493
2023-01-09 16:00:00,0.437
2023-01-09 16:25:00,0.112
2023-01-09 16:50:00,0.112
2023-01-09 17:15:00,0.113
2023-01-09 17:40:00,0.112
2023-01-09 18:05:00,0.111
2023-01-09 18:30:00,0.110
2023-01-09 18:55:00,0.110
2023-01-09 19:20:00,0.113
2023-01-09 19:45:00,0.112
2023-01-09 20:10:00,0.111
2023-01-09 20:35:00,0.114
2023-01-09 21:00:00,0.112
2023-01-09 21:25:00,0.112
2023-01-09 21:50:00,0.113

