sep=,
"Time","localhost:9100"
2023-01-07 21:45:00,
2023-01-07 22:00:00,
2023-01-07 22:15:00,
2023-01-07 22:30:00,
2023-01-07 22:45:00,
2023-01-07 23:00:00,
2023-01-07 23:15:00,
2023-01-07 23:30:00,
2023-01-07 23:45:00,
2023-01-08 00:00:00,
2023-01-08 00:15:00,
2023-01-08 00:30:00,
2023-01-08 00:45:00,
2023-01-08 01:00:00,
2023-01-08 01:15:00,
2023-01-08 01:30:00,
2023-01-08 01:45:00,
2023-01-08 02:00:00,
2023-01-08 02:15:00,
2023-01-08 02:30:00,
2023-01-08 02:45:00,
2023-01-08 03:00:00,
2023-01-08 03:15:00,
2023-01-08 03:30:00,
2023-01-08 03:45:00,
2023-01-08 04:00:00,
2023-01-08 04:15:00,
2023-01-08 04:30:00,
2023-01-08 04:45:00,
2023-01-08 05:00:00,
2023-01-08 05:15:00,
2023-01-08 05:30:00,
2023-01-08 05:45:00,
2023-01-08 06:00:00,
2023-01-08 06:15:00,
2023-01-08 06:30:00,
2023-01-08 06:45:00,
2023-01-08 07:00:00,
2023-01-08 07:15:00,
2023-01-08 07:30:00,
2023-01-08 07:45:00,
2023-01-08 08:00:00,
2023-01-08 08:15:00,0.445
2023-01-08 08:30:00,0.348
2023-01-08 08:45:00,0.451
2023-01-08 09:00:00,0.652
2023-01-08 09:15:00,0.546
2023-01-08 09:30:00,0.381
2023-01-08 09:45:00,0.365
2023-01-08 10:00:00,0.423
2023-01-08 10:15:00,0.466
2023-01-08 10:30:00,0.485
2023-01-08 10:45:00,0.490
2023-01-08 11:00:00,0.487
2023-01-08 11:15:00,0.476
2023-01-08 11:30:00,0.487
2023-01-08 11:45:00,0.410
2023-01-08 12:00:00,0.406
2023-01-08 12:15:00,0.412
2023-01-08 12:30:00,0.410
2023-01-08 12:45:00,0.411
2023-01-08 13:00:00,0.415
2023-01-08 13:15:00,0.412
2023-01-08 13:30:00,0.418
2023-01-08 13:45:00,0.426
2023-01-08 14:00:00,0.424
2023-01-08 14:15:00,0.428
2023-01-08 14:30:00,0.429
2023-01-08 14:45:00,0.427
2023-01-08 15:00:00,0.430
2023-01-08 15:15:00,0.431
2023-01-08 15:30:00,0.433
2023-01-08 15:45:00,0.432
2023-01-08 16:00:00,0.436
2023-01-08 16:15:00,0.430
2023-01-08 16:30:00,0.438
2023-01-08 16:45:00,0.437
2023-01-08 17:00:00,0.437
2023-01-08 17:15:00,0.440
2023-01-08 17:30:00,0.438
2023-01-08 17:45:00,0.444
2023-01-08 18:00:00,0.442
2023-01-08 18:15:00,0.442
2023-01-08 18:30:00,0.447
2023-01-08 18:45:00,0.446
2023-01-08 19:00:00,0.441
2023-01-08 19:15:00,0.447
2023-01-08 19:30:00,0.448
2023-01-08 19:45:00,0.449
2023-01-08 20:00:00,0.450
2023-01-08 20:15:00,0.455
2023-01-08 20:30:00,0.449
2023-01-08 20:45:00,0.452
2023-01-08 21:00:00,0.452
2023-01-08 21:15:00,0.450
2023-01-08 21:30:00,0.440
2023-01-08 21:45:00,0.454
2023-01-08 22:00:00,0.455
2023-01-08 22:15:00,0.453
2023-01-08 22:30:00,0.452
2023-01-08 22:45:00,0.456
2023-01-08 23:00:00,0.457
2023-01-08 23:15:00,0.457
2023-01-08 23:30:00,0.460
2023-01-08 23:45:00,0.462
2023-01-09 00:00:00,0.464
2023-01-09 00:15:00,0.464
2023-01-09 00:30:00,0.477
2023-01-09 00:45:00,0.467
2023-01-09 01:00:00,0.463
2023-01-09 01:15:00,0.469
2023-01-09 01:30:00,0.472
2023-01-09 01:45:00,0.464
2023-01-09 02:00:00,0.466
2023-01-09 02:15:00,0.468
2023-01-09 02:30:00,0.469
2023-01-09 02:45:00,0.467
2023-01-09 03:00:00,0.472
2023-01-09 03:15:00,0.459
2023-01-09 03:30:00,0.461
2023-01-09 03:45:00,0.472
2023-01-09 04:00:00,0.472
2023-01-09 04:15:00,0.472
2023-01-09 04:30:00,0.471
2023-01-09 04:45:00,0.473
2023-01-09 05:00:00,0.474
2023-01-09 05:15:00,0.476
2023-01-09 05:30:00,0.475
2023-01-09 05:45:00,0.473
2023-01-09 06:00:00,0.476
2023-01-09 06:15:00,0.475
2023-01-09 06:30:00,0.476
2023-01-09 06:45:00,0.473
2023-01-09 07:00:00,0.479
2023-01-09 07:15:00,0.479
2023-01-09 07:30:00,0.484
2023-01-09 07:45:00,0.484
2023-01-09 08:00:00,0.480
2023-01-09 08:15:00,0.483
2023-01-09 08:30:00,0.486
2023-01-09 08:45:00,0.481
2023-01-09 09:00:00,0.482
2023-01-09 09:15:00,0.480
2023-01-09 09:30:00,0.484
2023-01-09 09:45:00,0.481
2023-01-09 10:00:00,0.484
2023-01-09 10:15:00,0.482
2023-01-09 10:30:00,0.496
2023-01-09 10:45:00,0.485
2023-01-09 11:00:00,0.488
2023-01-09 11:15:00,0.489
2023-01-09 11:30:00,0.492
2023-01-09 11:45:00,0.489
2023-01-09 12:00:00,0.490
2023-01-09 12:15:00,0.490
2023-01-09 12:30:00,0.489
2023-01-09 12:45:00,0.489
2023-01-09 13:00:00,0.493
2023-01-09 13:15:00,0.492
2023-01-09 13:30:00,0.494
2023-01-09 13:45:00,0.494
2023-01-09 14:00:00,0.496
2023-01-09 14:15:00,0.495
2023-01-09 14:30:00,0.497
2023-01-09 14:45:00,0.501
2023-01-09 15:00:00,0.497
2023-01-09 15:15:00,0.500
2023-01-09 15:30:00,0.497
2023-01-09 15:45:00,0.497
2023-01-09 16:00:00,0.400
2023-01-09 16:15:00,0.116
2023-01-09 16:30:00,0.117
2023-01-09 16:45:00,0.116
2023-01-09 17:00:00,0.117
2023-01-09 17:15:00,0.119
2023-01-09 17:30:00,0.114
2023-01-09 17:45:00,0.116
2023-01-09 18:00:00,0.114
2023-01-09 18:15:00,0.112
2023-01-09 18:30:00,0.114
2023-01-09 18:45:00,0.112
2023-01-09 19:00:00,0.115
2023-01-09 19:15:00,0.115
2023-01-09 19:30:00,0.120
2023-01-09 19:45:00,0.116
2023-01-09 20:00:00,0.115
2023-01-09 20:15:00,0.115
2023-01-09 20:30:00,0.116
2023-01-09 20:45:00,0.119
2023-01-09 21:00:00,0.116
2023-01-09 21:15:00,0.114
2023-01-09 21:30:00,0.115
2023-01-09 21:45:00,0.114

