sep=,
"Time","send localhost:9100","receive localhost:9100"
2023-01-07 21:55:00,,
2023-01-07 22:20:00,,
2023-01-07 22:45:00,,
2023-01-07 23:10:00,,
2023-01-07 23:35:00,,
2023-01-08 00:00:00,,
2023-01-08 00:25:00,,
2023-01-08 00:50:00,,
2023-01-08 01:15:00,,
2023-01-08 01:40:00,,
2023-01-08 02:05:00,,
2023-01-08 02:30:00,,
2023-01-08 02:55:00,,
2023-01-08 03:20:00,,
2023-01-08 03:45:00,,
2023-01-08 04:10:00,,
2023-01-08 04:35:00,,
2023-01-08 05:00:00,,
2023-01-08 05:25:00,,
2023-01-08 05:50:00,,
2023-01-08 06:15:00,,
2023-01-08 06:40:00,,
2023-01-08 07:05:00,,
2023-01-08 07:30:00,,
2023-01-08 07:55:00,,
2023-01-08 08:20:00,64323,61075
2023-01-08 08:45:00,187888,174146
2023-01-08 09:10:00,258188,238885
2023-01-08 09:35:00,209586,192839
2023-01-08 10:00:00,210461,194604
2023-01-08 10:25:00,245304,225326
2023-01-08 10:50:00,250051,229793
2023-01-08 11:15:00,246472,226305
2023-01-08 11:40:00,221837,189864
2023-01-08 12:05:00,177504,129870
2023-01-08 12:30:00,174159,128492
2023-01-08 12:55:00,169569,125504
2023-01-08 13:20:00,166963,124510
2023-01-08 13:45:00,165780,124505
2023-01-08 14:10:00,165549,124616
2023-01-08 14:35:00,164593,123988
2023-01-08 15:00:00,165027,125253
2023-01-08 15:25:00,163482,124540
2023-01-08 15:50:00,161671,123529
2023-01-08 16:15:00,160342,122914
2023-01-08 16:40:00,159737,123000
2023-01-08 17:05:00,158672,122631
2023-01-08 17:30:00,157498,121805
2023-01-08 17:55:00,156757,121665
2023-01-08 18:20:00,156453,121824
2023-01-08 18:45:00,155397,121115
2023-01-08 19:10:00,154663,120843
2023-01-08 19:35:00,153800,120370
2023-01-08 20:00:00,154509,121314
2023-01-08 20:25:00,152479,120094
2023-01-08 20:50:00,151529,119758
2023-01-08 21:15:00,151151,119655
2023-01-08 21:40:00,150372,119223
2023-01-08 22:05:00,151476,120491
2023-01-08 22:30:00,150894,119985
2023-01-08 22:55:00,149755,119054
2023-01-08 23:20:00,149063,118759
2023-01-08 23:45:00,148523,118633
2023-01-09 00:10:00,150936,121405
2023-01-09 00:35:00,148948,119512
2023-01-09 01:00:00,148833,119149
2023-01-09 01:25:00,149057,119462
2023-01-09 01:50:00,149487,120161
2023-01-09 02:15:00,148381,119287
2023-01-09 02:40:00,149052,120165
2023-01-09 03:05:00,148121,119486
2023-01-09 03:30:00,147899,119260
2023-01-09 03:55:00,147921,119559
2023-01-09 04:20:00,146785,118547
2023-01-09 04:45:00,146661,118651
2023-01-09 05:10:00,147071,118786
2023-01-09 05:35:00,147013,118836
2023-01-09 06:00:00,146655,118512
2023-01-09 06:25:00,146215,118489
2023-01-09 06:50:00,145663,118100
2023-01-09 07:15:00,145706,118598
2023-01-09 07:40:00,143819,117500
2023-01-09 08:05:00,144235,117976
2023-01-09 08:30:00,143085,117239
2023-01-09 08:55:00,142479,116922
2023-01-09 09:20:00,142594,117095
2023-01-09 09:45:00,142710,117331
2023-01-09 10:10:00,142248,116904
2023-01-09 10:35:00,143219,117808
2023-01-09 11:00:00,142775,117435
2023-01-09 11:25:00,142404,117415
2023-01-09 11:50:00,141935,116900
2023-01-09 12:15:00,142023,116983
2023-01-09 12:40:00,141549,116729
2023-01-09 13:05:00,140900,116369
2023-01-09 13:30:00,140854,116411
2023-01-09 13:55:00,140751,116306
2023-01-09 14:20:00,141115,116815
2023-01-09 14:45:00,140365,116348
2023-01-09 15:10:00,140086,116204
2023-01-09 15:35:00,139934,116011
2023-01-09 16:00:00,131470,111187
2023-01-09 16:25:00,84524,84524
2023-01-09 16:50:00,84352,84352
2023-01-09 17:15:00,84538,84538
2023-01-09 17:40:00,84409,84409
2023-01-09 18:05:00,84361,84361
2023-01-09 18:30:00,84360,84360
2023-01-09 18:55:00,84370,84370
2023-01-09 19:20:00,84664,84593
2023-01-09 19:45:00,84466,84466
2023-01-09 20:10:00,84529,84532
2023-01-09 20:35:00,84928,84928
2023-01-09 21:00:00,84432,84432
2023-01-09 21:25:00,84575,84575
2023-01-09 21:50:00,84412,84412

