sep=,
"Time","gitlab-workhorse"
2023-01-07 21:45:00,
2023-01-07 22:00:00,
2023-01-07 22:15:00,
2023-01-07 22:30:00,
2023-01-07 22:45:00,
2023-01-07 23:00:00,
2023-01-07 23:15:00,
2023-01-07 23:30:00,
2023-01-07 23:45:00,
2023-01-08 00:00:00,
2023-01-08 00:15:00,
2023-01-08 00:30:00,
2023-01-08 00:45:00,
2023-01-08 01:00:00,
2023-01-08 01:15:00,
2023-01-08 01:30:00,
2023-01-08 01:45:00,
2023-01-08 02:00:00,
2023-01-08 02:15:00,
2023-01-08 02:30:00,
2023-01-08 02:45:00,
2023-01-08 03:00:00,
2023-01-08 03:15:00,
2023-01-08 03:30:00,
2023-01-08 03:45:00,
2023-01-08 04:00:00,
2023-01-08 04:15:00,
2023-01-08 04:30:00,
2023-01-08 04:45:00,
2023-01-08 05:00:00,
2023-01-08 05:15:00,
2023-01-08 05:30:00,
2023-01-08 05:45:00,
2023-01-08 06:00:00,
2023-01-08 06:15:00,
2023-01-08 06:30:00,
2023-01-08 06:45:00,
2023-01-08 07:00:00,
2023-01-08 07:15:00,
2023-01-08 07:30:00,
2023-01-08 07:45:00,
2023-01-08 08:00:00,
2023-01-08 08:15:00,2.32
2023-01-08 08:30:00,8.44
2023-01-08 08:45:00,11.1
2023-01-08 09:00:00,14.4
2023-01-08 09:15:00,13.5
2023-01-08 09:30:00,10.7
2023-01-08 09:45:00,9.75
2023-01-08 10:00:00,11.5
2023-01-08 10:15:00,12.7
2023-01-08 10:30:00,13.3
2023-01-08 10:45:00,13.2
2023-01-08 11:00:00,13.3
2023-01-08 11:15:00,13.0
2023-01-08 11:30:00,13.2
2023-01-08 11:45:00,32.6
2023-01-08 12:00:00,32.5
2023-01-08 12:15:00,31.4
2023-01-08 12:30:00,30.7
2023-01-08 12:45:00,30.1
2023-01-08 13:00:00,29.4
2023-01-08 13:15:00,28.6
2023-01-08 13:30:00,28.1
2023-01-08 13:45:00,27.7
2023-01-08 14:00:00,27.7
2023-01-08 14:15:00,27.5
2023-01-08 14:30:00,27.4
2023-01-08 14:45:00,27.1
2023-01-08 15:00:00,26.7
2023-01-08 15:15:00,26.4
2023-01-08 15:30:00,26.1
2023-01-08 15:45:00,25.7
2023-01-08 16:00:00,25.4
2023-01-08 16:15:00,25.1
2023-01-08 16:30:00,24.8
2023-01-08 16:45:00,24.5
2023-01-08 17:00:00,24.2
2023-01-08 17:15:00,24.0
2023-01-08 17:30:00,23.9
2023-01-08 17:45:00,23.6
2023-01-08 18:00:00,23.4
2023-01-08 18:15:00,23.1
2023-01-08 18:30:00,23.0
2023-01-08 18:45:00,22.8
2023-01-08 19:00:00,22.6
2023-01-08 19:15:00,22.4
2023-01-08 19:30:00,22.2
2023-01-08 19:45:00,22.0
2023-01-08 20:00:00,21.9
2023-01-08 20:15:00,21.5
2023-01-08 20:30:00,21.0
2023-01-08 20:45:00,20.8
2023-01-08 21:00:00,20.7
2023-01-08 21:15:00,20.5
2023-01-08 21:30:00,20.3
2023-01-08 21:45:00,20.3
2023-01-08 22:00:00,20.1
2023-01-08 22:15:00,20.1
2023-01-08 22:30:00,20.0
2023-01-08 22:45:00,20.0
2023-01-08 23:00:00,19.7
2023-01-08 23:15:00,19.6
2023-01-08 23:30:00,19.5
2023-01-08 23:45:00,19.2
2023-01-09 00:00:00,19.1
2023-01-09 00:15:00,19.1
2023-01-09 00:30:00,18.8
2023-01-09 00:45:00,19.1
2023-01-09 01:00:00,19.1
2023-01-09 01:15:00,19.0
2023-01-09 01:30:00,19.1
2023-01-09 01:45:00,18.9
2023-01-09 02:00:00,18.8
2023-01-09 02:15:00,18.7
2023-01-09 02:30:00,18.6
2023-01-09 02:45:00,18.5
2023-01-09 03:00:00,18.4
2023-01-09 03:15:00,18.4
2023-01-09 03:30:00,18.3
2023-01-09 03:45:00,18.2
2023-01-09 04:00:00,18.1
2023-01-09 04:15:00,18.0
2023-01-09 04:30:00,18.1
2023-01-09 04:45:00,17.8
2023-01-09 05:00:00,18.2
2023-01-09 05:15:00,18.1
2023-01-09 05:30:00,18.0
2023-01-09 05:45:00,18.0
2023-01-09 06:00:00,18.0
2023-01-09 06:15:00,17.8
2023-01-09 06:30:00,17.7
2023-01-09 06:45:00,17.6
2023-01-09 07:00:00,17.6
2023-01-09 07:15:00,17.2
2023-01-09 07:30:00,16.9
2023-01-09 07:45:00,16.8
2023-01-09 08:00:00,16.8
2023-01-09 08:15:00,16.7
2023-01-09 08:30:00,16.5
2023-01-09 08:45:00,16.3
2023-01-09 09:00:00,16.5
2023-01-09 09:15:00,16.3
2023-01-09 09:30:00,16.2
2023-01-09 09:45:00,16.3
2023-01-09 10:00:00,16.3
2023-01-09 10:15:00,16.2
2023-01-09 10:30:00,16.2
2023-01-09 10:45:00,16.4
2023-01-09 11:00:00,16.1
2023-01-09 11:15:00,16.1
2023-01-09 11:30:00,16.0
2023-01-09 11:45:00,15.9
2023-01-09 12:00:00,16.1
2023-01-09 12:15:00,16.0
2023-01-09 12:30:00,15.9
2023-01-09 12:45:00,15.8
2023-01-09 13:00:00,15.7
2023-01-09 13:15:00,15.7
2023-01-09 13:30:00,15.6
2023-01-09 13:45:00,15.6
2023-01-09 14:00:00,15.7
2023-01-09 14:15:00,15.5
2023-01-09 14:30:00,15.4
2023-01-09 14:45:00,15.4
2023-01-09 15:00:00,15.3
2023-01-09 15:15:00,15.2
2023-01-09 15:30:00,15.3
2023-01-09 15:45:00,15.4
2023-01-09 16:00:00,12.0
2023-01-09 16:15:00,0.0207
2023-01-09 16:30:00,0.0222
2023-01-09 16:45:00,0.0222
2023-01-09 17:00:00,0.0222
2023-01-09 17:15:00,0.0222
2023-01-09 17:30:00,0.0222
2023-01-09 17:45:00,0.0222
2023-01-09 18:00:00,0.0126
2023-01-09 18:15:00,0.0111
2023-01-09 18:30:00,0.0111
2023-01-09 18:45:00,0.0111
2023-01-09 19:00:00,0.0111
2023-01-09 19:15:00,0.0111
2023-01-09 19:30:00,0.0111
2023-01-09 19:45:00,0.0178
2023-01-09 20:00:00,0.0222
2023-01-09 20:15:00,0.0222
2023-01-09 20:30:00,0.0222
2023-01-09 20:45:00,0.0222
2023-01-09 21:00:00,0.0222
2023-01-09 21:15:00,0.0222
2023-01-09 21:30:00,0.0141
2023-01-09 21:45:00,0.0111

