sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-12-28 20:24:00,0.167,0.414,0.576,0.761,0.00120,0.00312,0.00820,0.414,0.0155
2022-12-28 20:30:00,0.167,0.416,0.577,0.758,0.00120,0.00308,0.00680,0.416,0.0136
2022-12-28 20:36:00,0.154,0.415,0.578,0.763,0.00120,0.00310,0.00810,0.415,0.0141
2022-12-28 20:42:00,0.167,0.420,0.579,0.751,0.00120,0.00310,0.00680,0.420,0.0149
2022-12-28 20:48:00,0.182,0.416,0.580,0.752,0.00120,0.00280,0.00690,0.416,0.0151
2022-12-28 20:54:00,0.0769,0.421,0.581,0.756,0.00120,0.00310,0.00840,0.421,0.0153
2022-12-28 21:00:00,0.167,0.417,0.582,0.754,0.00120,0.00310,0.00690,0.417,0.0147
2022-12-28 21:06:00,0.0833,0.413,0.582,0.759,0.00120,0.00314,0.00850,0.413,0.0153
2022-12-28 21:12:00,0.105,0.415,0.580,0.754,0.00120,0.00314,0.00670,0.415,0.0152
2022-12-28 21:18:00,0.214,0.416,0.581,0.755,0.00120,0.00282,0.00820,0.416,0.0162
2022-12-28 21:24:00,0.154,0.415,0.582,0.755,0.00120,0.00312,0.00810,0.415,0.0166
2022-12-28 21:30:00,0.154,0.414,0.583,0.755,0.00120,0.00312,0.00690,0.414,0.0143
2022-12-28 21:36:00,0.154,0.423,0.584,0.756,0.00120,0.00308,0.00820,0.423,0.0170
2022-12-28 21:42:00,0.182,0.412,0.585,0.752,0.00120,0.00308,0.00680,0.412,0.0159
2022-12-28 21:48:00,0.154,0.455,0.585,0.754,0.00120,0.00280,0.00700,0.455,0.0283
2022-12-28 21:54:00,0.0769,0.426,0.586,0.754,0.00120,0.00312,0.00760,0.426,0.0218
2022-12-28 22:00:00,0.167,0.427,0.587,0.750,0.00120,0.00312,0.00680,0.427,0.0201
