sep=,
"Time","postgres service"
2023-01-05 20:30:00,
2023-01-05 20:45:00,
2023-01-05 21:00:00,
2023-01-05 21:15:00,
2023-01-05 21:30:00,
2023-01-05 21:45:00,
2023-01-05 22:00:00,
2023-01-05 22:15:00,
2023-01-05 22:30:00,
2023-01-05 22:45:00,
2023-01-05 23:00:00,
2023-01-05 23:15:00,
2023-01-05 23:30:00,
2023-01-05 23:45:00,
2023-01-06 00:00:00,
2023-01-06 00:15:00,
2023-01-06 00:30:00,
2023-01-06 00:45:00,
2023-01-06 01:00:00,
2023-01-06 01:15:00,
2023-01-06 01:30:00,
2023-01-06 01:45:00,
2023-01-06 02:00:00,
2023-01-06 02:15:00,
2023-01-06 02:30:00,
2023-01-06 02:45:00,
2023-01-06 03:00:00,
2023-01-06 03:15:00,
2023-01-06 03:30:00,
2023-01-06 03:45:00,
2023-01-06 04:00:00,
2023-01-06 04:15:00,
2023-01-06 04:30:00,
2023-01-06 04:45:00,
2023-01-06 05:00:00,
2023-01-06 05:15:00,
2023-01-06 05:30:00,
2023-01-06 05:45:00,
2023-01-06 06:00:00,
2023-01-06 06:15:00,
2023-01-06 06:30:00,
2023-01-06 06:45:00,
2023-01-06 07:00:00,
2023-01-06 07:15:00,
2023-01-06 07:30:00,
2023-01-06 07:45:00,
2023-01-06 08:00:00,
2023-01-06 08:15:00,
2023-01-06 08:30:00,
2023-01-06 08:45:00,
2023-01-06 09:00:00,
2023-01-06 09:15:00,
2023-01-06 09:30:00,
2023-01-06 09:45:00,
2023-01-06 10:00:00,
2023-01-06 10:15:00,
2023-01-06 10:30:00,
2023-01-06 10:45:00,
2023-01-06 11:00:00,
2023-01-06 11:15:00,
2023-01-06 11:30:00,0
2023-01-06 11:45:00,0
2023-01-06 12:00:00,0
2023-01-06 12:15:00,0
2023-01-06 12:30:00,0
2023-01-06 12:45:00,0
2023-01-06 13:00:00,0
2023-01-06 13:15:00,0
2023-01-06 13:30:00,0
2023-01-06 13:45:00,0
2023-01-06 14:00:00,0.000402
2023-01-06 14:15:00,0.000868
2023-01-06 14:30:00,0.00150
2023-01-06 14:45:00,0.00200
2023-01-06 15:00:00,0.00250
2023-01-06 15:15:00,0.00269
2023-01-06 15:30:00,0.00316
2023-01-06 15:45:00,0.00374
2023-01-06 16:00:00,0.00363
2023-01-06 16:15:00,0.00386
2023-01-06 16:30:00,0.00435
2023-01-06 16:45:00,0.00450
2023-01-06 17:00:00,0.00485
2023-01-06 17:15:00,0.00544
