sep=,
"Time","localhost:8060"
2023-01-05 20:32:00,
2023-01-05 20:34:00,
2023-01-05 20:36:00,
2023-01-05 20:38:00,
2023-01-05 20:40:00,
2023-01-05 20:42:00,
2023-01-05 20:44:00,
2023-01-05 20:46:00,
2023-01-05 20:48:00,
2023-01-05 20:50:00,
2023-01-05 20:52:00,
2023-01-05 20:54:00,
2023-01-05 20:56:00,
2023-01-05 20:58:00,
2023-01-05 21:00:00,
2023-01-05 21:02:00,
2023-01-05 21:04:00,
2023-01-05 21:06:00,
2023-01-05 21:08:00,
2023-01-05 21:10:00,
2023-01-05 21:12:00,
2023-01-05 21:14:00,
2023-01-05 21:16:00,
2023-01-05 21:18:00,
2023-01-05 21:20:00,
2023-01-05 21:22:00,
2023-01-05 21:24:00,
2023-01-05 21:26:00,
2023-01-05 21:28:00,
2023-01-05 21:30:00,
2023-01-05 21:32:00,
2023-01-05 21:34:00,
2023-01-05 21:36:00,
2023-01-05 21:38:00,
2023-01-05 21:40:00,
2023-01-05 21:42:00,
2023-01-05 21:44:00,
2023-01-05 21:46:00,
2023-01-05 21:48:00,
2023-01-05 21:50:00,
2023-01-05 21:52:00,
2023-01-05 21:54:00,
2023-01-05 21:56:00,
2023-01-05 21:58:00,
2023-01-05 22:00:00,
2023-01-05 22:02:00,
2023-01-05 22:04:00,
2023-01-05 22:06:00,
2023-01-05 22:08:00,
2023-01-05 22:10:00,
2023-01-05 22:12:00,
2023-01-05 22:14:00,
2023-01-05 22:16:00,
2023-01-05 22:18:00,
2023-01-05 22:20:00,
2023-01-05 22:22:00,
2023-01-05 22:24:00,
2023-01-05 22:26:00,
2023-01-05 22:28:00,
2023-01-05 22:30:00,
2023-01-05 22:32:00,
2023-01-05 22:34:00,
2023-01-05 22:36:00,
2023-01-05 22:38:00,
2023-01-05 22:40:00,
2023-01-05 22:42:00,
2023-01-05 22:44:00,
2023-01-05 22:46:00,
2023-01-05 22:48:00,
2023-01-05 22:50:00,
2023-01-05 22:52:00,
2023-01-05 22:54:00,
2023-01-05 22:56:00,
2023-01-05 22:58:00,
2023-01-05 23:00:00,
2023-01-05 23:02:00,
2023-01-05 23:04:00,
2023-01-05 23:06:00,
2023-01-05 23:08:00,
2023-01-05 23:10:00,
2023-01-05 23:12:00,
2023-01-05 23:14:00,
2023-01-05 23:16:00,
2023-01-05 23:18:00,
2023-01-05 23:20:00,
2023-01-05 23:22:00,
2023-01-05 23:24:00,
2023-01-05 23:26:00,
2023-01-05 23:28:00,
2023-01-05 23:30:00,
2023-01-05 23:32:00,
2023-01-05 23:34:00,
2023-01-05 23:36:00,
2023-01-05 23:38:00,
2023-01-05 23:40:00,
2023-01-05 23:42:00,
2023-01-05 23:44:00,
2023-01-05 23:46:00,
2023-01-05 23:48:00,
2023-01-05 23:50:00,
2023-01-05 23:52:00,
2023-01-05 23:54:00,
2023-01-05 23:56:00,
2023-01-05 23:58:00,
2023-01-06 00:00:00,
2023-01-06 00:02:00,
2023-01-06 00:04:00,
2023-01-06 00:06:00,
2023-01-06 00:08:00,
2023-01-06 00:10:00,
2023-01-06 00:12:00,
2023-01-06 00:14:00,
2023-01-06 00:16:00,
2023-01-06 00:18:00,
2023-01-06 00:20:00,
2023-01-06 00:22:00,
2023-01-06 00:24:00,
2023-01-06 00:26:00,
2023-01-06 00:28:00,
2023-01-06 00:30:00,
2023-01-06 00:32:00,
2023-01-06 00:34:00,
2023-01-06 00:36:00,
2023-01-06 00:38:00,
2023-01-06 00:40:00,
2023-01-06 00:42:00,
2023-01-06 00:44:00,
2023-01-06 00:46:00,
2023-01-06 00:48:00,
2023-01-06 00:50:00,
2023-01-06 00:52:00,
2023-01-06 00:54:00,
2023-01-06 00:56:00,
2023-01-06 00:58:00,
2023-01-06 01:00:00,
2023-01-06 01:02:00,
2023-01-06 01:04:00,
2023-01-06 01:06:00,
2023-01-06 01:08:00,
2023-01-06 01:10:00,
2023-01-06 01:12:00,
2023-01-06 01:14:00,
2023-01-06 01:16:00,
2023-01-06 01:18:00,
2023-01-06 01:20:00,
2023-01-06 01:22:00,
2023-01-06 01:24:00,
2023-01-06 01:26:00,
2023-01-06 01:28:00,
2023-01-06 01:30:00,
2023-01-06 01:32:00,
2023-01-06 01:34:00,
2023-01-06 01:36:00,
2023-01-06 01:38:00,
2023-01-06 01:40:00,
2023-01-06 01:42:00,
2023-01-06 01:44:00,
2023-01-06 01:46:00,
2023-01-06 01:48:00,
2023-01-06 01:50:00,
2023-01-06 01:52:00,
2023-01-06 01:54:00,
2023-01-06 01:56:00,
2023-01-06 01:58:00,
2023-01-06 02:00:00,
2023-01-06 02:02:00,
2023-01-06 02:04:00,
2023-01-06 02:06:00,
2023-01-06 02:08:00,
2023-01-06 02:10:00,
2023-01-06 02:12:00,
2023-01-06 02:14:00,
2023-01-06 02:16:00,
2023-01-06 02:18:00,
2023-01-06 02:20:00,
2023-01-06 02:22:00,
2023-01-06 02:24:00,
2023-01-06 02:26:00,
2023-01-06 02:28:00,
2023-01-06 02:30:00,
2023-01-06 02:32:00,
2023-01-06 02:34:00,
2023-01-06 02:36:00,
2023-01-06 02:38:00,
2023-01-06 02:40:00,
2023-01-06 02:42:00,
2023-01-06 02:44:00,
2023-01-06 02:46:00,
2023-01-06 02:48:00,
2023-01-06 02:50:00,
2023-01-06 02:52:00,
2023-01-06 02:54:00,
2023-01-06 02:56:00,
2023-01-06 02:58:00,
2023-01-06 03:00:00,
2023-01-06 03:02:00,
2023-01-06 03:04:00,
2023-01-06 03:06:00,
2023-01-06 03:08:00,
2023-01-06 03:10:00,
2023-01-06 03:12:00,
2023-01-06 03:14:00,
2023-01-06 03:16:00,
2023-01-06 03:18:00,
2023-01-06 03:20:00,
2023-01-06 03:22:00,
2023-01-06 03:24:00,
2023-01-06 03:26:00,
2023-01-06 03:28:00,
2023-01-06 03:30:00,
2023-01-06 03:32:00,
2023-01-06 03:34:00,
2023-01-06 03:36:00,
2023-01-06 03:38:00,
2023-01-06 03:40:00,
2023-01-06 03:42:00,
2023-01-06 03:44:00,
2023-01-06 03:46:00,
2023-01-06 03:48:00,
2023-01-06 03:50:00,
2023-01-06 03:52:00,
2023-01-06 03:54:00,
2023-01-06 03:56:00,
2023-01-06 03:58:00,
2023-01-06 04:00:00,
2023-01-06 04:02:00,
2023-01-06 04:04:00,
2023-01-06 04:06:00,
2023-01-06 04:08:00,
2023-01-06 04:10:00,
2023-01-06 04:12:00,
2023-01-06 04:14:00,
2023-01-06 04:16:00,
2023-01-06 04:18:00,
2023-01-06 04:20:00,
2023-01-06 04:22:00,
2023-01-06 04:24:00,
2023-01-06 04:26:00,
2023-01-06 04:28:00,
2023-01-06 04:30:00,
2023-01-06 04:32:00,
2023-01-06 04:34:00,
2023-01-06 04:36:00,
2023-01-06 04:38:00,
2023-01-06 04:40:00,
2023-01-06 04:42:00,
2023-01-06 04:44:00,
2023-01-06 04:46:00,
2023-01-06 04:48:00,
2023-01-06 04:50:00,
2023-01-06 04:52:00,
2023-01-06 04:54:00,
2023-01-06 04:56:00,
2023-01-06 04:58:00,
2023-01-06 05:00:00,
2023-01-06 05:02:00,
2023-01-06 05:04:00,
2023-01-06 05:06:00,
2023-01-06 05:08:00,
2023-01-06 05:10:00,
2023-01-06 05:12:00,
2023-01-06 05:14:00,
2023-01-06 05:16:00,
2023-01-06 05:18:00,
2023-01-06 05:20:00,
2023-01-06 05:22:00,
2023-01-06 05:24:00,
2023-01-06 05:26:00,
2023-01-06 05:28:00,
2023-01-06 05:30:00,
2023-01-06 05:32:00,
2023-01-06 05:34:00,
2023-01-06 05:36:00,
2023-01-06 05:38:00,
2023-01-06 05:40:00,
2023-01-06 05:42:00,
2023-01-06 05:44:00,
2023-01-06 05:46:00,
2023-01-06 05:48:00,
2023-01-06 05:50:00,
2023-01-06 05:52:00,
2023-01-06 05:54:00,
2023-01-06 05:56:00,
2023-01-06 05:58:00,
2023-01-06 06:00:00,
2023-01-06 06:02:00,
2023-01-06 06:04:00,
2023-01-06 06:06:00,
2023-01-06 06:08:00,
2023-01-06 06:10:00,
2023-01-06 06:12:00,
2023-01-06 06:14:00,
2023-01-06 06:16:00,
2023-01-06 06:18:00,
2023-01-06 06:20:00,
2023-01-06 06:22:00,
2023-01-06 06:24:00,
2023-01-06 06:26:00,
2023-01-06 06:28:00,
2023-01-06 06:30:00,
2023-01-06 06:32:00,
2023-01-06 06:34:00,
2023-01-06 06:36:00,
2023-01-06 06:38:00,
2023-01-06 06:40:00,
2023-01-06 06:42:00,
2023-01-06 06:44:00,
2023-01-06 06:46:00,
2023-01-06 06:48:00,
2023-01-06 06:50:00,
2023-01-06 06:52:00,
2023-01-06 06:54:00,
2023-01-06 06:56:00,
2023-01-06 06:58:00,
2023-01-06 07:00:00,
2023-01-06 07:02:00,
2023-01-06 07:04:00,
2023-01-06 07:06:00,
2023-01-06 07:08:00,
2023-01-06 07:10:00,
2023-01-06 07:12:00,
2023-01-06 07:14:00,
2023-01-06 07:16:00,
2023-01-06 07:18:00,
2023-01-06 07:20:00,
2023-01-06 07:22:00,
2023-01-06 07:24:00,
2023-01-06 07:26:00,
2023-01-06 07:28:00,
2023-01-06 07:30:00,
2023-01-06 07:32:00,
2023-01-06 07:34:00,
2023-01-06 07:36:00,
2023-01-06 07:38:00,
2023-01-06 07:40:00,
2023-01-06 07:42:00,
