sep=,
"Time","localhost:9100"
2023-01-05 20:20:00,
2023-01-05 20:45:00,
2023-01-05 21:10:00,
2023-01-05 21:35:00,
2023-01-05 22:00:00,
2023-01-05 22:25:00,
2023-01-05 22:50:00,
2023-01-05 23:15:00,
2023-01-05 23:40:00,
2023-01-06 00:05:00,
2023-01-06 00:30:00,
2023-01-06 00:55:00,
2023-01-06 01:20:00,
2023-01-06 01:45:00,
2023-01-06 02:10:00,
2023-01-06 02:35:00,
2023-01-06 03:00:00,
2023-01-06 03:25:00,
2023-01-06 03:50:00,
2023-01-06 04:15:00,
2023-01-06 04:40:00,
2023-01-06 05:05:00,
2023-01-06 05:30:00,
2023-01-06 05:55:00,
2023-01-06 06:20:00,
2023-01-06 06:45:00,
2023-01-06 07:10:00,
2023-01-06 07:35:00,
2023-01-06 08:00:00,
2023-01-06 08:25:00,
2023-01-06 08:50:00,
2023-01-06 09:15:00,
2023-01-06 09:40:00,
2023-01-06 10:05:00,
2023-01-06 10:30:00,
2023-01-06 10:55:00,
2023-01-06 11:20:00,
2023-01-06 11:45:00,0.379
2023-01-06 12:10:00,0.449
2023-01-06 12:35:00,0.585
2023-01-06 13:00:00,0.612
2023-01-06 13:25:00,0.641
2023-01-06 13:50:00,0.621
2023-01-06 14:15:00,0.428
2023-01-06 14:40:00,0.406
2023-01-06 15:05:00,0.409
2023-01-06 15:30:00,0.412
2023-01-06 15:55:00,0.410
2023-01-06 16:20:00,0.417
2023-01-06 16:45:00,0.415
2023-01-06 17:10:00,0.421
2023-01-06 17:35:00,0.425
2023-01-06 18:00:00,0.432
2023-01-06 18:25:00,0.430
2023-01-06 18:50:00,0.436
2023-01-06 19:15:00,0.438
2023-01-06 19:40:00,0.439
2023-01-06 20:05:00,0.445
2023-01-06 20:30:00,0.448
2023-01-06 20:55:00,0.449
2023-01-06 21:20:00,0.452
2023-01-06 21:45:00,0.454
2023-01-06 22:10:00,0.457
2023-01-06 22:35:00,0.459
2023-01-06 23:00:00,0.462
2023-01-06 23:25:00,0.465
2023-01-06 23:50:00,0.467
2023-01-07 00:15:00,0.470
2023-01-07 00:40:00,0.475
2023-01-07 01:05:00,0.472
2023-01-07 01:30:00,0.472
2023-01-07 01:55:00,0.475
2023-01-07 02:20:00,0.485
2023-01-07 02:45:00,0.479
2023-01-07 03:10:00,0.482
2023-01-07 03:35:00,0.484
2023-01-07 04:00:00,0.485
2023-01-07 04:25:00,0.488
2023-01-07 04:50:00,0.494
2023-01-07 05:15:00,0.494
2023-01-07 05:40:00,0.495
2023-01-07 06:05:00,0.500
2023-01-07 06:30:00,0.499
2023-01-07 06:55:00,0.513
2023-01-07 07:20:00,0.506
2023-01-07 07:45:00,0.511
2023-01-07 08:10:00,0.517
2023-01-07 08:35:00,0.512
2023-01-07 09:00:00,0.514
2023-01-07 09:25:00,0.519
2023-01-07 09:50:00,0.521
2023-01-07 10:15:00,0.522
2023-01-07 10:40:00,0.523
2023-01-07 11:05:00,0.527
2023-01-07 11:30:00,0.528
2023-01-07 11:55:00,0.532
2023-01-07 12:20:00,0.535
2023-01-07 12:45:00,0.536
2023-01-07 13:10:00,0.513
2023-01-07 13:35:00,0.540
2023-01-07 14:00:00,0.546
2023-01-07 14:25:00,0.546
2023-01-07 14:50:00,0.445
2023-01-07 15:15:00,0.117
2023-01-07 15:40:00,0.116
2023-01-07 16:05:00,0.116
2023-01-07 16:30:00,0.115
2023-01-07 16:55:00,0.116
2023-01-07 17:20:00,0.116
2023-01-07 17:45:00,0.116
2023-01-07 18:10:00,0.115
2023-01-07 18:35:00,0.116
2023-01-07 19:00:00,0.115
2023-01-07 19:25:00,0.116
2023-01-07 19:50:00,0.116
2023-01-07 20:15:00,0.116

