sep=,
"Time","localhost:9100"
2023-01-05 20:30:00,
2023-01-05 20:45:00,
2023-01-05 21:00:00,
2023-01-05 21:15:00,
2023-01-05 21:30:00,
2023-01-05 21:45:00,
2023-01-05 22:00:00,
2023-01-05 22:15:00,
2023-01-05 22:30:00,
2023-01-05 22:45:00,
2023-01-05 23:00:00,
2023-01-05 23:15:00,
2023-01-05 23:30:00,
2023-01-05 23:45:00,
2023-01-06 00:00:00,
2023-01-06 00:15:00,
2023-01-06 00:30:00,
2023-01-06 00:45:00,
2023-01-06 01:00:00,
2023-01-06 01:15:00,
2023-01-06 01:30:00,
2023-01-06 01:45:00,
2023-01-06 02:00:00,
2023-01-06 02:15:00,
2023-01-06 02:30:00,
2023-01-06 02:45:00,
2023-01-06 03:00:00,
2023-01-06 03:15:00,
2023-01-06 03:30:00,
2023-01-06 03:45:00,
2023-01-06 04:00:00,
2023-01-06 04:15:00,
2023-01-06 04:30:00,
2023-01-06 04:45:00,
2023-01-06 05:00:00,
2023-01-06 05:15:00,
2023-01-06 05:30:00,
2023-01-06 05:45:00,
2023-01-06 06:00:00,
2023-01-06 06:15:00,
2023-01-06 06:30:00,
2023-01-06 06:45:00,
2023-01-06 07:00:00,
2023-01-06 07:15:00,
2023-01-06 07:30:00,
2023-01-06 07:45:00,
2023-01-06 08:00:00,
2023-01-06 08:15:00,
2023-01-06 08:30:00,
2023-01-06 08:45:00,
2023-01-06 09:00:00,
2023-01-06 09:15:00,
2023-01-06 09:30:00,
2023-01-06 09:45:00,
2023-01-06 10:00:00,
2023-01-06 10:15:00,
2023-01-06 10:30:00,
2023-01-06 10:45:00,
2023-01-06 11:00:00,
2023-01-06 11:15:00,
2023-01-06 11:30:00,0.663
2023-01-06 11:45:00,0.309
2023-01-06 12:00:00,0.389
2023-01-06 12:15:00,0.586
2023-01-06 12:30:00,0.567
2023-01-06 12:45:00,0.581
2023-01-06 13:00:00,0.638
2023-01-06 13:15:00,0.658
2023-01-06 13:30:00,0.633
2023-01-06 13:45:00,0.621
2023-01-06 14:00:00,0.525
2023-01-06 14:15:00,0.407
2023-01-06 14:30:00,0.406
2023-01-06 14:45:00,0.409
2023-01-06 15:00:00,0.412
2023-01-06 15:15:00,0.415
2023-01-06 15:30:00,0.417
2023-01-06 15:45:00,0.412
2023-01-06 16:00:00,0.415
2023-01-06 16:15:00,0.420
2023-01-06 16:30:00,0.414
2023-01-06 16:45:00,0.419
2023-01-06 17:00:00,0.424
2023-01-06 17:15:00,0.422
2023-01-06 17:30:00,0.429
2023-01-06 17:45:00,0.432
2023-01-06 18:00:00,0.437
2023-01-06 18:15:00,0.436
2023-01-06 18:30:00,0.433
2023-01-06 18:45:00,0.439
2023-01-06 19:00:00,0.441
2023-01-06 19:15:00,0.440
2023-01-06 19:30:00,0.439
2023-01-06 19:45:00,0.444
2023-01-06 20:00:00,0.445
2023-01-06 20:15:00,0.452
2023-01-06 20:30:00,0.451
2023-01-06 20:45:00,0.450
2023-01-06 21:00:00,0.454
2023-01-06 21:15:00,0.455
2023-01-06 21:30:00,0.458
2023-01-06 21:45:00,0.456
2023-01-06 22:00:00,0.459
2023-01-06 22:15:00,0.460
2023-01-06 22:30:00,0.464
2023-01-06 22:45:00,0.463
2023-01-06 23:00:00,0.466
2023-01-06 23:15:00,0.468
2023-01-06 23:30:00,0.467
2023-01-06 23:45:00,0.471
2023-01-07 00:00:00,0.473
2023-01-07 00:15:00,0.471
2023-01-07 00:30:00,0.471
2023-01-07 00:45:00,0.482
2023-01-07 01:00:00,0.476
2023-01-07 01:15:00,0.474
2023-01-07 01:30:00,0.474
2023-01-07 01:45:00,0.476
2023-01-07 02:00:00,0.479
2023-01-07 02:15:00,0.493
2023-01-07 02:30:00,0.481
2023-01-07 02:45:00,0.481
2023-01-07 03:00:00,0.483
2023-01-07 03:15:00,0.490
2023-01-07 03:30:00,0.489
2023-01-07 03:45:00,0.490
2023-01-07 04:00:00,0.487
2023-01-07 04:15:00,0.489
2023-01-07 04:30:00,0.494
2023-01-07 04:45:00,0.495
2023-01-07 05:00:00,0.498
2023-01-07 05:15:00,0.499
2023-01-07 05:30:00,0.502
2023-01-07 05:45:00,0.505
2023-01-07 06:00:00,0.502
2023-01-07 06:15:00,0.504
2023-01-07 06:30:00,0.502
2023-01-07 06:45:00,0.523
2023-01-07 07:00:00,0.517
2023-01-07 07:15:00,0.511
2023-01-07 07:30:00,0.508
2023-01-07 07:45:00,0.518
2023-01-07 08:00:00,0.524
2023-01-07 08:15:00,0.514
2023-01-07 08:30:00,0.515
2023-01-07 08:45:00,0.520
2023-01-07 09:00:00,0.517
2023-01-07 09:15:00,0.522
2023-01-07 09:30:00,0.523
2023-01-07 09:45:00,0.526
2023-01-07 10:00:00,0.523
2023-01-07 10:15:00,0.525
2023-01-07 10:30:00,0.525
2023-01-07 10:45:00,0.528
2023-01-07 11:00:00,0.531
2023-01-07 11:15:00,0.532
2023-01-07 11:30:00,0.532
2023-01-07 11:45:00,0.534
2023-01-07 12:00:00,0.546
2023-01-07 12:15:00,0.538
2023-01-07 12:30:00,0.538
2023-01-07 12:45:00,0.541
2023-01-07 13:00:00,0.516
2023-01-07 13:15:00,0.527
2023-01-07 13:30:00,0.547
2023-01-07 13:45:00,0.548
2023-01-07 14:00:00,0.560
2023-01-07 14:15:00,0.549
2023-01-07 14:30:00,0.557
2023-01-07 14:45:00,0.526
2023-01-07 15:00:00,0.122
2023-01-07 15:15:00,0.118
2023-01-07 15:30:00,0.119
2023-01-07 15:45:00,0.120
2023-01-07 16:00:00,0.119
2023-01-07 16:15:00,0.119
2023-01-07 16:30:00,0.118
2023-01-07 16:45:00,0.118
2023-01-07 17:00:00,0.117
2023-01-07 17:15:00,0.117
2023-01-07 17:30:00,0.118
2023-01-07 17:45:00,0.117
2023-01-07 18:00:00,0.120
2023-01-07 18:15:00,0.118
2023-01-07 18:30:00,0.120
2023-01-07 18:45:00,0.121
2023-01-07 19:00:00,0.117
2023-01-07 19:15:00,0.119
2023-01-07 19:30:00,0.121
2023-01-07 19:45:00,0.121
2023-01-07 20:00:00,0.120
2023-01-07 20:15:00,0.120
2023-01-07 20:30:00,0.120

