sep=,
"Time","send localhost:9100","receive localhost:9100"
2023-01-05 20:20:00,,
2023-01-05 20:45:00,,
2023-01-05 21:10:00,,
2023-01-05 21:35:00,,
2023-01-05 22:00:00,,
2023-01-05 22:25:00,,
2023-01-05 22:50:00,,
2023-01-05 23:15:00,,
2023-01-05 23:40:00,,
2023-01-06 00:05:00,,
2023-01-06 00:30:00,,
2023-01-06 00:55:00,,
2023-01-06 01:20:00,,
2023-01-06 01:45:00,,
2023-01-06 02:10:00,,
2023-01-06 02:35:00,,
2023-01-06 03:00:00,,
2023-01-06 03:25:00,,
2023-01-06 03:50:00,,
2023-01-06 04:15:00,,
2023-01-06 04:40:00,,
2023-01-06 05:05:00,,
2023-01-06 05:30:00,,
2023-01-06 05:55:00,,
2023-01-06 06:20:00,,
2023-01-06 06:45:00,,
2023-01-06 07:10:00,,
2023-01-06 07:35:00,,
2023-01-06 08:00:00,,
2023-01-06 08:25:00,,
2023-01-06 08:50:00,,
2023-01-06 09:15:00,,
2023-01-06 09:40:00,,
2023-01-06 10:05:00,,
2023-01-06 10:30:00,,
2023-01-06 10:55:00,,
2023-01-06 11:20:00,,
2023-01-06 11:45:00,100579,94654
2023-01-06 12:10:00,199202,185438
2023-01-06 12:35:00,258835,238466
2023-01-06 13:00:00,254648,231553
2023-01-06 13:25:00,249430,225696
2023-01-06 13:50:00,240398,217118
2023-01-06 14:15:00,182852,136724
2023-01-06 14:40:00,171640,125618
2023-01-06 15:05:00,168483,124662
2023-01-06 15:30:00,166041,123924
2023-01-06 15:55:00,164248,123422
2023-01-06 16:20:00,162611,122959
2023-01-06 16:45:00,161248,122501
2023-01-06 17:10:00,161247,122670
2023-01-06 17:35:00,162275,124057
2023-01-06 18:00:00,160564,122509
2023-01-06 18:25:00,160252,122673
2023-01-06 18:50:00,159617,122333
2023-01-06 19:15:00,159446,122221
2023-01-06 19:40:00,159276,122285
2023-01-06 20:05:00,158541,121930
2023-01-06 20:30:00,158243,121921
2023-01-06 20:55:00,157907,121799
2023-01-06 21:20:00,158092,122273
2023-01-06 21:45:00,157104,121413
2023-01-06 22:10:00,157233,121651
2023-01-06 22:35:00,157586,122153
2023-01-06 23:00:00,156619,121383
2023-01-06 23:25:00,157214,122183
2023-01-06 23:50:00,156075,121292
2023-01-07 00:15:00,157794,123359
2023-01-07 00:40:00,156180,122616
2023-01-07 01:05:00,155339,121723
2023-01-07 01:30:00,155490,121958
2023-01-07 01:55:00,155253,121806
2023-01-07 02:20:00,154884,121706
2023-01-07 02:45:00,154944,121779
2023-01-07 03:10:00,154604,121631
2023-01-07 03:35:00,154529,121606
2023-01-07 04:00:00,154405,121572
2023-01-07 04:25:00,154253,121438
2023-01-07 04:50:00,154162,121455
2023-01-07 05:15:00,154012,121342
2023-01-07 05:40:00,154677,122036
2023-01-07 06:05:00,154099,121506
2023-01-07 06:30:00,153683,121245
2023-01-07 06:55:00,153403,121183
2023-01-07 07:20:00,153560,121189
2023-01-07 07:45:00,153638,121320
2023-01-07 08:10:00,153451,121245
2023-01-07 08:35:00,153321,121128
2023-01-07 09:00:00,153158,121078
2023-01-07 09:25:00,153104,121102
2023-01-07 09:50:00,152957,120951
2023-01-07 10:15:00,153088,121138
2023-01-07 10:40:00,152922,121091
2023-01-07 11:05:00,152832,120955
2023-01-07 11:30:00,152451,120761
2023-01-07 11:55:00,153141,121322
2023-01-07 12:20:00,152718,121112
2023-01-07 12:45:00,153182,121716
2023-01-07 13:10:00,152917,121269
2023-01-07 13:35:00,152257,120833
2023-01-07 14:00:00,152082,120709
2023-01-07 14:25:00,152351,120948
2023-01-07 14:50:00,135911,111909
2023-01-07 15:15:00,83394,83394
2023-01-07 15:40:00,83384,83384
2023-01-07 16:05:00,83404,83404
2023-01-07 16:30:00,83346,83346
2023-01-07 16:55:00,83355,83355
2023-01-07 17:20:00,83383,83383
2023-01-07 17:45:00,83300,83301
2023-01-07 18:10:00,83441,83441
2023-01-07 18:35:00,83350,83350
2023-01-07 19:00:00,83350,83350
2023-01-07 19:25:00,83464,83464
2023-01-07 19:50:00,83324,83324
2023-01-07 20:15:00,83416,83416

