sep=,
"Time","gitlab-workhorse"
2023-01-05 20:30:00,
2023-01-05 20:45:00,
2023-01-05 21:00:00,
2023-01-05 21:15:00,
2023-01-05 21:30:00,
2023-01-05 21:45:00,
2023-01-05 22:00:00,
2023-01-05 22:15:00,
2023-01-05 22:30:00,
2023-01-05 22:45:00,
2023-01-05 23:00:00,
2023-01-05 23:15:00,
2023-01-05 23:30:00,
2023-01-05 23:45:00,
2023-01-06 00:00:00,
2023-01-06 00:15:00,
2023-01-06 00:30:00,
2023-01-06 00:45:00,
2023-01-06 01:00:00,
2023-01-06 01:15:00,
2023-01-06 01:30:00,
2023-01-06 01:45:00,
2023-01-06 02:00:00,
2023-01-06 02:15:00,
2023-01-06 02:30:00,
2023-01-06 02:45:00,
2023-01-06 03:00:00,
2023-01-06 03:15:00,
2023-01-06 03:30:00,
2023-01-06 03:45:00,
2023-01-06 04:00:00,
2023-01-06 04:15:00,
2023-01-06 04:30:00,
2023-01-06 04:45:00,
2023-01-06 05:00:00,
2023-01-06 05:15:00,
2023-01-06 05:30:00,
2023-01-06 05:45:00,
2023-01-06 06:00:00,
2023-01-06 06:15:00,
2023-01-06 06:30:00,
2023-01-06 06:45:00,
2023-01-06 07:00:00,
2023-01-06 07:15:00,
2023-01-06 07:30:00,
2023-01-06 07:45:00,
2023-01-06 08:00:00,
2023-01-06 08:15:00,
2023-01-06 08:30:00,
2023-01-06 08:45:00,
2023-01-06 09:00:00,
2023-01-06 09:15:00,
2023-01-06 09:30:00,
2023-01-06 09:45:00,
2023-01-06 10:00:00,
2023-01-06 10:15:00,
2023-01-06 10:30:00,
2023-01-06 10:45:00,
2023-01-06 11:00:00,
2023-01-06 11:15:00,
2023-01-06 11:30:00,0.00833
2023-01-06 11:45:00,6.65
2023-01-06 12:00:00,9.57
2023-01-06 12:15:00,13.6
2023-01-06 12:30:00,13.5
2023-01-06 12:45:00,15.3
2023-01-06 13:00:00,16.9
2023-01-06 13:15:00,17.4
2023-01-06 13:30:00,16.8
2023-01-06 13:45:00,16.5
2023-01-06 14:00:00,24.1
2023-01-06 14:15:00,32.6
2023-01-06 14:30:00,31.5
2023-01-06 14:45:00,30.5
2023-01-06 15:00:00,29.6
2023-01-06 15:15:00,28.8
2023-01-06 15:30:00,28.2
2023-01-06 15:45:00,27.6
2023-01-06 16:00:00,27.1
2023-01-06 16:15:00,26.6
2023-01-06 16:30:00,26.2
2023-01-06 16:45:00,25.8
2023-01-06 17:00:00,25.8
2023-01-06 17:15:00,25.9
2023-01-06 17:30:00,25.6
2023-01-06 17:45:00,25.6
2023-01-06 18:00:00,25.4
2023-01-06 18:15:00,25.3
2023-01-06 18:30:00,25.0
2023-01-06 18:45:00,24.9
2023-01-06 19:00:00,25.1
2023-01-06 19:15:00,24.8
2023-01-06 19:30:00,24.8
2023-01-06 19:45:00,24.6
2023-01-06 20:00:00,24.5
2023-01-06 20:15:00,24.4
2023-01-06 20:30:00,24.3
2023-01-06 20:45:00,24.1
2023-01-06 21:00:00,24.0
2023-01-06 21:15:00,23.9
2023-01-06 21:30:00,23.9
2023-01-06 21:45:00,23.8
2023-01-06 22:00:00,23.7
2023-01-06 22:15:00,23.7
2023-01-06 22:30:00,23.6
2023-01-06 22:45:00,23.5
2023-01-06 23:00:00,23.5
2023-01-06 23:15:00,23.4
2023-01-06 23:30:00,23.2
2023-01-06 23:45:00,23.1
2023-01-07 00:00:00,23.1
2023-01-07 00:15:00,22.7
2023-01-07 00:30:00,22.4
2023-01-07 00:45:00,22.1
2023-01-07 01:00:00,22.2
2023-01-07 01:15:00,22.2
2023-01-07 01:30:00,22.2
2023-01-07 01:45:00,22.1
2023-01-07 02:00:00,22.0
2023-01-07 02:15:00,21.9
2023-01-07 02:30:00,22.0
2023-01-07 02:45:00,21.9
2023-01-07 03:00:00,21.8
2023-01-07 03:15:00,21.8
2023-01-07 03:30:00,21.7
2023-01-07 03:45:00,21.7
2023-01-07 04:00:00,21.7
2023-01-07 04:15:00,21.6
2023-01-07 04:30:00,21.7
2023-01-07 04:45:00,21.6
2023-01-07 05:00:00,21.6
2023-01-07 05:15:00,21.5
2023-01-07 05:30:00,21.6
2023-01-07 05:45:00,21.5
2023-01-07 06:00:00,21.4
2023-01-07 06:15:00,21.4
2023-01-07 06:30:00,21.4
2023-01-07 06:45:00,21.1
2023-01-07 07:00:00,21.4
2023-01-07 07:15:00,21.3
2023-01-07 07:30:00,21.3
2023-01-07 07:45:00,21.3
2023-01-07 08:00:00,21.2
2023-01-07 08:15:00,21.2
2023-01-07 08:30:00,21.1
2023-01-07 08:45:00,21.2
2023-01-07 09:00:00,21.0
2023-01-07 09:15:00,21.0
2023-01-07 09:30:00,21.1
2023-01-07 09:45:00,21.0
2023-01-07 10:00:00,21.0
2023-01-07 10:15:00,21.0
2023-01-07 10:30:00,20.9
2023-01-07 10:45:00,20.9
2023-01-07 11:00:00,21.0
2023-01-07 11:15:00,20.9
2023-01-07 11:30:00,20.8
2023-01-07 11:45:00,20.8
2023-01-07 12:00:00,21.0
2023-01-07 12:15:00,20.8
2023-01-07 12:30:00,20.7
2023-01-07 12:45:00,20.6
2023-01-07 13:00:00,20.7
2023-01-07 13:15:00,20.7
2023-01-07 13:30:00,20.6
