sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-12-25 22:30:00,,,,,,,,,
2022-12-25 22:45:00,,,,,,,,,
2022-12-25 23:00:00,,,,,,,,,
2022-12-25 23:15:00,,,,,,,,,
2022-12-25 23:30:00,,,,,,,,,
2022-12-25 23:45:00,,,,,,,,,
2022-12-26 00:00:00,,,,,,,,,
2022-12-26 00:15:00,,,,,,,,,
2022-12-26 00:30:00,,,,,,,,,
2022-12-26 00:45:00,,,,,,,,,
2022-12-26 01:00:00,,,,,,,,,
2022-12-26 01:15:00,,,,,,,,,
2022-12-26 01:30:00,,,,,,,,,
2022-12-26 01:45:00,,,,,,,,,
2022-12-26 02:00:00,,,,,,,,,
2022-12-26 02:15:00,,,,,,,,,
2022-12-26 02:30:00,,,,,,,,,
2022-12-26 02:45:00,,,,,,,,,
2022-12-26 03:00:00,,,,,,,,,
2022-12-26 03:15:00,,,,,,,,,
2022-12-26 03:30:00,,,,,,,,,
2022-12-26 03:45:00,,,,,,,,,
2022-12-26 04:00:00,,,,,,,,,
2022-12-26 04:15:00,,,,,,,,,
2022-12-26 04:30:00,,,,,,,,,
2022-12-26 04:45:00,,,,,,,,,
2022-12-26 05:00:00,,,,,,,,,
2022-12-26 05:15:00,,,,,,,,,
2022-12-26 05:30:00,,,,,,,,,
2022-12-26 05:45:00,,,,,,,,,
2022-12-26 06:00:00,,,,,,,,,
2022-12-26 06:15:00,,,,,,,,,
2022-12-26 06:30:00,,,,,,,,,
2022-12-26 06:45:00,,,,,,,,,
2022-12-26 07:00:00,,,,,,,,,
2022-12-26 07:15:00,,,,,,,,,
2022-12-26 07:30:00,,,,,,,,,
2022-12-26 07:45:00,,,,,,,,,
2022-12-26 08:00:00,,,,,,,,,
2022-12-26 08:15:00,,,,,,,,,
2022-12-26 08:30:00,,,,,,,,,
2022-12-26 08:45:00,,,,,,,,,
2022-12-26 09:00:00,,,,,,,,,
2022-12-26 09:15:00,,,,,,,,,
2022-12-26 09:30:00,,,,,,,,,
2022-12-26 09:45:00,0.0714,0.452,0.331,0.713,0.0173,0.00218,0.00820,0.452,0.0170
2022-12-26 10:00:00,0.200,0.625,0.336,0.728,0.0315,0.00312,0.00960,0.625,0.0209
2022-12-26 10:15:00,0.190,0.580,0.341,0.727,0.0305,0.00342,0.00920,0.580,0.0207
2022-12-26 10:30:00,0.179,0.674,0.350,0.733,0.0333,0.00328,0.00920,0.674,0.0216
2022-12-26 10:45:00,0.136,0.642,0.359,0.743,0.0331,0.00442,0.0113,0.642,0.0290
2022-12-26 11:00:00,0.133,0.648,0.366,0.736,0.0307,0.00502,0.0111,0.648,0.0256
2022-12-26 11:15:00,0.190,0.647,0.369,0.731,0.0301,0.00328,0.00980,0.647,0.0234
2022-12-26 11:30:00,0.111,0.641,0.376,0.729,0.0301,0.00318,0.00930,0.641,0.0241
2022-12-26 11:45:00,0.125,0.631,0.384,0.737,0.0304,0.00326,0.00910,0.631,0.0242
2022-12-26 12:00:00,0.125,0.626,0.392,0.737,0.0297,0.00348,0.00980,0.626,0.0236
2022-12-26 12:15:00,0.250,0.353,0.394,0.727,0.0267,0.00362,0.00820,0.353,0.0145
2022-12-26 12:30:00,0.200,0.350,0.398,0.726,0.00147,0.00348,0.00830,0.350,0.0136
2022-12-26 12:45:00,0.273,0.354,0.403,0.738,0.00147,0.00310,0.00760,0.354,0.0138
2022-12-26 13:00:00,0.300,0.354,0.408,0.738,0.00147,0.00308,0.00820,0.354,0.0134
2022-12-26 13:15:00,0.200,0.366,0.413,0.759,0.00147,0.00326,0.00800,0.366,0.0133
2022-12-26 13:30:00,0.273,0.359,0.417,0.757,0.00147,0.00310,0.00720,0.359,0.0129
2022-12-26 13:45:00,0.200,0.360,0.422,0.763,0.00147,0.00308,0.00830,0.360,0.0135
2022-12-26 14:00:00,0.273,0.359,0.426,0.760,0.00147,0.00308,0.00840,0.359,0.0128
2022-12-26 14:15:00,0.182,0.372,0.427,0.765,0.00147,0.00346,0.00800,0.372,0.0128
2022-12-26 14:30:00,0.182,0.366,0.431,0.779,0.00147,0.00316,0.00820,0.366,0.0129
2022-12-26 14:45:00,0.200,0.378,0.435,0.785,0.00147,0.00310,0.00830,0.378,0.0131
2022-12-26 15:00:00,0.182,0.369,0.439,0.783,0.00147,0.00304,0.00810,0.369,0.0127
2022-12-26 15:15:00,0.250,0.373,0.441,0.781,0.00147,0.00318,0.00770,0.373,0.0129
2022-12-26 15:30:00,0.167,0.376,0.445,0.788,0.00147,0.00310,0.00790,0.376,0.0129
2022-12-26 15:45:00,0.200,0.379,0.450,0.790,0.00147,0.00312,0.00850,0.379,0.0126
2022-12-26 16:00:00,0.300,0.377,0.454,0.788,0.00147,0.00310,0.00810,0.377,0.0127
