sep=,
"Time","localhost:9100"
2022-10-27 23:31:40,
2022-10-27 23:33:20,
2022-10-27 23:35:00,
2022-10-27 23:36:40,
2022-10-27 23:38:20,
2022-10-27 23:40:00,
2022-10-27 23:41:40,
2022-10-27 23:43:20,
2022-10-27 23:45:00,
2022-10-27 23:46:40,
2022-10-27 23:48:20,
2022-10-27 23:50:00,
2022-10-27 23:51:40,
2022-10-27 23:53:20,
2022-10-27 23:55:00,
2022-10-27 23:56:40,
2022-10-27 23:58:20,
2022-10-28 00:00:00,
2022-10-28 00:01:40,
2022-10-28 00:03:20,
2022-10-28 00:05:00,
2022-10-28 00:06:40,
2022-10-28 00:08:20,
2022-10-28 00:10:00,
2022-10-28 00:11:40,
2022-10-28 00:13:20,
2022-10-28 00:15:00,
2022-10-28 00:16:40,
2022-10-28 00:18:20,
2022-10-28 00:20:00,
2022-10-28 00:21:40,
2022-10-28 00:23:20,
2022-10-28 00:25:00,
2022-10-28 00:26:40,
2022-10-28 00:28:20,
2022-10-28 00:30:00,
2022-10-28 00:31:40,
2022-10-28 00:33:20,
2022-10-28 00:35:00,
2022-10-28 00:36:40,
2022-10-28 00:38:20,
2022-10-28 00:40:00,
2022-10-28 00:41:40,
2022-10-28 00:43:20,
2022-10-28 00:45:00,
2022-10-28 00:46:40,
2022-10-28 00:48:20,
2022-10-28 00:50:00,
2022-10-28 00:51:40,
2022-10-28 00:53:20,
2022-10-28 00:55:00,
2022-10-28 00:56:40,
2022-10-28 00:58:20,
2022-10-28 01:00:00,
2022-10-28 01:01:40,
2022-10-28 01:03:20,
2022-10-28 01:05:00,
2022-10-28 01:06:40,
2022-10-28 01:08:20,
2022-10-28 01:10:00,
2022-10-28 01:11:40,
2022-10-28 01:13:20,
2022-10-28 01:15:00,
2022-10-28 01:16:40,
2022-10-28 01:18:20,
2022-10-28 01:20:00,
2022-10-28 01:21:40,
2022-10-28 01:23:20,
2022-10-28 01:25:00,
2022-10-28 01:26:40,
2022-10-28 01:28:20,
2022-10-28 01:30:00,
2022-10-28 01:31:40,
2022-10-28 01:33:20,
2022-10-28 01:35:00,
2022-10-28 01:36:40,
2022-10-28 01:38:20,
2022-10-28 01:40:00,
2022-10-28 01:41:40,
2022-10-28 01:43:20,
2022-10-28 01:45:00,
2022-10-28 01:46:40,
2022-10-28 01:48:20,
2022-10-28 01:50:00,
2022-10-28 01:51:40,
2022-10-28 01:53:20,
2022-10-28 01:55:00,
2022-10-28 01:56:40,
2022-10-28 01:58:20,
2022-10-28 02:00:00,0.186
2022-10-28 02:01:40,0.126
2022-10-28 02:03:20,0.131
2022-10-28 02:05:00,0.128
2022-10-28 02:06:40,0.125
2022-10-28 02:08:20,0.126
2022-10-28 02:10:00,0.127
2022-10-28 02:11:40,0.127
2022-10-28 02:13:20,0.128
2022-10-28 02:15:00,0.131
2022-10-28 02:16:40,0.294
2022-10-28 02:18:20,0.223
2022-10-28 02:20:00,0.251
2022-10-28 02:21:40,0.275
2022-10-28 02:23:20,0.256
2022-10-28 02:25:00,0.301
2022-10-28 02:26:40,0.285
2022-10-28 02:28:20,0.250
2022-10-28 02:30:00,0.243
2022-10-28 02:31:40,0.247
2022-10-28 02:33:20,0.253
2022-10-28 02:35:00,0.231
2022-10-28 02:36:40,0.240
2022-10-28 02:38:20,0.247
2022-10-28 02:40:00,0.246
2022-10-28 02:41:40,0.265
2022-10-28 02:43:20,0.252
2022-10-28 02:45:00,0.216
2022-10-28 02:46:40,0.142
2022-10-28 02:48:20,0.125
2022-10-28 02:50:00,0.144
2022-10-28 02:51:40,0.165
2022-10-28 02:53:20,0.128
2022-10-28 02:55:00,0.143
2022-10-28 02:56:40,0.126
2022-10-28 02:58:20,0.124
2022-10-28 03:00:00,0.122
2022-10-28 03:01:40,0.143
2022-10-28 03:03:20,0.187
2022-10-28 03:05:00,0.163
2022-10-28 03:06:40,0.174
2022-10-28 03:08:20,0.213
2022-10-28 03:10:00,0.223
2022-10-28 03:11:40,0.241
2022-10-28 03:13:20,0.206
2022-10-28 03:15:00,0.214
2022-10-28 03:16:40,0.185
2022-10-28 03:18:20,0.231
2022-10-28 03:20:00,0.161
2022-10-28 03:21:40,0.186
2022-10-28 03:23:20,0.172
2022-10-28 03:25:00,0.171
2022-10-28 03:26:40,0.154
2022-10-28 03:28:20,0.156
2022-10-28 03:30:00,0.168
2022-10-28 03:31:40,0.164
2022-10-28 03:33:20,0.152
2022-10-28 03:35:00,0.164
2022-10-28 03:36:40,0.155
2022-10-28 03:38:20,0.168
2022-10-28 03:40:00,0.156
2022-10-28 03:41:40,0.149
2022-10-28 03:43:20,0.142
2022-10-28 03:45:00,0.150
2022-10-28 03:46:40,0.158
2022-10-28 03:48:20,0.158
2022-10-28 03:50:00,0.190
2022-10-28 03:51:40,0.167
2022-10-28 03:53:20,0.173
2022-10-28 03:55:00,0.181
2022-10-28 03:56:40,0.174
2022-10-28 03:58:20,0.170
2022-10-28 04:00:00,0.178
2022-10-28 04:01:40,0.210
2022-10-28 04:03:20,0.225
2022-10-28 04:05:00,0.215
2022-10-28 04:06:40,0.185
2022-10-28 04:08:20,0.185
2022-10-28 04:10:00,0.194
2022-10-28 04:11:40,0.199
2022-10-28 04:13:20,0.204
2022-10-28 04:15:00,0.219
2022-10-28 04:16:40,0.213
2022-10-28 04:18:20,0.222
2022-10-28 04:20:00,0.233
2022-10-28 04:21:40,0.192
2022-10-28 04:23:20,0.207
2022-10-28 04:25:00,0.206
2022-10-28 04:26:40,0.181
2022-10-28 04:28:20,0.171
2022-10-28 04:30:00,0.193
2022-10-28 04:31:40,0.168
2022-10-28 04:33:20,0.165
2022-10-28 04:35:00,0.171
2022-10-28 04:36:40,0.164
2022-10-28 04:38:20,0.165
2022-10-28 04:40:00,0.171
2022-10-28 04:41:40,0.169
2022-10-28 04:43:20,0.168
2022-10-28 04:45:00,0.183
2022-10-28 04:46:40,0.171
2022-10-28 04:48:20,0.174
2022-10-28 04:50:00,0.200
2022-10-28 04:51:40,0.161
2022-10-28 04:53:20,0.159
2022-10-28 04:55:00,0.173
2022-10-28 04:56:40,0.159
2022-10-28 04:58:20,0.164
2022-10-28 05:00:00,0.163
2022-10-28 05:01:40,0.163
2022-10-28 05:03:20,0.167
2022-10-28 05:05:00,0.172
2022-10-28 05:06:40,0.171
2022-10-28 05:08:20,0.167
2022-10-28 05:10:00,0.170
2022-10-28 05:11:40,0.169
2022-10-28 05:13:20,0.0820
2022-10-28 05:15:00,0.0531
2022-10-28 05:16:40,0.0538
2022-10-28 05:18:20,0.0541
2022-10-28 05:20:00,0.0511
2022-10-28 05:21:40,0.0521
2022-10-28 05:23:20,0.0533
2022-10-28 05:25:00,0.0560
2022-10-28 05:26:40,0.0527
2022-10-28 05:28:20,0.0492
2022-10-28 05:30:00,0.0486
2022-10-28 05:31:40,0.288

