sep=,
"Time","localhost:9100"
2022-10-27 23:33:00,
2022-10-27 23:34:00,
2022-10-27 23:35:00,
2022-10-27 23:36:00,
2022-10-27 23:37:00,
2022-10-27 23:38:00,
2022-10-27 23:39:00,
2022-10-27 23:40:00,
2022-10-27 23:41:00,
2022-10-27 23:42:00,
2022-10-27 23:43:00,
2022-10-27 23:44:00,
2022-10-27 23:45:00,
2022-10-27 23:46:00,
2022-10-27 23:47:00,
2022-10-27 23:48:00,
2022-10-27 23:49:00,
2022-10-27 23:50:00,
2022-10-27 23:51:00,
2022-10-27 23:52:00,
2022-10-27 23:53:00,
2022-10-27 23:54:00,
2022-10-27 23:55:00,
2022-10-27 23:56:00,
2022-10-27 23:57:00,
2022-10-27 23:58:00,
2022-10-27 23:59:00,
2022-10-28 00:00:00,
2022-10-28 00:01:00,
2022-10-28 00:02:00,
2022-10-28 00:03:00,
2022-10-28 00:04:00,
2022-10-28 00:05:00,
2022-10-28 00:06:00,
2022-10-28 00:07:00,
2022-10-28 00:08:00,
2022-10-28 00:09:00,
2022-10-28 00:10:00,
2022-10-28 00:11:00,
2022-10-28 00:12:00,
2022-10-28 00:13:00,
2022-10-28 00:14:00,
2022-10-28 00:15:00,
2022-10-28 00:16:00,
2022-10-28 00:17:00,
2022-10-28 00:18:00,
2022-10-28 00:19:00,
2022-10-28 00:20:00,
2022-10-28 00:21:00,
2022-10-28 00:22:00,
2022-10-28 00:23:00,
2022-10-28 00:24:00,
2022-10-28 00:25:00,
2022-10-28 00:26:00,
2022-10-28 00:27:00,
2022-10-28 00:28:00,
2022-10-28 00:29:00,
2022-10-28 00:30:00,
2022-10-28 00:31:00,
2022-10-28 00:32:00,
2022-10-28 00:33:00,
2022-10-28 00:34:00,
2022-10-28 00:35:00,
2022-10-28 00:36:00,
2022-10-28 00:37:00,
2022-10-28 00:38:00,
2022-10-28 00:39:00,
2022-10-28 00:40:00,
2022-10-28 00:41:00,
2022-10-28 00:42:00,
2022-10-28 00:43:00,
2022-10-28 00:44:00,
2022-10-28 00:45:00,
2022-10-28 00:46:00,
2022-10-28 00:47:00,
2022-10-28 00:48:00,
2022-10-28 00:49:00,
2022-10-28 00:50:00,
2022-10-28 00:51:00,
2022-10-28 00:52:00,
2022-10-28 00:53:00,
2022-10-28 00:54:00,
2022-10-28 00:55:00,
2022-10-28 00:56:00,
2022-10-28 00:57:00,
2022-10-28 00:58:00,
2022-10-28 00:59:00,
2022-10-28 01:00:00,
2022-10-28 01:01:00,
2022-10-28 01:02:00,
2022-10-28 01:03:00,
2022-10-28 01:04:00,
2022-10-28 01:05:00,
2022-10-28 01:06:00,
2022-10-28 01:07:00,
2022-10-28 01:08:00,
2022-10-28 01:09:00,
2022-10-28 01:10:00,
2022-10-28 01:11:00,
2022-10-28 01:12:00,
2022-10-28 01:13:00,
2022-10-28 01:14:00,
2022-10-28 01:15:00,
2022-10-28 01:16:00,
2022-10-28 01:17:00,
2022-10-28 01:18:00,
2022-10-28 01:19:00,
2022-10-28 01:20:00,
2022-10-28 01:21:00,
2022-10-28 01:22:00,
2022-10-28 01:23:00,
2022-10-28 01:24:00,
2022-10-28 01:25:00,
2022-10-28 01:26:00,
2022-10-28 01:27:00,
2022-10-28 01:28:00,
2022-10-28 01:29:00,
2022-10-28 01:30:00,
2022-10-28 01:31:00,
2022-10-28 01:32:00,
2022-10-28 01:33:00,
2022-10-28 01:34:00,
2022-10-28 01:35:00,
2022-10-28 01:36:00,
2022-10-28 01:37:00,
2022-10-28 01:38:00,
2022-10-28 01:39:00,
2022-10-28 01:40:00,
2022-10-28 01:41:00,
2022-10-28 01:42:00,
2022-10-28 01:43:00,
2022-10-28 01:44:00,
2022-10-28 01:45:00,
2022-10-28 01:46:00,
2022-10-28 01:47:00,
2022-10-28 01:48:00,
2022-10-28 01:49:00,
2022-10-28 01:50:00,
2022-10-28 01:51:00,
2022-10-28 01:52:00,
2022-10-28 01:53:00,
2022-10-28 01:54:00,
2022-10-28 01:55:00,
2022-10-28 01:56:00,
2022-10-28 01:57:00,
2022-10-28 01:58:00,
2022-10-28 01:59:00,0.472
2022-10-28 02:00:00,0.126
2022-10-28 02:01:00,0.125
2022-10-28 02:02:00,0.132
2022-10-28 02:03:00,0.136
2022-10-28 02:04:00,0.134
2022-10-28 02:05:00,0.131
2022-10-28 02:06:00,0.128
2022-10-28 02:07:00,0.129
2022-10-28 02:08:00,0.127
2022-10-28 02:09:00,0.130
2022-10-28 02:10:00,0.131
2022-10-28 02:11:00,0.128
2022-10-28 02:12:00,0.128
2022-10-28 02:13:00,0.131
2022-10-28 02:14:00,0.129
2022-10-28 02:15:00,0.135
2022-10-28 02:16:00,0.274
2022-10-28 02:17:00,0.261
2022-10-28 02:18:00,0.235
2022-10-28 02:19:00,0.238
2022-10-28 02:20:00,0.284
2022-10-28 02:21:00,0.284
2022-10-28 02:22:00,0.277
2022-10-28 02:23:00,0.266
2022-10-28 02:24:00,0.308
2022-10-28 02:25:00,0.305
2022-10-28 02:26:00,0.301
2022-10-28 02:27:00,0.258
2022-10-28 02:28:00,0.260
2022-10-28 02:29:00,0.277
2022-10-28 02:30:00,0.265
2022-10-28 02:31:00,0.268
2022-10-28 02:32:00,0.248
2022-10-28 02:33:00,0.263
2022-10-28 02:34:00,0.240
2022-10-28 02:35:00,0.247
2022-10-28 02:36:00,0.250
2022-10-28 02:37:00,0.258
2022-10-28 02:38:00,0.254
2022-10-28 02:39:00,0.289
2022-10-28 02:40:00,0.230
2022-10-28 02:41:00,0.294
2022-10-28 02:42:00,0.258
2022-10-28 02:43:00,0.265
2022-10-28 02:44:00,0.352
2022-10-28 02:45:00,0.130
2022-10-28 02:46:00,0.156
2022-10-28 02:47:00,0.146
2022-10-28 02:48:00,0.137
2022-10-28 02:49:00,0.139
2022-10-28 02:50:00,0.169
2022-10-28 02:51:00,0.190
2022-10-28 02:52:00,0.139
2022-10-28 02:53:00,0.145
2022-10-28 02:54:00,0.161
2022-10-28 02:55:00,0.157
2022-10-28 02:56:00,0.134
2022-10-28 02:57:00,0.136
2022-10-28 02:58:00,0.130
2022-10-28 02:59:00,0.137
2022-10-28 03:00:00,0.125
2022-10-28 03:01:00,0.154
2022-10-28 03:02:00,0.149
2022-10-28 03:03:00,0.184
2022-10-28 03:04:00,0.154
2022-10-28 03:05:00,0.193
2022-10-28 03:06:00,0.182
2022-10-28 03:07:00,0.184
2022-10-28 03:08:00,0.264
2022-10-28 03:09:00,0.289
2022-10-28 03:10:00,0.176
2022-10-28 03:11:00,0.277
2022-10-28 03:12:00,0.192
2022-10-28 03:13:00,0.226
2022-10-28 03:14:00,0.250
2022-10-28 03:15:00,0.174
2022-10-28 03:16:00,0.166
2022-10-28 03:17:00,0.214
2022-10-28 03:18:00,0.270
2022-10-28 03:19:00,0.174
2022-10-28 03:20:00,0.162
2022-10-28 03:21:00,0.187
2022-10-28 03:22:00,0.193
2022-10-28 03:23:00,0.176
2022-10-28 03:24:00,0.188
2022-10-28 03:25:00,0.167
2022-10-28 03:26:00,0.154
2022-10-28 03:27:00,0.156
2022-10-28 03:28:00,0.172
2022-10-28 03:29:00,0.177
2022-10-28 03:30:00,0.188
2022-10-28 03:31:00,0.182
2022-10-28 03:32:00,0.162
2022-10-28 03:33:00,0.160
2022-10-28 03:34:00,0.178
2022-10-28 03:35:00,0.179
2022-10-28 03:36:00,0.165
2022-10-28 03:37:00,0.169
2022-10-28 03:38:00,0.169
2022-10-28 03:39:00,0.197
2022-10-28 03:40:00,0.152
2022-10-28 03:41:00,0.161
2022-10-28 03:42:00,0.154
2022-10-28 03:43:00,0.153
2022-10-28 03:44:00,0.159
2022-10-28 03:45:00,0.167
2022-10-28 03:46:00,0.165
2022-10-28 03:47:00,0.190
2022-10-28 03:48:00,0.157
2022-10-28 03:49:00,0.212
2022-10-28 03:50:00,0.197
2022-10-28 03:51:00,0.199
2022-10-28 03:52:00,0.176
2022-10-28 03:53:00,0.197
2022-10-28 03:54:00,0.177
2022-10-28 03:55:00,0.199
2022-10-28 03:56:00,0.199
2022-10-28 03:57:00,0.201
2022-10-28 03:58:00,0.164
2022-10-28 03:59:00,0.186
2022-10-28 04:00:00,0.179
2022-10-28 04:01:00,0.193
2022-10-28 04:02:00,0.260
2022-10-28 04:03:00,0.236
2022-10-28 04:04:00,0.263
2022-10-28 04:05:00,0.191
2022-10-28 04:06:00,0.191
2022-10-28 04:07:00,0.191
2022-10-28 04:08:00,0.189
2022-10-28 04:09:00,0.203
2022-10-28 04:10:00,0.218
2022-10-28 04:11:00,0.205
2022-10-28 04:12:00,0.219
2022-10-28 04:13:00,0.206
2022-10-28 04:14:00,0.225
2022-10-28 04:15:00,0.227
2022-10-28 04:16:00,0.218
2022-10-28 04:17:00,0.227
2022-10-28 04:18:00,0.239
2022-10-28 04:19:00,0.231
2022-10-28 04:20:00,0.257
2022-10-28 04:21:00,0.203
2022-10-28 04:22:00,0.215
2022-10-28 04:23:00,0.216
2022-10-28 04:24:00,0.210
2022-10-28 04:25:00,0.202
2022-10-28 04:26:00,0.201
2022-10-28 04:27:00,0.182
2022-10-28 04:28:00,0.174
2022-10-28 04:29:00,0.184
2022-10-28 04:30:00,0.202
2022-10-28 04:31:00,0.186
2022-10-28 04:32:00,0.167
2022-10-28 04:33:00,0.176
2022-10-28 04:34:00,0.175
2022-10-28 04:35:00,0.201
2022-10-28 04:36:00,0.179
2022-10-28 04:37:00,0.161
2022-10-28 04:38:00,0.158
2022-10-28 04:39:00,0.188
2022-10-28 04:40:00,0.174
2022-10-28 04:41:00,0.186
2022-10-28 04:42:00,0.181
2022-10-28 04:43:00,0.165
2022-10-28 04:44:00,0.200
2022-10-28 04:45:00,0.197
2022-10-28 04:46:00,0.200
2022-10-28 04:47:00,0.180
2022-10-28 04:48:00,0.178
2022-10-28 04:49:00,0.198
2022-10-28 04:50:00,0.217
2022-10-28 04:51:00,0.163
2022-10-28 04:52:00,0.165
2022-10-28 04:53:00,0.169
2022-10-28 04:54:00,0.184
2022-10-28 04:55:00,0.198
2022-10-28 04:56:00,0.171
2022-10-28 04:57:00,0.174
2022-10-28 04:58:00,0.156
2022-10-28 04:59:00,0.168
2022-10-28 05:00:00,0.172
2022-10-28 05:01:00,0.172
2022-10-28 05:02:00,0.165
2022-10-28 05:03:00,0.167
2022-10-28 05:04:00,0.172
2022-10-28 05:05:00,0.177
2022-10-28 05:06:00,0.181
2022-10-28 05:07:00,0.182
2022-10-28 05:08:00,0.180
2022-10-28 05:09:00,0.188
2022-10-28 05:10:00,0.170
2022-10-28 05:11:00,0.183
2022-10-28 05:12:00,0.178
2022-10-28 05:13:00,0.0627
2022-10-28 05:14:00,0.0668
2022-10-28 05:15:00,0.0547
2022-10-28 05:16:00,0.0553
2022-10-28 05:17:00,0.0569
2022-10-28 05:18:00,0.0591
2022-10-28 05:19:00,0.0563
2022-10-28 05:20:00,0.0546
2022-10-28 05:21:00,0.0535
2022-10-28 05:22:00,0.0551
2022-10-28 05:23:00,0.0547
2022-10-28 05:24:00,0.0606
2022-10-28 05:25:00,0.0616
2022-10-28 05:26:00,0.0524
2022-10-28 05:27:00,0.0552
2022-10-28 05:28:00,0.0560
2022-10-28 05:29:00,0.0546
2022-10-28 05:30:00,0.0514
2022-10-28 05:31:00,0.293
2022-10-28 05:32:00,0.286
2022-10-28 05:33:00,0.333

