sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-10-27 23:31:00,,,,,,,,,
2022-10-27 23:32:00,,,,,,,,,
2022-10-27 23:33:00,,,,,,,,,
2022-10-27 23:34:00,,,,,,,,,
2022-10-27 23:35:00,,,,,,,,,
2022-10-27 23:36:00,,,,,,,,,
2022-10-27 23:37:00,,,,,,,,,
2022-10-27 23:38:00,,,,,,,,,
2022-10-27 23:39:00,,,,,,,,,
2022-10-27 23:40:00,,,,,,,,,
2022-10-27 23:41:00,,,,,,,,,
2022-10-27 23:42:00,,,,,,,,,
2022-10-27 23:43:00,,,,,,,,,
2022-10-27 23:44:00,,,,,,,,,
2022-10-27 23:45:00,,,,,,,,,
2022-10-27 23:46:00,,,,,,,,,
2022-10-27 23:47:00,,,,,,,,,
2022-10-27 23:48:00,,,,,,,,,
2022-10-27 23:49:00,,,,,,,,,
2022-10-27 23:50:00,,,,,,,,,
2022-10-27 23:51:00,,,,,,,,,
2022-10-27 23:52:00,,,,,,,,,
2022-10-27 23:53:00,,,,,,,,,
2022-10-27 23:54:00,,,,,,,,,
2022-10-27 23:55:00,,,,,,,,,
2022-10-27 23:56:00,,,,,,,,,
2022-10-27 23:57:00,,,,,,,,,
2022-10-27 23:58:00,,,,,,,,,
2022-10-27 23:59:00,,,,,,,,,
2022-10-28 00:00:00,,,,,,,,,
2022-10-28 00:01:00,,,,,,,,,
2022-10-28 00:02:00,,,,,,,,,
2022-10-28 00:03:00,,,,,,,,,
2022-10-28 00:04:00,,,,,,,,,
2022-10-28 00:05:00,,,,,,,,,
2022-10-28 00:06:00,,,,,,,,,
2022-10-28 00:07:00,,,,,,,,,
2022-10-28 00:08:00,,,,,,,,,
2022-10-28 00:09:00,,,,,,,,,
2022-10-28 00:10:00,,,,,,,,,
2022-10-28 00:11:00,,,,,,,,,
2022-10-28 00:12:00,,,,,,,,,
2022-10-28 00:13:00,,,,,,,,,
2022-10-28 00:14:00,,,,,,,,,
2022-10-28 00:15:00,,,,,,,,,
2022-10-28 00:16:00,,,,,,,,,
2022-10-28 00:17:00,,,,,,,,,
2022-10-28 00:18:00,,,,,,,,,
2022-10-28 00:19:00,,,,,,,,,
2022-10-28 00:20:00,,,,,,,,,
2022-10-28 00:21:00,,,,,,,,,
2022-10-28 00:22:00,,,,,,,,,
2022-10-28 00:23:00,,,,,,,,,
2022-10-28 00:24:00,,,,,,,,,
2022-10-28 00:25:00,,,,,,,,,
2022-10-28 00:26:00,,,,,,,,,
2022-10-28 00:27:00,,,,,,,,,
2022-10-28 00:28:00,,,,,,,,,
2022-10-28 00:29:00,,,,,,,,,
2022-10-28 00:30:00,,,,,,,,,
2022-10-28 00:31:00,,,,,,,,,
2022-10-28 00:32:00,,,,,,,,,
2022-10-28 00:33:00,,,,,,,,,
2022-10-28 00:34:00,,,,,,,,,
2022-10-28 00:35:00,,,,,,,,,
2022-10-28 00:36:00,,,,,,,,,
2022-10-28 00:37:00,,,,,,,,,
2022-10-28 00:38:00,,,,,,,,,
2022-10-28 00:39:00,,,,,,,,,
2022-10-28 00:40:00,,,,,,,,,
2022-10-28 00:41:00,,,,,,,,,
2022-10-28 00:42:00,,,,,,,,,
2022-10-28 00:43:00,,,,,,,,,
2022-10-28 00:44:00,,,,,,,,,
2022-10-28 00:45:00,,,,,,,,,
2022-10-28 00:46:00,,,,,,,,,
2022-10-28 00:47:00,,,,,,,,,
2022-10-28 00:48:00,,,,,,,,,
2022-10-28 00:49:00,,,,,,,,,
2022-10-28 00:50:00,,,,,,,,,
2022-10-28 00:51:00,,,,,,,,,
2022-10-28 00:52:00,,,,,,,,,
2022-10-28 00:53:00,,,,,,,,,
2022-10-28 00:54:00,,,,,,,,,
2022-10-28 00:55:00,,,,,,,,,
2022-10-28 00:56:00,,,,,,,,,
2022-10-28 00:57:00,,,,,,,,,
2022-10-28 00:58:00,,,,,,,,,
2022-10-28 00:59:00,,,,,,,,,
2022-10-28 01:00:00,,,,,,,,,
2022-10-28 01:01:00,,,,,,,,,
2022-10-28 01:02:00,,,,,,,,,
2022-10-28 01:03:00,,,,,,,,,
2022-10-28 01:04:00,,,,,,,,,
2022-10-28 01:05:00,,,,,,,,,
2022-10-28 01:06:00,,,,,,,,,
2022-10-28 01:07:00,,,,,,,,,
2022-10-28 01:08:00,,,,,,,,,
2022-10-28 01:09:00,,,,,,,,,
2022-10-28 01:10:00,,,,,,,,,
2022-10-28 01:11:00,,,,,,,,,
2022-10-28 01:12:00,,,,,,,,,
2022-10-28 01:13:00,,,,,,,,,
2022-10-28 01:14:00,,,,,,,,,
2022-10-28 01:15:00,,,,,,,,,
2022-10-28 01:16:00,,,,,,,,,
2022-10-28 01:17:00,,,,,,,,,
2022-10-28 01:18:00,,,,,,,,,
