sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-09-26 09:36:00,,,,,,,,,
2022-09-26 09:39:00,,,,,,,,,
2022-09-26 09:42:00,,,,,,,,,
2022-09-26 09:45:00,,,,,,,,,
2022-09-26 09:48:00,,,,,,,,,
2022-09-26 09:51:00,,,,,,,,,
2022-09-26 09:54:00,,,,,,,,,
2022-09-26 09:57:00,,,,,,,,,
2022-09-26 10:00:00,,,,,,,,,
2022-09-26 10:03:00,,,,,,,,,
2022-09-26 10:06:00,,,,,,,,,
2022-09-26 10:09:00,,,,,,,,,
2022-09-26 10:12:00,,,,,,,,,
2022-09-26 10:15:00,,,,,,,,,
2022-09-26 10:18:00,,,,,,,,,
2022-09-26 10:21:00,,,,,,,,,
2022-09-26 10:24:00,,,,,,,,,
2022-09-26 10:27:00,,,,,,,,,
2022-09-26 10:30:00,,,,,,,,,
2022-09-26 10:33:00,,,,,,,,,
2022-09-26 10:36:00,,,,,,,,,
2022-09-26 10:39:00,,,,,,,,,
2022-09-26 10:42:00,,,,,,,,,
2022-09-26 10:45:00,,,,,,,,,
2022-09-26 10:48:00,,,,,,,,,
2022-09-26 10:51:00,,,,,,,,,
2022-09-26 10:54:00,,,,,,,,,
2022-09-26 10:57:00,,,,,,,,,
2022-09-26 11:00:00,,,,,,,,,
2022-09-26 11:03:00,,,,,,,,,
2022-09-26 11:06:00,,,,,,,,,
2022-09-26 11:09:00,,,,,,,,,
2022-09-26 11:12:00,,,,,,,,,
2022-09-26 11:15:00,,,,,,,,,
2022-09-26 11:18:00,,,,,,,,,
2022-09-26 11:21:00,,,,,,,,,
2022-09-26 11:24:00,,,,,,,,,
2022-09-26 11:27:00,,,,,,,,,
2022-09-26 11:30:00,,,,,,,,,
2022-09-26 11:33:00,,,,,,,,,
2022-09-26 11:36:00,,,,,,,,,
2022-09-26 11:39:00,,,,,,,,,
2022-09-26 11:42:00,,,,,,,,,
2022-09-26 11:45:00,,,,,,,,,
2022-09-26 11:48:00,,,,,,,,,
2022-09-26 11:51:00,,,,,,,,,
2022-09-26 11:54:00,,,,,,,,,
2022-09-26 11:57:00,,,,,,,,,
2022-09-26 12:00:00,,,,,,,,,
2022-09-26 12:03:00,,,,,,,,,
2022-09-26 12:06:00,,,,,,,,,
2022-09-26 12:09:00,,,,,,,,,
2022-09-26 12:12:00,,,,,,,,,
2022-09-26 12:15:00,,,,,,,,,
2022-09-26 12:18:00,,,,,,,,,
2022-09-26 12:21:00,,,,,,,,,
2022-09-26 12:24:00,,,,,,,,,
2022-09-26 12:27:00,,,,,,,,,
2022-09-26 12:30:00,,,,,,,,,
2022-09-26 12:33:00,,,,,,,,,
2022-09-26 12:36:00,,,,,,,,,
2022-09-26 12:39:00,,,,,,,,,
2022-09-26 12:42:00,,,,,,,,,
2022-09-26 12:45:00,,,,,,,,,
2022-09-26 12:48:00,,,,,,,,,
2022-09-26 12:51:00,,,,,,,,,
2022-09-26 12:54:00,,,,,,,,,
2022-09-26 12:57:00,,,,,,,,,
2022-09-26 13:00:00,,,,,,,,,
2022-09-26 13:03:00,,,,,,,,,
2022-09-26 13:06:00,,,,,,,,,
2022-09-26 13:09:00,,,,,,,,,
2022-09-26 13:12:00,,,,,,,,,
2022-09-26 13:15:00,,,,,,,,,
2022-09-26 13:18:00,,,,,,,,,
2022-09-26 13:21:00,,,,,,,,,
