sep=,
"Time","active_db_connections saturation","cpu saturation","disk_space saturation","memory saturation","open_fds saturation","open_ruby_fds saturation","redis_clients saturation","single_node_cpu saturation","single_threaded_cpu saturation"
2022-10-27 03:03:00,,,,,,,,,
2022-10-27 03:04:00,,,,,,,,,
2022-10-27 03:05:00,,,,,,,,,
2022-10-27 03:06:00,,,,,,,,,
2022-10-27 03:07:00,,,,,,,,,
2022-10-27 03:08:00,,,,,,,,,
2022-10-27 03:09:00,,,,,,,,,
2022-10-27 03:10:00,,,,,,,,,
2022-10-27 03:11:00,,,,,,,,,
2022-10-27 03:12:00,,,,,,,,,
2022-10-27 03:13:00,,,,,,,,,
2022-10-27 03:14:00,,,,,,,,,
2022-10-27 03:15:00,,,,,,,,,
2022-10-27 03:16:00,,,,,,,,,
2022-10-27 03:17:00,,,,,,,,,
2022-10-27 03:18:00,,,,,,,,,
2022-10-27 03:19:00,,,,,,,,,
2022-10-27 03:20:00,,,,,,,,,
2022-10-27 03:21:00,,,,,,,,,
2022-10-27 03:22:00,,,,,,,,,
2022-10-27 03:23:00,,,,,,,,,
2022-10-27 03:24:00,,,,,,,,,
2022-10-27 03:25:00,,,,,,,,,
2022-10-27 03:26:00,,,,,,,,,
2022-10-27 03:27:00,,,,,,,,,
2022-10-27 03:28:00,,,,,,,,,
2022-10-27 03:29:00,,,,,,,,,
2022-10-27 03:30:00,,,,,,,,,
2022-10-27 03:31:00,,,,,,,,,
2022-10-27 03:32:00,,,,,,,,,
2022-10-27 03:33:00,,,,,,,,,
2022-10-27 03:34:00,,,,,,,,,
2022-10-27 03:35:00,,,,,,,,,
2022-10-27 03:36:00,,,,,,,,,
2022-10-27 03:37:00,,,,,,,,,
2022-10-27 03:38:00,,,,,,,,,
2022-10-27 03:39:00,,,,,,,,,
2022-10-27 03:40:00,,,,,,,,,
2022-10-27 03:41:00,,,,,,,,,
2022-10-27 03:42:00,,,,,,,,,
2022-10-27 03:43:00,,,,,,,,,
2022-10-27 03:44:00,,,,,,,,,
2022-10-27 03:45:00,,,,,,,,,
2022-10-27 03:46:00,,,,,,,,,
2022-10-27 03:47:00,,,,,,,,,
2022-10-27 03:48:00,,,,,,,,,
2022-10-27 03:49:00,,,,,,,,,
2022-10-27 03:50:00,,,,,,,,,
2022-10-27 03:51:00,,,,,,,,,
2022-10-27 03:52:00,,,,,,,,,
2022-10-27 03:53:00,,,,,,,,,
2022-10-27 03:54:00,,,,,,,,,
2022-10-27 03:55:00,,,,,,,,,
2022-10-27 03:56:00,,,,,,,,,
2022-10-27 03:57:00,,,,,,,,,
2022-10-27 03:58:00,,,,,,,,,
2022-10-27 03:59:00,,,,,,,,,
2022-10-27 04:00:00,,,,,,,,,
2022-10-27 04:01:00,,,,,,,,,
2022-10-27 04:02:00,,,,,,,,,
2022-10-27 04:03:00,,,,,,,,,
2022-10-27 04:04:00,,,,,,,,,
2022-10-27 04:05:00,0.0833,0.379,0.662,,,,0.00640,0.379,0.00981
2022-10-27 04:06:00,0.143,0.0389,0.662,0.542,0.00100,0.00174,0.00620,0.0389,0.0211
2022-10-27 04:07:00,0.143,0.113,0.662,0.558,0.00100,0.00174,0.00740,0.113,0.0171
2022-10-27 04:08:00,0.143,0.258,0.663,0.623,0.00127,0.00174,0.00770,0.258,0.0126
2022-10-27 04:09:00,0.143,0.255,0.663,0.666,0.00107,0.00174,0.00730,0.255,0.0108
2022-10-27 04:10:00,0.182,0.147,0.663,0.666,0.00107,0.00174,0.00690,0.147,0.0174
2022-10-27 04:11:00,0.182,0.158,0.663,0.675,0.00107,0.00174,0.00620,0.158,0.0146
2022-10-27 04:12:00,0.182,0.124,0.663,0.674,0.00107,0.00170,0.00620,0.124,0.0232
2022-10-27 04:13:00,0.182,0.0790,0.663,0.675,0.00107,0.00170,0.00620,0.0790,0.0252
2022-10-27 04:14:00,0.100,0.160,0.664,0.676,0.00107,0.00170,0.00600,0.160,0.0176
2022-10-27 04:15:00,0.200,0.0793,0.664,0.678,0.00107,0.00170,0.00600,0.0793,0.0220
2022-10-27 04:16:00,0.200,0.176,0.664,0.677,0.00107,0.00170,0.00620,0.176,0.0154
2022-10-27 04:17:00,0.100,0.148,0.664,0.681,0.00107,0.00168,0.00620,0.148,0.0160
2022-10-27 04:18:00,0.0690,0.153,0.664,0.690,0.00107,0.00168,0.00720,0.153,0.0177
2022-10-27 04:19:00,0.0690,0.0582,0.664,0.688,0.00107,0.00226,0.00720,0.0582,0.0279
2022-10-27 04:20:00,0.0690,0.0841,0.664,0.692,0.00107,0.00226,0.00600,0.0841,0.0263
2022-10-27 04:21:00,0.0345,0.134,0.664,0.692,0.00107,0.00226,0.00600,0.134,0.0215
2022-10-27 04:22:00,0.0690,0.0931,0.664,0.692,0.00107,0.00226,0.00620,0.0931,0.0256
2022-10-27 04:23:00,0.200,0.101,0.664,0.691,0.00113,0.00240,0.00620,0.101,0.0244
2022-10-27 04:24:00,0.200,0.131,0.664,0.694,0.00113,0.00240,0.00620,0.131,0.0195
2022-10-27 04:25:00,0.100,0.0683,0.664,0.696,0.00113,0.00202,0.00590,0.0683,0.0262
2022-10-27 04:26:00,0.182,0.0445,0.664,0.697,0.00113,0.00202,0.00620,0.0445,0.0273
2022-10-27 04:27:00,0.0909,0.0432,0.664,0.699,0.00113,0.00204,0.00620,0.0432,0.0260
2022-10-27 04:28:00,0.182,0.0440,0.664,0.699,0.00113,0.00204,0.00600,0.0440,0.0275
2022-10-27 04:29:00,0.182,0.0437,0.664,0.700,0.00113,0.00204,0.00620,0.0437,0.0279
2022-10-27 04:30:00,0.182,0.0495,0.665,0.684,0.00113,0.00204,0.00620,0.0495,0.0276
2022-10-27 04:31:00,0.200,0.0433,0.665,0.687,0.00113,0.00204,0.00610,0.0433,0.0254
2022-10-27 04:32:00,0.200,0.0432,0.665,0.684,0.00113,0.00204,0.00600,0.0432,0.0260
2022-10-27 04:33:00,0.200,0.0426,0.665,0.687,0.00113,0.00204,0.00610,0.0426,0.0240
2022-10-27 04:34:00,0.0714,0.0436,0.665,0.693,0.00113,0.00202,0.00730,0.0436,0.0239
2022-10-27 04:35:00,0.0714,0.0430,0.665,0.692,0.00113,0.00240,0.00600,0.0430,0.0239
2022-10-27 04:36:00,0.0357,0.0418,0.665,0.695,0.00113,0.00240,0.00600,0.0418,0.0219
2022-10-27 04:37:00,0.0714,0.0425,0.665,0.697,0.00113,0.00240,0.00610,0.0425,0.0233
2022-10-27 04:38:00,0.0714,0.0408,0.665,0.698,0.00113,0.00240,0.00610,0.0408,0.0206
2022-10-27 04:39:00,0.200,0.0487,0.665,0.691,0.00113,0.00240,0.00620,0.0487,0.0222
2022-10-27 04:40:00,0.200,0.0407,0.665,0.693,0.00113,0.00240,0.00590,0.0407,0.0209
